task,dataset,dataset_sha256,n_samples,n_features,seed,fold,projection_count,projected_columns,selection_seconds,feature_ranking
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,1,5,10,0.05861929200182203,"[12, 11, 10, 9, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,1,10,20,0.13958133300184272,"[12, 6, 11, 10, 9, 0, 5, 8, 3, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,1,20,40,0.42585045800660737,"[12, 6, 11, 9, 10, 0, 5, 8, 3, 1, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,1,40,80,1.5298655840015272,"[12, 6, 11, 10, 9, 0, 5, 8, 3, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,2,5,10,0.063049125004909,"[6, 12, 9, 11, 10, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,2,10,20,0.14789495800505392,"[6, 12, 9, 11, 10, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,2,20,40,0.4399907500046538,"[6, 12, 11, 9, 10, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,2,40,80,1.530888084002072,"[6, 11, 12, 9, 10, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,3,5,10,0.06834199999866541,"[12, 9, 11, 10, 0, 6, 5, 1, 8, 3, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,3,10,20,0.15416050000931136,"[12, 11, 6, 9, 0, 10, 5, 1, 8, 3, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,3,20,40,0.481371207992197,"[12, 11, 6, 9, 0, 10, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,3,40,80,1.599744750012178,"[12, 6, 11, 9, 10, 0, 5, 1, 3, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,4,5,10,0.06265491699741688,"[12, 11, 9, 6, 10, 0, 5, 3, 1, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,4,10,20,0.1466414159949636,"[12, 6, 11, 10, 9, 0, 5, 3, 1, 8, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,4,20,40,0.4424374170048395,"[12, 6, 11, 10, 9, 0, 5, 3, 1, 8, 7, 2, 4]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,4,40,80,1.5903010420006467,"[12, 6, 11, 10, 9, 0, 5, 3, 4, 1, 8, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,2,0,5,10,0.06186279199027922,"[12, 11, 9, 6, 10, 0, 5, 8, 3, 1, 4, 7, 2]"
