dataset,projection_count_reference,projection_count_comparison,median_runtime_ratio,balanced_accuracy_mean_difference_reduced_k,selected_set_overlap_mean_reduced_k,complete_ranking_spearman_mean
wine,10,20,3.0044525414678174,-0.0007513227513227568,0.986,0.9887912087912087
glass,10,20,3.0567320852705153,-0.005212962962962961,0.968,0.9825454545454545
heart-statlog,10,20,3.061467599151387,2.7777777777777677e-05,0.998,0.9982417582417582
ionosphere,10,20,3.235547009067246,0.0027118708452041787,0.8746666666666666,0.8618670741023683
breast-cancer,10,20,3.208052300440674,4.934324553889585e-19,0.9986666666666667,0.9978998887652947
