method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.21944286050729284,0.08168389870329357,0.36682137568041057,"0.219 [0.082, 0.367]",5132796.822510822,26179.023489218605,14601140.750952097,"5132796.823 [26179.023, 14601140.751]",564.0103750902833,62.55350144388907,1342.3903810713653,"564.010 [62.554, 1342.390]"
cat,0.24629762735548166,0.10067040943181736,0.4000872795346851,"0.246 [0.101, 0.400]",5129929.843019977,26326.446518205317,14597532.57931228,"5129929.843 [26326.447, 14597532.579]",562.7245529383064,62.64741096286418,1340.5920018500235,"562.725 [62.647, 1340.592]"
cif,0.23214495359853649,0.09490710523117953,0.38193870774828537,"0.232 [0.095, 0.382]",5126105.290025334,26049.26396159365,14589651.178251164,"5126105.290 [26049.264, 14589651.178]",561.3970515302617,62.51326445125418,1338.3366712660327,"561.397 [62.513, 1338.337]"
cit,0.19958325016556597,0.0643009465468464,0.3483609406878263,"0.200 [0.064, 0.348]",5129586.525180841,26523.928638912967,14600351.64926919,"5129586.525 [26523.929, 14600351.649]",562.8399129212797,63.4669147394435,1340.6019885589274,"562.840 [63.467, 1340.602]"
cpi,0.19848521370417338,0.06608742351224198,0.3482458998074172,"0.198 [0.066, 0.348]",5151168.438140509,26534.197859940643,14644082.730040843,"5151168.438 [26534.198, 14644082.730]",566.7553526044649,63.20574093731781,1346.269282824417,"566.755 [63.206, 1346.269]"
et,0.24892801050418734,0.09921722503472863,0.40541271557990355,"0.249 [0.099, 0.405]",5127636.677052604,26190.755380064893,14594406.522440702,"5127636.677 [26190.755, 14594406.522]",561.5322466907419,62.525904086625104,1338.820726566078,"561.532 [62.526, 1338.821]"
lgbm,0.21935143113175437,0.08473154037253214,0.3642501572323873,"0.219 [0.085, 0.364]",5135205.488678623,26090.051628587775,14608620.385537788,"5135205.489 [26090.052, 14608620.386]",563.6828917588333,62.44711050714242,1342.035753296748,"563.683 [62.447, 1342.036]"
pi,0.21996909460864367,0.07734404780821999,0.37115059584182714,"0.220 [0.077, 0.371]",5132109.360127882,26436.34002421269,14602441.228767607,"5132109.360 [26436.340, 14602441.229]",563.3047742915101,62.94306029189326,1341.4846592548195,"563.305 [62.943, 1341.485]"
ptest_dc,0.21353506004918846,0.06590356152314575,0.3728609722221277,"0.214 [0.066, 0.373]",5126392.350622656,25941.610799671445,14589949.473693779,"5126392.351 [25941.611, 14589949.474]",561.3484208373013,62.299465329332804,1338.0042549540397,"561.348 [62.299, 1338.004]"
ptest_pc,0.2090558758184456,0.06423880498168773,0.366767085674262,"0.209 [0.064, 0.367]",5125987.9315247955,25994.613315537255,14589465.568964997,"5125987.932 [25994.613, 14589465.569]",561.3694456141669,62.34553084256769,1337.94618058443,"561.369 [62.346, 1337.946]"
ptest_rdc,0.2072887609061111,0.05915109775105755,0.36943716713906855,"0.207 [0.059, 0.369]",5121747.482209628,25954.507455093462,14582298.245311735,"5121747.482 [25954.507, 14582298.245]",560.5806738665674,62.34353543273276,1337.1666706557314,"560.581 [62.344, 1337.167]"
r_cforest,0.10363294152805104,-0.014110060668472065,0.2377040622961159,"0.104 [-0.014, 0.238]",5148008.623180241,27280.569015518933,14635824.605964225,"5148008.623 [27280.569, 14635824.606]",567.8452488512917,65.21261947168145,1345.5437308040189,"567.845 [65.213, 1345.544]"
r_ctree,0.04142521652687853,-0.03663052275792245,0.1394209667400836,"0.041 [-0.037, 0.139]",5167879.881982696,28367.001131983056,14674044.035306385,"5167879.882 [28367.001, 14674044.035]",573.2368666195978,67.45366478264222,1351.394648354171,"573.237 [67.454, 1351.395]"
rf,0.24590804055544868,0.10293487540927972,0.39877597831114336,"0.246 [0.103, 0.399]",5130576.386785036,26201.525205643127,14597657.21706859,"5130576.387 [26201.525, 14597657.217]",563.0006277791484,62.56101969319753,1341.3549443165832,"563.001 [62.561, 1341.355]"
rfe,0.2522942294096201,0.10256488639685714,0.4056439888245551,"0.252 [0.103, 0.406]",5138387.3227102095,26221.15977935837,14612794.68308759,"5138387.323 [26221.160, 14612794.683]",564.4791543524225,62.542251453224324,1342.819106644121,"564.479 [62.542, 1342.819]"
xgb,0.20290573634143283,0.07600753504018178,0.3413601289176608,"0.203 [0.076, 0.341]",5144462.072767211,26695.73591253952,14628522.348813891,"5144462.073 [26695.736, 14628522.349]",566.153848656782,63.60644582887749,1344.4141049836512,"566.154 [63.606, 1344.414]"
