experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
optimization_ablation,clf,clf_standard_easy,cif_default,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,34.82816742020001,8.57439436205907,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_no_scan,100,1000,0.8600000000000001,0.10198039027185571,0.8600000000000001,0.10198039027185571,0.8600000000000001,0.1019803902718557,0.905050505050505,0.03294849783899008,0.9462087872447874,0.05602041499454795,0.995002765553231,0.003097251107948289,31.664773820800008,3.143116025216722,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_no_mute,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,32.26065997740001,2.9209649870820695,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_no_adaptive,100,1000,0.8200000000000001,0.11661903789690603,0.8200000000000001,0.11661903789690603,0.8200000000000001,0.11661903789690603,0.9010101010101008,0.040099865133897385,0.9458059784046366,0.05672732240177727,0.9918043431209869,0.0049512536192879986,156.41630077920001,25.793207577825175,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_no_bootstrap,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,30.398156559800007,6.192477377535545,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_subsample_80,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9191919191919192,0.03725068467593085,0.9466067864271457,0.05615709304002804,0.9940035591467667,0.0023637480253645648,26.31241270800001,2.5648134962804634,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_subsample_50,100,1000,0.8400000000000001,0.04898979485566355,0.8400000000000001,0.04898979485566355,0.8400000000000001,0.048989794855663495,0.9191919191919192,0.03725068467593085,0.9418055455354353,0.05597920039909283,0.9932027511242575,0.0023114822049973534,16.457549361999916,1.1032624215988254,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_no_scan_mute,100,1000,0.86,0.07999999999999999,0.86,0.07999999999999999,0.8600000000000001,0.07999999999999993,0.909090909090909,0.034402800739245246,0.9456087824351297,0.057536653338201564,0.9944039631580213,0.003824372484544132,32.22662540060001,1.9968199070559214,,,,,,,,
optimization_ablation,clf,clf_standard_easy,cif_all_off,100,1000,0.76,0.1356465996625054,0.76,0.1356465996625054,0.76,0.1356465996625054,0.909090909090909,0.034402800739245246,0.9442103744318592,0.05983481528329212,0.990601928672775,0.008707443773699248,126.72465035760001,7.423577326944385,,,,,,,,
optimization_ablation,clf,clf_standard_easy,rf,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,0.16631649680002739,0.008317999881442268,,,,,,,,
