method_base,display_name,5,10,25,50,100
et,ExtraTrees,8.583333333333334,6.375,5.095238095238096,5.428571428571428,6.055555555555556
cat,CatBoost,7.145833333333333,6.875,5.9523809523809526,6.9523809523809526,7.722222222222222
cif,CIF,8.875,7.291666666666667,6.6190476190476195,5.6190476190476195,7.277777777777778
rf,RF,7.729166666666667,8.375,8.333333333333334,8.047619047619047,7.222222222222221
rt,RT,7.625,7.25,8.0,8.714285714285714,8.222222222222221
dt,DT,7.75,8.125,8.047619047619047,9.428571428571429,9.38888888888889
lgbm,LightGBM,7.25,7.125,9.0,9.80952380952381,11.333333333333334
ptest_rdc,RDC filter,8.5,9.541666666666666,10.0,8.619047619047619,10.055555555555555
cit,CIT,8.5,9.041666666666666,9.666666666666666,9.666666666666666,10.166666666666666
xgb,XGBoost,10.208333333333334,10.166666666666666,9.761904761904761,9.0,8.444444444444445
pi,PI,9.791666666666666,10.25,9.809523809523808,8.952380952380953,9.555555555555555
boruta,Boruta,11.75,9.958333333333334,9.571428571428571,9.523809523809524,8.0
ptest_pc,PC filter,10.541666666666666,10.0,9.619047619047619,9.333333333333334,9.555555555555555
ptest_dc,DC filter,10.5,10.875,10.095238095238095,9.95238095238095,10.055555555555555
rfe,RF-RFE,8.541666666666666,10.25,10.476190476190476,12.285714285714285,12.444444444444445
r_cforest,cforest,12.083333333333334,12.041666666666666,13.904761904761905,13.238095238095239,11.388888888888888
r_ctree,ctree,11.333333333333334,13.0,13.476190476190476,13.761904761904761,13.111111111111109
cpi,CPI,14.291666666666666,14.458333333333334,13.571428571428571,12.666666666666666,11.0
