method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
cat,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
cif,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
cit,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
cpi,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
et,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
lgbm,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
pi,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
ptest_mc,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
ptest_rdc,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
r_cforest,0.7829,,,0.783 [insufficient data],0.7824178827566431,,,0.782 [insufficient data],0.7829,,,0.783 [insufficient data]
r_ctree,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
rf,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
rfe,0.8584,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8584,,,0.858 [insufficient data]
xgb,0.8583999999999999,,,0.858 [insufficient data],0.8581984541435321,,,0.858 [insufficient data],0.8583999999999999,,,0.858 [insufficient data]
