task,dataset,model_variant,ranking_variant,dataset_score,n_cells,n_downstream_models,n_k_values,min_fold_seed_rows,min_nonnull_score_rows,score_missing_rows,support_type,scores_complete
classification,arcene,cif_one_tree,split_importance,0.6857491582491583,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_default,split_count,0.8169333333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_default,split_importance,0.8171555555555555,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_no_bootstrap,split_count,0.8118666666666667,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_no_bootstrap,split_importance,0.8152444444444444,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_no_mute,split_count,0.8146666666666668,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_no_mute,split_importance,0.814088888888889,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_one_tree,split_count,0.5575555555555556,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,dexter,cif_one_tree,split_importance,0.5576444444444444,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_default,split_count,0.7943662705020849,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_default,split_importance,0.7978512683633069,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_no_bootstrap,split_count,0.7944420548000694,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_no_bootstrap,split_importance,0.7978512683633069,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_no_mute,split_count,0.7944973567125139,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_no_mute,split_importance,0.7978512683633069,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_one_tree,split_count,0.7915041734777536,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gamma,cif_one_tree,split_importance,0.7907139263496074,3,3,1,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_default,split_count,0.9212133333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_default,split_importance,0.9159888888888889,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_no_bootstrap,split_count,0.9171955555555555,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_no_bootstrap,split_importance,0.9146711111111112,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_no_mute,split_count,0.9207933333333334,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_no_mute,split_importance,0.9165666666666666,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_one_tree,split_count,0.8413222222222222,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,gisette,cif_one_tree,split_importance,0.8488577777777777,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_default,split_count,0.8455978835978836,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_default,split_importance,0.8469775132275132,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_no_bootstrap,split_count,0.8480403439153439,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_no_bootstrap,split_importance,0.8487089947089946,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_no_mute,split_count,0.8453789682539683,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_no_mute,split_importance,0.8472896825396825,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_one_tree,split_count,0.8273968253968254,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,glass,cif_one_tree,split_importance,0.8309682539682539,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
