task,dataset,model_variant,ranking_variant,dataset_score,n_cells,n_downstream_models,n_k_values,min_fold_seed_rows,min_nonnull_score_rows,score_missing_rows,support_type,scores_complete
regression,comm_violence,cif_no_mute,split_importance,0.5410050267355505,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_one_tree,split_count,0.39129103553141303,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,comm_violence,cif_one_tree,split_importance,0.3981241349354167,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_default,split_count,0.6118307621853262,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_default,split_importance,0.6089213002378259,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_no_bootstrap,split_count,0.6116334049998547,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_no_bootstrap,split_importance,0.6102208939139633,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_no_mute,split_count,0.6123049561032499,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_no_mute,split_importance,0.6097312478115061,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_one_tree,split_count,0.5807711824049656,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,community_crime,cif_one_tree,split_importance,0.5810088674382531,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_default,split_count,0.6234581701376531,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_default,split_importance,0.6254273093097772,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_no_bootstrap,split_count,0.6224595298703333,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_no_bootstrap,split_importance,0.6255996149605687,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_no_mute,split_count,0.6236139700070011,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_no_mute,split_importance,0.6258387196572094,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_one_tree,split_count,0.573249101343043,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,facebook,cif_one_tree,split_importance,0.5795570251214955,6,3,2,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_default,split_count,0.4419465661791749,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_default,split_importance,0.43860300252394596,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_no_bootstrap,split_count,0.4337408628336141,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_no_bootstrap,split_importance,0.4265993930751948,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_no_mute,split_count,0.44106539894395475,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_no_mute,split_importance,0.43856587237124756,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_one_tree,split_count,0.42595769956643453,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,imports-85,cif_one_tree,split_importance,0.42392666095000536,12,3,4,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_default,split_count,0.5766932870415575,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_default,split_importance,0.5780620922796952,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_no_bootstrap,split_count,0.5793601003090355,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_no_bootstrap,split_importance,0.5801884315522188,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_no_mute,split_count,0.576470217336224,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_no_mute,split_importance,0.5779730206057262,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_one_tree,split_count,0.5138165273616367,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
regression,residential,cif_one_tree,split_importance,0.5117832808700528,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
