task,comparison_point,n_dataset_downstream_cells,mean_std,median_std,mean_range,median_range
classification,k100,42,0.0557663386455968,0.053468262605457714,0.18374935174631676,0.17853030303030304
classification,endpoint,42,0.009531444106213661,0.0039935374387950655,0.03929514138583232,0.016477777777777813
regression,k100,18,0.5039635727849956,0.09891238010761702,1.8933590418132722,0.3994239050974355
regression,endpoint,18,0.36413518855805704,0.11110974822813013,1.544894766588583,0.47139873856824527
