method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.9303928596043834,,,0.930 [insufficient data],0.8798947630319119,,,0.880 [insufficient data],0.9240846913411619,,,0.924 [insufficient data]
cat,0.930332161646794,,,0.930 [insufficient data],0.8797890778650819,,,0.880 [insufficient data],0.9239682480267208,,,0.924 [insufficient data]
cif,0.9304610471661268,,,0.930 [insufficient data],0.8799740101615358,,,0.880 [insufficient data],0.9240242506131399,,,0.924 [insufficient data]
cit,0.9304004123877134,,,0.930 [insufficient data],0.8798864207938422,,,0.880 [insufficient data],0.9239886457841341,,,0.924 [insufficient data]
cpi,0.9304534656649895,,,0.930 [insufficient data],0.8800006761347926,,,0.880 [insufficient data],0.9242006517038015,,,0.924 [insufficient data]
et,0.9304534426907436,,,0.930 [insufficient data],0.8799650391546074,,,0.880 [insufficient data],0.9240399165705354,,,0.924 [insufficient data]
lgbm,0.9304837686952926,,,0.930 [insufficient data],0.8800281776528996,,,0.880 [insufficient data],0.9241382052841218,,,0.924 [insufficient data]
pi,0.9305140717255956,,,0.931 [insufficient data],0.8800526647611183,,,0.880 [insufficient data],0.9240757588644422,,,0.924 [insufficient data]
ptest_mc,0.9303928136558918,,,0.930 [insufficient data],0.8798955626743893,,,0.880 [insufficient data],0.9240846752971629,,,0.924 [insufficient data]
ptest_rdc,0.9304231396604407,,,0.930 [insufficient data],0.8799034137846402,,,0.880 [insufficient data],0.9239413944030477,,,0.924 [insufficient data]
r_cforest,0.9303625163691502,,,0.930 [insufficient data],0.8798255889484841,,,0.880 [insufficient data],0.9239458646524074,,,0.924 [insufficient data]
r_ctree,0.9304534886392354,,,0.930 [insufficient data],0.8799833112138987,,,0.880 [insufficient data],0.924120292159168,,,0.924 [insufficient data]
rf,0.9303625335998347,,,0.930 [insufficient data],0.8798204985662129,,,0.880 [insufficient data],0.9239060511049414,,,0.924 [insufficient data]
rfe,0.9304231626346865,,,0.930 [insufficient data],0.8799194991294305,,,0.880 [insufficient data],0.9240220275115801,,,0.924 [insufficient data]
xgb,0.9304109954740736,,,0.930 [insufficient data],0.8799197572187806,,,0.880 [insufficient data],0.9240791113917076,,,0.924 [insufficient data]
