method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
cat,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
cif,0.9108035714285715,,,0.911 [insufficient data],0.6962973639934465,,,0.696 [insufficient data],0.6734513546798029,,,0.673 [insufficient data]
cit,0.91109375,,,0.911 [insufficient data],0.6940618634042272,,,0.694 [insufficient data],0.6727993295019157,,,0.673 [insufficient data]
cpi,,,,,,,,,,,,
et,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
lgbm,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
pi,,,,,,,,,,,,
ptest_mc,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
ptest_rdc,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
r_cforest,,,,,,,,,,,,
r_ctree,,,,,,,,,,,,
rf,0.9107500000000001,,,0.911 [insufficient data],0.6950710989497455,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
rfe,0.9087500000000001,,,0.909 [insufficient data],0.6974722533458737,,,0.697 [insufficient data],0.6747557471264367,,,0.675 [insufficient data]
xgb,0.91075,,,0.911 [insufficient data],0.6950710989497454,,,0.695 [insufficient data],0.6733860153256706,,,0.673 [insufficient data]
