summary_scope,task,dataset_source,dataset_type,method_family,variant,n_runs,n_success,n_datasets,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_ratio_vs_family_default_mean,elapsed_ratio_vs_family_default_median,mean_depth_mean,max_depth_mean,mean_features_used_per_tree_mean,importance_nonzero_count_mean,precision_at_10_mean,recall_at_10_mean,f1_at_10_mean
dataset,clf,synthetic,clf_confounder,cif,cif_n_jobs1,5,5,1,12.479399760199987,11.93029312699997,1.5952372745856933,0.6372003150754699,0.5903977715381542,6.0920000000000005,10.2,9.304,104.0,0.36,0.36,0.36
dataset,clf,synthetic,clf_confounder,cif,cif_n_jobs1_no_adaptive,5,5,1,12.361051880000014,11.627435471000013,1.7381685645247928,0.6280552171967319,0.6014155145476925,6.0920000000000005,10.2,9.304,104.0,0.36,0.36,0.36
dataset,clf,synthetic,clf_nonlinear,cif,cif_default,5,5,1,26.842141897199998,24.15985538999996,6.265117060530204,1.0,1.0,2.548,7.6,1.8,55.6,0.4,0.8,0.5333333333333333
dataset,clf,synthetic,clf_nonlinear,cif,cif_n_jobs1,5,5,1,9.1236262792,8.66449920399998,2.0502061697919025,0.3554316645781411,0.36285556823499443,2.548,7.6,1.8,55.6,0.4,0.8,0.5333333333333333
dataset,clf,synthetic,clf_nonlinear,cif,cif_n_jobs1_no_adaptive,5,5,1,9.540306601200001,10.972600615000005,2.1470954333758,0.36264766626098627,0.34740558767310603,2.548,7.6,1.8,55.6,0.4,0.8,0.5333333333333333
dataset,clf,synthetic,clf_redundant,cif,cif_default,5,5,1,23.17814909340001,20.13677629800003,4.364786927722385,1.0,1.0,6.896000000000001,10.2,9.998000000000001,68.8,0.38,0.38,0.38
dataset,clf,synthetic,clf_redundant,cif,cif_n_jobs1,5,5,1,22.527522482599977,22.475902372000007,2.162137688148869,0.9858856384114896,1.0183188322368293,6.896000000000001,10.2,9.998000000000001,68.8,0.38,0.38,0.38
dataset,clf,synthetic,clf_redundant,cif,cif_n_jobs1_no_adaptive,5,5,1,21.633110393599985,21.540489105999995,1.9564855293928134,0.9473962458263869,0.9769417351965035,6.896000000000001,10.2,9.998000000000001,68.8,0.38,0.38,0.38
dataset,clf,synthetic,clf_standard_easy,cif,cif_default,5,5,1,26.82291327720001,24.609438505000018,5.551599662120157,1.0,1.0,3.3280000000000003,8.8,2.966,60.6,0.82,0.82,0.82
dataset,clf,synthetic,clf_standard_easy,cif,cif_n_jobs1,5,5,1,11.571498653999992,12.274907738999955,1.5357901231877205,0.44596521723593296,0.5074702434569186,3.3280000000000003,8.8,2.966,60.6,0.82,0.82,0.82
dataset,clf,synthetic,clf_standard_easy,cif,cif_n_jobs1_no_adaptive,5,5,1,11.829417173999996,11.872115664999969,1.8109393811159658,0.4478822582948768,0.4863813613743094,3.3280000000000003,8.8,2.966,60.6,0.82,0.82,0.82
dataset,clf,synthetic,clf_standard_hard,cif,cif_default,5,5,1,4.583387157599995,2.4689544590000025,4.8952365620503615,1.0,1.0,2.052,6.2,1.1720000000000002,97.0,0.1,0.2,0.1333333333333333
dataset,clf,synthetic,clf_standard_hard,cif,cif_n_jobs1,5,5,1,3.2907511986000033,3.458706006,0.4445209588185129,1.1901777993205542,1.3864923578727062,2.052,6.2,1.1720000000000002,97.0,0.1,0.2,0.1333333333333333
dataset,clf,synthetic,clf_standard_hard,cif,cif_n_jobs1_no_adaptive,5,5,1,4.1088568271999915,3.651365795000004,1.1894464144049337,1.314782689840364,1.3615945598830486,2.052,6.2,1.1720000000000002,97.0,0.1,0.2,0.1333333333333333
dataset,clf,synthetic,clf_toeplitz,cif,cif_default,5,5,1,19.413268062399993,17.644953832999988,3.8622688801388527,1.0,1.0,4.872,7.4,5.529999999999999,76.2,0.9,0.9,0.9
dataset,clf,synthetic,clf_toeplitz,cif,cif_n_jobs1,5,5,1,13.098606524400008,12.860699145000012,1.9763728532673692,0.6994317098383392,0.7830629215676786,4.872,7.4,5.529999999999999,76.2,0.9,0.9,0.9
dataset,clf,synthetic,clf_toeplitz,cif,cif_n_jobs1_no_adaptive,5,5,1,12.280029466800034,11.749000267000042,1.8700842826650732,0.6540844620985028,0.6899813110395103,4.872,7.4,5.529999999999999,76.2,0.9,0.9,0.9
dataset,clf,synthetic,clf_weak_signal,cif,cif_default,5,5,1,27.385818987599986,25.147128638,5.327626101607486,1.0,1.0,1.454,5.4,0.5,33.2,0.18,0.18,0.18
dataset,clf,synthetic,clf_weak_signal,cif,cif_n_jobs1,5,5,1,11.155438843399992,10.923397346000002,2.8322773295961334,0.407604645465305,0.4220842700550699,1.454,5.4,0.5,33.2,0.18,0.18,0.18
dataset,clf,synthetic,clf_weak_signal,cif,cif_n_jobs1_no_adaptive,5,5,1,11.12625380560001,10.682470308999996,3.7567253954771167,0.4018088001414674,0.4293606842534554,1.454,5.4,0.5,33.2,0.18,0.18,0.18
dataset,reg,real,real_diabetes,cif,cif_default,5,5,1,1.0178114004000236,1.01215645700006,0.018138423272312437,1.0,1.0,5.484,9.0,4.942,10.0,,,
dataset,reg,real,real_diabetes,cif,cif_n_jobs1,5,5,1,2.604224294599976,2.604730881000023,0.01085901214714577,2.5593758864028002,2.5751708038551233,5.484,9.0,4.942,10.0,,,
dataset,reg,real,real_diabetes,cif,cif_n_jobs1_no_adaptive,5,5,1,2.537504237600024,2.538657810000018,0.007059976127803289,2.493685992967383,2.516828546004007,5.484,9.0,4.942,10.0,,,
dataset,reg,synthetic,reg_confounder,cif,cif_default,5,5,1,20.17119116020003,22.90636172600011,4.774457101089059,1.0,1.0,8.496,13.4,16.34,119.8,0.4,0.4,0.4
dataset,reg,synthetic,reg_confounder,cif,cif_n_jobs1,5,5,1,13.443066176600018,13.67000640599997,0.7964306657657727,0.6999327709011259,0.5998015562826079,8.498000000000001,13.4,16.346,119.8,0.42000000000000004,0.42000000000000004,0.42000000000000004
dataset,reg,synthetic,reg_confounder,cif,cif_n_jobs1_no_adaptive,5,5,1,13.129404370999987,13.338044669000055,0.7687506098022369,0.6837304906646218,0.5829153069928366,8.498000000000001,13.4,16.346,119.8,0.42000000000000004,0.42000000000000004,0.42000000000000004
dataset,reg,synthetic,reg_friedman,cif,cif_default,5,5,1,23.769011419200023,22.851677728000027,2.4741159193367372,1.0,1.0,2.932,9.4,2.348,74.0,0.4,0.8,0.5333333333333333
dataset,reg,synthetic,reg_friedman,cif,cif_n_jobs1,5,5,1,9.82632012680001,9.45151070999998,2.0214040909571054,0.41649759711069656,0.3828580022807854,2.932,9.4,2.348,74.0,0.4,0.8,0.5333333333333333
