method,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,informative_feature_coverage_share,distinct_false_features_used
cif,1331.1000000000001,376.90000000000003,954.1999999999999,0.2781676767477773,1.0,367.6666666666667
cif_all,26908.38333333333,11446.766666666668,15461.616666666667,0.4231424388647674,1.0,528.75
et,249000.0,20931.116666666665,228068.88333333333,0.08406070950468537,1.0,528.8333333333334
rf,157191.6,12117.633333333333,145073.96666666667,0.0770883007319305,1.0,528.8333333333334
