method,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,informative_feature_coverage_share,distinct_false_features_used
cif,964.7166666666667,334.7,630.0166666666667,0.3324541519726599,0.9500000000000001,265.0833333333333
cif_all,2379.883333333333,2076.9166666666665,302.96666666666664,0.9169472350908027,0.8583333333333334,93.41666666666667
et,63394.950000000004,4253.533333333334,59141.416666666664,0.06450406691317857,1.0,528.8333333333334
rf,23264.5,1952.2,21312.3,0.08393956276451035,1.0,528.8333333333334
