method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.163623349726869,0.05372659604537312,0.28033629992329623,"0.164 [0.054, 0.280]",5131562.537725224,26504.069510899277,14597958.416508166,"5131562.538 [26504.070, 14597958.417]",564.3033312052332,63.13958769993492,1342.70143207928,"564.303 [63.140, 1342.701]"
cat,0.24806984877104588,0.09868102808209261,0.4052358176256856,"0.248 [0.099, 0.405]",5113546.085293472,25240.92823598006,14562945.362909911,"5113546.085 [25240.928, 14562945.363]",557.7342898773775,59.92052121891712,1335.6115858265398,"557.734 [59.921, 1335.612]"
cif,0.2270436183542911,0.0905742236985027,0.3741183097353704,"0.227 [0.091, 0.374]",5112870.261691066,25309.634979608425,14561976.146532442,"5112870.262 [25309.635, 14561976.147]",557.6821958387252,60.358332078205045,1334.9116753083115,"557.682 [60.358, 1334.912]"
cit,0.21914528569683456,0.08048339458010713,0.36957166543917475,"0.219 [0.080, 0.370]",5117441.31708384,25699.896672164807,14574223.516377212,"5117441.317 [25699.897, 14574223.516]",558.7142996997236,61.26561441258344,1336.137171242284,"558.714 [61.266, 1336.137]"
cpi,0.19821563191286873,0.05856123184404308,0.3593420167763678,"0.198 [0.059, 0.359]",5129268.172339989,25519.42800063503,14602375.21360037,"5129268.172 [25519.428, 14602375.214]",560.547397405426,60.77179695307126,1340.5457485327797,"560.547 [60.772, 1340.546]"
et,0.24608354421480952,0.09981918592132974,0.4003328207139214,"0.246 [0.100, 0.400]",5114555.018684582,25235.01562234444,14566515.73291934,"5114555.019 [25235.016, 14566515.733]",557.4911411256858,59.82909884626074,1335.1359786262335,"557.491 [59.829, 1335.136]"
lgbm,0.22342719620255697,0.09327865790145705,0.3659179111984102,"0.223 [0.093, 0.366]",5118833.448291399,25447.809521000967,14576003.794615347,"5118833.448 [25447.810, 14576003.795]",558.7986992848101,60.44447661650374,1337.0608055989828,"558.799 [60.444, 1337.061]"
pi,0.2287363766741599,0.08299709782694648,0.38517257023346946,"0.229 [0.083, 0.385]",5115896.1795851495,25456.507263321764,14569520.018322874,"5115896.180 [25456.507, 14569520.018]",558.2499942304509,60.393494036347036,1336.4241391995913,"558.250 [60.393, 1336.424]"
ptest_dc,0.21682915213295118,0.06714812414763835,0.3773467621638666,"0.217 [0.067, 0.377]",5115798.545061905,25192.31236760567,14568657.353001457,"5115798.545 [25192.312, 14568657.353]",557.5832439951218,59.8637052070877,1334.3496096376887,"557.583 [59.864, 1334.350]"
ptest_pc,0.20710633470772033,0.06558015912864229,0.3593375634707366,"0.207 [0.066, 0.359]",5116587.045988636,25195.958887099318,14572018.706928715,"5116587.046 [25195.959, 14572018.707]",557.6046064248578,59.827931282962,1334.2615213163856,"557.605 [59.828, 1334.262]"
ptest_rdc,0.21549502097330683,0.07074727755314116,0.37298313396792515,"0.215 [0.071, 0.373]",5111430.3803012455,25196.16225570301,14561769.27600296,"5111430.380 [25196.162, 14561769.276]",557.0920697589145,59.96792803641476,1333.727543918644,"557.092 [59.968, 1333.728]"
r_cforest,0.09205985881324816,-0.0127265697821326,0.2068981371247472,"0.092 [-0.013, 0.207]",5144568.487901606,26870.735310184733,14627314.186980478,"5144568.488 [26870.735, 14627314.187]",567.0081935479236,64.26690743524074,1344.809987823534,"567.008 [64.267, 1344.810]"
r_ctree,0.02200037980022806,-0.03939674401723223,0.1064569531804184,"0.022 [-0.039, 0.106]",5166210.497259007,28201.388593431755,14671291.7727256,"5166210.497 [28201.389, 14671291.773]",572.8957418799757,67.21712780871077,1351.1104899970221,"572.896 [67.217, 1351.110]"
rf,0.2422205192266591,0.09787064739238571,0.3963409070567432,"0.242 [0.098, 0.396]",5114304.015558516,25271.909490789665,14564869.35888428,"5114304.016 [25271.909, 14564869.359]",558.0212418770583,60.036890303797676,1336.384447168727,"558.021 [60.037, 1336.384]"
rfe,0.26365243634680535,0.11390056422758514,0.42064915869938957,"0.264 [0.114, 0.421]",5122871.888537635,25346.583445702432,14579295.240720872,"5122871.889 [25346.583, 14579295.241]",560.0305950173936,60.26018242700435,1338.6877493189595,"560.031 [60.260, 1338.688]"
xgb,0.16807841675491958,0.05714395359079819,0.28895688114712037,"0.168 [0.057, 0.289]",5132093.512898121,26393.121690359716,14604360.900393011,"5132093.513 [26393.122, 14604360.900]",562.7685517399556,62.753024380173095,1340.8244190180383,"562.769 [62.753, 1340.824]"
