task,k,method_base,method_id,n_datasets,n_cells,mean_score_minus_endpoint,median_score_minus_endpoint,support_type
classification,25,ptest_mc,ptest_mc__307d6fc3284c28e2,15,45,-0.07586068305976844,-0.07280000000000009,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,ptest_rdc,ptest_rdc__307d6fc3284c28e2,15,45,-0.11039799659574988,-0.0978968253968252,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,r_cforest,r_cforest__37be32340835a93b,14,42,-0.10681064712408492,-0.09569999999999995,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,r_ctree,r_ctree__b6e09ceb0eb26367,14,42,-0.13506475264315693,-0.11782912457912459,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,rf,rf__27caa3a0a3b84fd9,15,45,-0.0008515718980163012,-0.03200000000000003,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,rfe,rfe__99914b932bd37a50,15,45,-0.02478034677101932,-0.05999999999999994,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,xgb,xgb__1c62fadfc5e2988f,15,45,0.00931905421226272,-0.028000000000000025,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,boruta,boruta__7f986516a1727870,15,45,-0.008278131332641419,-0.025429292929292857,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,cat,cat__024a0842d4337711,15,45,0.024355778687546445,-0.015111111111111186,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,cif,cif__6556bbc3e830b25a,15,45,0.021128159417319846,-0.016000000000000014,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,cit,cit__bc8d0ddbb26c15b5,15,45,-0.04573290862637306,-0.04799999999999993,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,cpi,cpi__6e89acc5e72da5a8,15,45,-0.16141356221242822,-0.14529999999999998,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,et,et__f5580a1865f967c8,15,45,0.014080689859887625,-0.020000000000000018,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,lgbm,lgbm__71ba9ba402678146,15,45,0.02717725367609359,-0.008199999999999985,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,pi,pi__6e89acc5e72da5a8,15,45,-0.07788508125114574,-0.0755927857453279,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,ptest_mc,ptest_mc__307d6fc3284c28e2,15,45,-0.0314174401378048,-0.032400000000000095,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,ptest_rdc,ptest_rdc__307d6fc3284c28e2,15,45,-0.056782040387325976,-0.056533333333333324,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,r_cforest,r_cforest__37be32340835a93b,14,42,-0.06200195232734017,-0.05416619848640919,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,r_ctree,r_ctree__b6e09ceb0eb26367,14,42,-0.11151550980678145,-0.11388888888888887,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,rf,rf__27caa3a0a3b84fd9,15,45,0.01975119840585503,-0.018000000000000127,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,rfe,rfe__99914b932bd37a50,15,45,-0.001839411164450428,-0.029333333333333322,dataset_downstream_mean_over_high_p_with_endpoint
classification,50,xgb,xgb__1c62fadfc5e2988f,15,45,0.021914364815560642,-0.012399999999999967,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,boruta,boruta__7f986516a1727870,15,45,0.019145749864973992,-0.008106060606060672,dataset_downstream_mean_over_high_p_with_endpoint
classification,100,cat,cat__024a0842d4337711,15,45,0.03306561261294908,-0.0039999999999998925,dataset_downstream_mean_over_high_p_with_endpoint
