task,dataset,downstream_model,method_base,method_id,k,endpoint_k,dataset_mean_score,endpoint_score,score_minus_endpoint,is_standard_k,is_endpoint,is_best_over_observed_k
classification,ALLAML,knn,cif,cif__6556bbc3e830b25a,1783,7129,0.7835555555555556,0.7575555555555556,0.025999999999999912,False,False,False
classification,ALLAML,knn,cif,cif__6556bbc3e830b25a,3565,7129,0.7595555555555557,0.7575555555555556,0.0020000000000000018,False,False,False
classification,ALLAML,knn,cif,cif__6556bbc3e830b25a,5347,7129,0.7535555555555555,0.7575555555555556,-0.004000000000000115,False,False,False
classification,ALLAML,knn,cif,cif__6556bbc3e830b25a,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,5,7129,0.8504444444444446,0.7575555555555556,0.09288888888888891,True,False,True
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,10,7129,0.708,0.7575555555555556,-0.049555555555555686,True,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,25,7129,0.7388888888888888,0.7575555555555556,-0.01866666666666683,True,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,50,7129,0.7357777777777779,0.7575555555555556,-0.021777777777777785,True,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,100,7129,0.762,0.7575555555555556,0.004444444444444362,True,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,150,7129,0.7435555555555555,0.7575555555555556,-0.014000000000000123,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,200,7129,0.7515555555555555,0.7575555555555556,-0.006000000000000116,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,300,7129,0.7655555555555555,0.7575555555555556,0.007999999999999896,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,500,7129,0.7535555555555555,0.7575555555555556,-0.004000000000000115,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,750,7129,0.7855555555555556,0.7575555555555556,0.027999999999999914,False,False,False
classification,ALLAML,knn,cit,cit__bc8d0ddbb26c15b5,1000,7129,0.8037777777777778,0.7575555555555556,0.046222222222222165,False,False,False
