method,avg_rank,std_rank,cd
r_cforest,1.0,0.0,23.067547886657533
lgbm,2.0,0.0,23.067547886657533
ptest_rdc,3.0,0.0,23.067547886657533
xgb,4.0,0.0,23.067547886657533
et,5.0,0.0,23.067547886657533
cif,6.0,0.0,23.067547886657533
cit,7.0,0.0,23.067547886657533
rf,8.0,0.0,23.067547886657533
pi,9.0,0.0,23.067547886657533
cat,10.0,0.0,23.067547886657533
rfe,11.0,0.0,23.067547886657533
ptest_pc,12.0,0.0,23.067547886657533
ptest_dc,13.0,0.0,23.067547886657533
boruta,14.0,0.0,23.067547886657533
cpi,15.0,0.0,23.067547886657533
r_ctree,16.0,0.0,23.067547886657533
