method,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,informative_feature_coverage_share,distinct_false_features_used
cit,2.216666666666667,2.216666666666667,0.0,1.0,0.6,0.0
dt,6.016666666666667,2.85,3.1666666666666665,0.6762639623750735,0.7083333333333334,10.333333333333334
rt,62.28333333333333,3.966666666666667,58.31666666666666,0.06085645188686042,0.875,191.0
