method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.719403299036747,,,0.719 [insufficient data],17493153.517517082,,,17493153.518 [insufficient data],2528.0667035098236,,,2528.067 [insufficient data]
cat,0.7194032993077264,,,0.719 [insufficient data],17493153.50138701,,,17493153.501 [insufficient data],2528.066698468058,,,2528.067 [insufficient data]
cif,0.7194033004094323,,,0.719 [insufficient data],17493153.46129262,,,17493153.461 [insufficient data],2528.0666729006334,,,2528.067 [insufficient data]
cit,0.7194032993677127,,,0.719 [insufficient data],17493153.47955813,,,17493153.480 [insufficient data],2528.066686027903,,,2528.067 [insufficient data]
cpi,0.7194032987202695,,,0.719 [insufficient data],17493153.538299255,,,17493153.538 [insufficient data],2528.066714029137,,,2528.067 [insufficient data]
et,0.7194033040142258,,,0.719 [insufficient data],17493153.343013145,,,17493153.343 [insufficient data],2528.0666079719417,,,2528.067 [insufficient data]
lgbm,0.7194033059067789,,,0.719 [insufficient data],17493153.18238826,,,17493153.182 [insufficient data],2528.0665198078937,,,2528.067 [insufficient data]
pi,0.7194032996293254,,,0.719 [insufficient data],17493153.49983478,,,17493153.500 [insufficient data],2528.0666954134613,,,2528.067 [insufficient data]
ptest_dc,0.719403299029143,,,0.719 [insufficient data],17493153.516105674,,,17493153.516 [insufficient data],2528.0667045308737,,,2528.067 [insufficient data]
ptest_pc,0.7194032990970187,,,0.719 [insufficient data],17493153.516034104,,,17493153.516 [insufficient data],2528.0667047591114,,,2528.067 [insufficient data]
ptest_rdc,0.719403303285553,,,0.719 [insufficient data],17493153.268540505,,,17493153.269 [insufficient data],2528.066569256601,,,2528.067 [insufficient data]
r_cforest,0.7522405654174706,,,0.752 [insufficient data],15237210.834631503,,,15237210.835 [insufficient data],2292.8508101547814,,,2292.851 [insufficient data]
r_ctree,0.7194032985218405,,,0.719 [insufficient data],17493153.566316005,,,17493153.566 [insufficient data],2528.0667330323886,,,2528.067 [insufficient data]
rf,0.7194032995996282,,,0.719 [insufficient data],17493153.484491445,,,17493153.484 [insufficient data],2528.066690151155,,,2528.067 [insufficient data]
rfe,0.7194032993139274,,,0.719 [insufficient data],17493153.503366917,,,17493153.503 [insufficient data],2528.066698961522,,,2528.067 [insufficient data]
xgb,0.7194033010665347,,,0.719 [insufficient data],17493153.335189305,,,17493153.335 [insufficient data],2528.066603965095,,,2528.067 [insufficient data]
