method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
cat,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
cif,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
cit,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
cpi,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
et,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
lgbm,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
pi,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
ptest_dc,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
ptest_pc,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
ptest_rdc,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
r_cforest,0.3587422504777865,,,0.359 [insufficient data],20348.17005831955,,,20348.170 [insufficient data],112.02160640743405,,,112.022 [insufficient data]
r_ctree,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
rf,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
rfe,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
xgb,0.5158135544716099,,,0.516 [insufficient data],15373.44877019383,,,15373.449 [insufficient data],98.82943606716589,,,98.829 [insufficient data]
