experiment,task,dataset_type,variant,n_features,n_samples,elapsed_seconds_mean,elapsed_seconds_std,f1_at_10_mean,f1_at_10_std,f1_at_100_mean,f1_at_100_std,f1_at_25_mean,f1_at_25_std,f1_at_5_mean,f1_at_5_std,f1_at_50_mean,f1_at_50_std,max_depth_mean,max_depth_std,mean_depth_mean,mean_depth_std,mean_features_used_mean,mean_features_used_std,n_estimators_actual_mean,n_estimators_actual_std,precision_at_10_mean,precision_at_10_std,precision_at_100_mean,precision_at_100_std,precision_at_25_mean,precision_at_25_std,precision_at_5_mean,precision_at_5_std,precision_at_50_mean,precision_at_50_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,recall_at_25_mean,recall_at_25_std,recall_at_5_mean,recall_at_5_std,recall_at_50_mean,recall_at_50_std,ds_knn_k5_mean,ds_knn_k5_std,ds_knn_k10_mean,ds_knn_k10_std,ds_knn_k25_mean,ds_knn_k25_std,ds_knn_k50_mean,ds_knn_k50_std,ds_knn_k100_mean,ds_knn_k100_std,ds_lr_k5_mean,ds_lr_k5_std,ds_lr_k10_mean,ds_lr_k10_std,ds_lr_k25_mean,ds_lr_k25_std,ds_lr_k50_mean,ds_lr_k50_std,ds_lr_k100_mean,ds_lr_k100_std,ds_svm_k5_mean,ds_svm_k5_std,ds_svm_k10_mean,ds_svm_k10_std,ds_svm_k25_mean,ds_svm_k25_std,ds_svm_k50_mean,ds_svm_k50_std,ds_svm_k100_mean,ds_svm_k100_std,ds_ridge_k5_mean,ds_ridge_k5_std,ds_ridge_k10_mean,ds_ridge_k10_std,ds_ridge_k25_mean,ds_ridge_k25_std,ds_ridge_k50_mean,ds_ridge_k50_std,ds_ridge_k100_mean,ds_ridge_k100_std,ds_svr_k5_mean,ds_svr_k5_std,ds_svr_k10_mean,ds_svr_k10_std,ds_svr_k25_mean,ds_svr_k25_std,ds_svr_k50_mean,ds_svr_k50_std,ds_svr_k100_mean,ds_svr_k100_std
mirrored_knob_ablation,clf,clf_standard_easy,cif_default,100,1000,25.73451351980001,7.282864893662675,0.8400000000000001,0.10198039027185568,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,9.0,1.0954451150103321,2.9539999999999997,0.25120509548972136,2.1660000000000004,0.3327221062688802,100.0,0.0,0.8400000000000001,0.10198039027185571,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,0.8400000000000001,0.10198039027185571,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9646165500324653,0.026602634892872446,0.9940035591467667,0.0038054199497957013,0.9945999567130798,0.004159120985772477,0.9926003414857034,0.005233282521765596,0.9883967005747542,0.009939761963452007,0.9276158526320852,0.06693456981958629,0.945410384051175,0.06370521465013596,0.9424043479306448,0.060309149835786356,0.9370031022292764,0.06294014390019277,0.9279994228410648,0.07570631195782819,0.9662121540052425,0.025927722162049756,0.9938027559339153,0.005067821011979554,0.9938027559339154,0.005401932053852663,0.9930031503258544,0.0050506906855782045,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_no_adaptive,100,1000,134.66294615980001,22.556462402998037,0.8200000000000001,0.11661903789690603,0.18181818181818182,0.0,0.5485714285714287,0.027994168488950616,0.6666666666666666,0.0,0.33333333333333337,0.0,11.0,1.5491933384829668,3.166,0.33517756488166084,2.322,0.3693995127230137,100.0,0.0,0.8200000000000001,0.11661903789690603,0.1,0.0,0.384,0.01959591794226544,1.0,0.0,0.2,0.0,0.8200000000000001,0.11661903789690603,1.0,0.0,0.96,0.04898979485566354,0.5,0.0,1.0,0.0,0.9632109275425055,0.027196381263270987,0.9918043431209869,0.005535669833284915,0.9932039535387057,0.004437949085052538,0.9929995430825098,0.004188252208412812,0.9883967005747542,0.009939761963452007,0.91281773801794,0.08554871666614847,0.9458059784046366,0.0634230745359603,0.9439999519034222,0.06392549262873197,0.9340066854243322,0.07000338877170555,0.9279994228410648,0.07570631195782819,0.9644121395762693,0.02652125776099572,0.9924031455161965,0.006184608808214776,0.9944003559146767,0.004161367318601565,0.9916047423225838,0.007196225204662206,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_no_scan,100,1000,22.744346162400007,2.0474780788777713,0.8600000000000001,0.1019803902718557,0.18181818181818182,0.0,0.5600000000000002,0.022857142857142864,0.6666666666666666,0.0,0.33333333333333337,0.0,9.2,1.1661903789690602,2.918,0.16690116836020047,2.194,0.18575252353602095,100.0,0.0,0.8600000000000001,0.10198039027185571,0.1,0.0,0.392,0.016000000000000014,1.0,0.0,0.2,0.0,0.8600000000000001,0.10198039027185571,1.0,0.0,0.9800000000000001,0.03999999999999999,0.5,0.0,1.0,0.0,0.96741096121011,0.021074502051573976,0.995002765553231,0.0034628320103794567,0.9942019575307217,0.004493372678680187,0.9932003462953609,0.0043283058041938,0.9883967005747542,0.009939761963452007,0.9282038332972607,0.06462311137627257,0.9462087872447874,0.06263272802777886,0.9422059495466897,0.06507991626412923,0.9352054926291995,0.06723278689276434,0.9279994228410648,0.07570631195782819,0.9696089748214416,0.021967100472801863,0.9938039583483634,0.004656647051700427,0.9934023519226607,0.005320066726055929,0.9926027463145998,0.005592344800756348,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_no_threshold_scan,100,1000,22.355668572000013,3.6194277173387177,0.9400000000000001,0.04898979485566355,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,10.0,0.6324555320336759,3.3240000000000003,0.34673332692430925,2.5540000000000003,0.41888423221696947,100.0,0.0,0.9400000000000001,0.04898979485566355,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,0.9400000000000001,0.04898979485566355,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9690149820840247,0.02167663022337246,0.9952035687660823,0.003697623358949359,0.9950039679676792,0.003806997290188148,0.9923995382728519,0.005277502692566723,0.9883967005747542,0.009939761963452007,0.9286090469663083,0.06720306420369855,0.9463999711420532,0.06358540165490854,0.9406031310872232,0.06288081936300927,0.9362071038645599,0.06689321965266098,0.9279994228410648,0.07570631195782819,0.9690053627684391,0.022019801460011035,0.9950003607243344,0.0033910501776253893,0.9940023567323184,0.004583274793712779,0.9926051511434963,0.004773844689226821,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_no_mute,100,1000,22.953747832999987,1.7859977316877504,0.8400000000000001,0.10198039027185568,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,9.0,1.0954451150103321,2.936,0.23745315327449323,2.15,0.32514612099792917,100.0,0.0,0.8400000000000001,0.10198039027185571,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,0.8400000000000001,0.10198039027185571,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9646165500324653,0.026602634892872446,0.9940035591467667,0.0038054199497957013,0.9944003559146767,0.0042186364343876044,0.9926003414857034,0.005233282521765596,0.9883967005747542,0.009939761963452007,0.9276158526320852,0.06693456981958629,0.945410384051175,0.06370521465013596,0.942603948729048,0.06051566783688806,0.9376007022100378,0.06356850262503522,0.9279994228410648,0.07570631195782819,0.9662121540052425,0.025927722162049756,0.9938027559339153,0.005067821011979554,0.9936031551355121,0.0054568009926750745,0.9930031503258544,0.0050506906855782045,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_no_bootstrap,100,1000,22.033553107000035,4.77072712693144,1.0,0.0,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,6.6,0.4898979485566356,2.168,0.1756587601003719,1.23,0.23263705637752555,100.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9696125820647861,0.022092719916353178,0.9962027751725465,0.0029476712588064427,0.9949991583098861,0.0043041113377941575,0.9922059495466897,0.0047639718859320826,0.9883967005747542,0.009939761963452007,0.9280078397422024,0.06662809258094331,0.9466031791838011,0.06367364389213954,0.9444135824736071,0.0614927733884609,0.9360038958228122,0.06723786321711826,0.9279994228410648,0.07570631195782819,0.9700045691749033,0.02269019799767565,0.9952011639371859,0.0034217892827963737,0.9934035543371088,0.004721841503405969,0.9924043479306448,0.005982323955665457,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_no_bonferroni,100,1000,0.3520867685999747,0.07333191261053028,0.9400000000000001,0.04898979485566355,0.18181818181818182,0.0,0.56,0.022857142857142864,0.6666666666666666,0.0,0.33333333333333337,0.0,14.0,1.6733200530681511,8.056000000000001,0.49260937871705185,13.309999999999999,1.685823241030921,100.0,0.0,0.9400000000000001,0.04898979485566355,0.1,0.0,0.392,0.016000000000000014,1.0,0.0,0.2,0.0,0.9400000000000001,0.04898979485566355,1.0,0.0,0.9800000000000001,0.039999999999999994,0.5,0.0,1.0,0.0,0.9652213644999159,0.02575387983171892,0.9956051751917852,0.003431234527758347,0.9940035591467667,0.0040635417933911734,0.9910011302695813,0.0051035967438789655,0.9883967005747542,0.009939761963452007,0.9290082485631148,0.06442157936094078,0.9468063872255488,0.0648616724031371,0.9416083495659283,0.06361114615578733,0.9394103359545969,0.06637518705471503,0.9279994228410648,0.07570631195782819,0.9680169780920089,0.02330639741967596,0.994601159127528,0.004504167726389988,0.9938027559339153,0.00487009655091734,0.9920051463338384,0.006705125659029662,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,cif_all_off,100,1000,1.4218542151999827,0.07308426126201252,0.9,0.08944271909999152,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,18.6,1.2,10.536,0.4804414636560834,21.279999999999998,1.4153444810363305,100.0,0.0,0.9,0.08944271909999157,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,0.9,0.08944271909999157,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9664189692903351,0.02421370197003135,0.9940023567323184,0.0067461673984796815,0.9940023567323184,0.004635336159590481,0.9922011398888969,0.004865162247394202,0.9883967005747542,0.009939761963452007,0.9324014621359691,0.06388552158452018,0.9450075752110237,0.06410653812935727,0.9440059639756632,0.0673070900273251,0.9363994901762741,0.0662434773850272,0.9279994228410648,0.07570631195782819,0.9696173917225789,0.021671868338659365,0.9924031455161966,0.008321769583308988,0.9940011543178702,0.004473299713255106,0.9928023471130029,0.00571828573121896,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,rf,100,1000,0.1601717336000547,0.007905569277215153,1.0,0.0,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,43.284,6.935083561140413,100.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9682177813048602,0.022294818710519634,0.9962027751725465,0.0029476712588064427,0.9941995527018251,0.0037024979712694684,0.9927975374552102,0.005171502278736023,0.9883967005747542,0.009939761963452007,0.9346030829906452,0.06076149799412971,0.9466031791838011,0.06367364389213954,0.9478019863886684,0.05358409084195617,0.9396015198518626,0.06390992811472045,0.9279994228410648,0.07570631195782819,0.9720126013034174,0.01906262507767418,0.9952011639371859,0.0034217892827963737,0.9944003559146767,0.0040395502170658786,0.9936007503066158,0.0052757340139098574,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
mirrored_knob_ablation,clf,clf_standard_easy,et,100,1000,0.1279650947999471,0.0029440842146458133,1.0,0.0,0.18181818181818182,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,83.17,5.50810312176524,100.0,0.0,1.0,0.0,0.1,0.0,0.4,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9692097732246351,0.020353724553968736,0.9962027751725465,0.0029476712588064427,0.99420315994517,0.003698190277164449,0.9932003462953609,0.005066876969556143,0.9883967005747542,0.009939761963452007,0.9346102974773345,0.06595119506559066,0.9466031791838011,0.06367364389213954,0.9450015631387828,0.06112172334655997,0.9378063150806819,0.0651283082976951,0.9279994228410648,0.07570631195782819,0.9720126013034174,0.01850993653770401,0.9952011639371859,0.0034217892827963737,0.9940023567323186,0.004638255483138917,0.9924043479306448,0.005682442949828453,0.9880011062212922,0.00954052351268704,,,,,,,,,,,,,,,,,,,,
