experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
strictness_continuum,clf,clf_standard_easy,strict_default,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,35.59356789120002,8.283304463734826,2.9539999999999997,0.25120509548972136,9.0,1.0954451150103321,2.1660000000000004,0.3327221062688802,,,,,,,,
strictness_continuum,clf,clf_standard_easy,no_bonf_a05,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.905050505050505,0.03294849783899008,0.9448115816559653,0.057146936648150896,0.9940035591467666,0.0034061423800722072,42.67005907360001,4.046178904361627,3.604,0.28597902020952504,9.0,1.4142135623730951,2.986,0.3641208590564402,,,,,,,,
strictness_continuum,clf,clf_standard_easy,no_bonf_a10,100,1000,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547876,0.909090909090909,0.034402800739245246,0.9444051655724696,0.05910332614020301,0.9940023567323184,0.005098274977525054,47.527107341800026,2.118142797023723,3.7960000000000003,0.23009563229231442,9.4,1.2,3.2,0.2756809750418044,,,,,,,,
strictness_continuum,clf,clf_standard_easy,no_bonf_a20,100,1000,0.8400000000000001,0.07999999999999999,0.8400000000000001,0.07999999999999999,0.8400000000000001,0.07999999999999995,0.9010101010101008,0.040099865133897385,0.9460103888608327,0.05596094241860064,0.9940083688045596,0.004421612607775246,51.77650479200001,2.1513455679481974,3.868,0.13059862173851602,9.6,0.7999999999999999,3.306,0.1926239860453521,,,,,,,,
strictness_continuum,clf,clf_standard_easy,no_bonf_a50,100,1000,0.8400000000000001,0.07999999999999999,0.8400000000000001,0.07999999999999999,0.8400000000000001,0.07999999999999995,0.909090909090909,0.034402800739245246,0.9444111776447105,0.05744676305461828,0.9932051559531538,0.005032841231867592,53.77102477299995,2.1797453092848538,3.8480000000000003,0.1819230606602691,9.4,1.0198039027185568,3.3019999999999996,0.23861265683110777,,,,,,,,
strictness_continuum,clf,clf_standard_easy,wide_open_a99,100,1000,0.86,0.07999999999999999,0.86,0.07999999999999999,0.8600000000000001,0.07999999999999993,0.905050505050505,0.03294849783899008,0.9464119952865353,0.055048506251248075,0.9946035639564246,0.0031994768572750866,54.59907195159999,2.954759964814209,3.878,0.24967178454923586,10.0,0.8944271909999159,3.336,0.32240347392669333,,,,,,,,
strictness_continuum,clf,clf_standard_easy,no_bonf_a20_no_es,100,1000,0.7000000000000001,0.14142135623730953,0.7000000000000001,0.14142135623730953,0.7000000000000001,0.14142135623730953,0.8686868686868687,0.05820145572075935,0.93860111103095,0.05904595941508725,0.9808106678209846,0.020022052989667537,140.31303312639994,9.640299626470961,2.0599999999999996,0.12457929201917953,7.4,1.0198039027185568,1.134,0.15107613974417003,,,,,,,,
strictness_continuum,clf,clf_standard_easy,no_bonf_a05_no_boot,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,41.862090325400096,6.525122615099201,2.258,0.2519841264841895,7.2,0.39999999999999997,1.3379999999999999,0.2766514052015641,,,,,,,,
strictness_continuum,clf,clf_standard_easy,optimized_a20,100,1000,0.86,0.07999999999999999,0.86,0.07999999999999999,0.8600000000000001,0.07999999999999993,0.9191919191919192,0.03725068467593085,0.9454067768078301,0.0565925954631459,0.9940023567323184,0.0032841691783676223,27.337979815200015,1.295053371483721,2.43,0.12083045973594567,7.4,0.4898979485566356,1.512,0.14510685717773644,,,,,,,,
strictness_continuum,clf,clf_standard_easy,rf,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,0.1696415049999814,0.005795210406668216,0.0,0.0,0.0,0.0,43.284,6.935083561140413,,,,,,,,
