experiment,task,n_samples,n_features,model,variant,repeats,seconds_median,seconds_min,seconds_max
scaling_curves,clf,500,20,cit,default,2,0.1659939809999997,0.0865510080000007,0.2454369539999987
scaling_curves,clf,500,20,cit,no_adaptive,2,0.155521177500006,0.0806519790000095,0.2303903760000025
scaling_curves,clf,500,20,cif,default,2,13.105513104999986,13.034553510999984,13.176472698999987
scaling_curves,clf,500,20,cif,no_adaptive,2,13.205987952499996,12.993784573999989,13.418191331000004
scaling_curves,clf,8000,20,cit,default,2,2.7837409880000052,2.6928156820000027,2.874666294000008
scaling_curves,clf,8000,20,cit,no_adaptive,2,2.654048678500004,2.5828392760000156,2.7252580809999927
scaling_curves,clf,8000,20,cif,default,2,216.13563797400005,213.9025441750001,218.36873177300004
scaling_curves,clf,8000,20,cif,no_adaptive,2,211.20587993100003,199.6931377830001,222.7186220789999
scaling_curves,reg,32000,20,cit,default,2,8.530437059499945,8.260946586000045,8.799927532999845
scaling_curves,reg,32000,20,cit,no_adaptive,2,8.115753281499906,7.8804157339998255,8.351090828999986
scaling_curves,reg,32000,20,cif,default,2,787.952787773,777.6929791859998,798.2125963600001
scaling_curves,reg,32000,20,cif,no_adaptive,2,797.0712381749995,769.9060142539993,824.2364620959997
scaling_curves,reg,500,500,cit,default,2,4.28143293800008,4.267458078000118,4.295407798000042
scaling_curves,reg,500,500,cit,no_adaptive,2,3.347845043000006,3.3235728560000553,3.372117229999958
scaling_curves,reg,500,500,cif,default,2,12.171100397999908,11.96415564799986,12.378045147999956
scaling_curves,reg,500,500,cif,no_adaptive,2,12.050062353000044,11.893875854000044,12.206248852000044
scaling_curves,clf,500,100,cit,default,2,0.2062042330000011,0.1850289759999981,0.2273794900000041
scaling_curves,clf,500,100,cit,no_adaptive,2,0.1852565729999895,0.1697750479999911,0.2007380979999879
scaling_curves,clf,500,100,cif,default,2,12.97611284700001,12.954327225000014,12.997898469000006
scaling_curves,clf,500,100,cif,no_adaptive,2,13.320642982500004,12.933747260000018,13.70753870499999
scaling_curves,clf,8000,100,cit,default,2,3.1968541249999873,3.1303540129999874,3.2633542369999873
scaling_curves,clf,8000,100,cit,no_adaptive,2,3.016221049500018,2.963232249000015,3.0692098500000213
scaling_curves,clf,8000,100,cif,default,2,179.83654861849996,175.87754275499992,183.795554482
scaling_curves,clf,8000,100,cif,no_adaptive,2,182.2640855085001,179.43135336700016,185.09681765000005
scaling_curves,reg,2000,20,cit,default,2,0.3768003225000029,0.26243953900007,0.4911611059999359
scaling_curves,reg,2000,20,cit,no_adaptive,2,0.3554060630000322,0.2500705449999714,0.460741581000093
scaling_curves,reg,2000,20,cif,default,2,54.85232317199995,45.48278393999999,64.22186240399992
scaling_curves,reg,2000,20,cif,no_adaptive,2,46.333015611499945,45.81896235099998,46.84706887199991
scaling_curves,reg,32000,100,cit,default,2,13.201571454500026,12.736812354999984,13.66633055400007
scaling_curves,reg,32000,100,cit,no_adaptive,2,12.056721975000071,11.697197637000045,12.416246313000102
scaling_curves,reg,32000,100,cif,default,2,705.381679094,686.3245022269998,724.4388559610002
scaling_curves,reg,32000,100,cif,no_adaptive,2,685.4678232735,676.932541272,694.003105275
scaling_curves,clf,32000,20,cit,default,2,11.268969342500014,11.20834537899998,11.32959330600005
scaling_curves,clf,32000,20,cit,no_adaptive,2,10.691286536000009,10.573833790000036,10.808739281999976
scaling_curves,clf,32000,20,cif,default,2,988.208232789,920.2088804400004,1056.207585138
scaling_curves,clf,32000,20,cif,no_adaptive,2,1014.978072336,951.638407941,1078.317736731
scaling_curves,clf,500,500,cit,default,2,4.197202525999998,4.169133415999994,4.225271636000002
scaling_curves,clf,500,500,cit,no_adaptive,2,3.491511220999996,3.458487448999989,3.524534993000003
scaling_curves,clf,500,500,cif,default,2,13.763160279000004,13.181048994999998,14.345271563000011
scaling_curves,clf,500,500,cif,no_adaptive,2,13.438271958499996,13.272271268999988,13.604272648000006
scaling_curves,reg,2000,100,cit,default,2,1.042468004499824,0.996520445999522,1.088415563000126
scaling_curves,reg,2000,100,cit,no_adaptive,2,0.9220093039998574,0.8696396730001652,0.9743789349995496
scaling_curves,reg,2000,100,cif,default,2,42.863225265500205,41.32909204899988,44.39735848200053
scaling_curves,reg,2000,100,cif,no_adaptive,2,43.04564314050003,41.892232825000065,44.199053456
scaling_curves,clf,2000,20,cit,default,2,0.610095449500001,0.4989301549999965,0.7212607440000056
scaling_curves,clf,2000,20,cit,no_adaptive,2,0.5733530290000033,0.4565231800000049,0.6901828780000017
scaling_curves,clf,2000,20,cif,default,2,53.7294014205,53.670934829,53.78786801199999
scaling_curves,clf,2000,20,cif,no_adaptive,2,54.80954533399998,53.522806222999975,56.09628444499998
scaling_curves,clf,32000,100,cit,default,2,11.284873668000015,11.24882576600004,11.320921569999996
scaling_curves,clf,32000,100,cit,no_adaptive,2,10.735611560999985,10.732605292000017,10.738617829999953
scaling_curves,clf,32000,100,cif,default,2,655.229236882,553.430828281,757.027645483
scaling_curves,clf,32000,100,cif,no_adaptive,2,688.33833596,575.3832772239998,801.2933946960002
scaling_curves,reg,2000,500,cit,default,2,16.409866815499754,16.13200434800001,16.6877292829995
scaling_curves,reg,2000,500,cit,no_adaptive,2,13.244288698999751,13.046031453000069,13.442545944999438
scaling_curves,reg,2000,500,cif,default,2,45.45637224249958,43.50218429299912,47.41056019200005
