study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,dt,3,249,20,229,206,953
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,dt,4,249,21,228,199,953
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rt,0,249,17,232,211,953
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rt,1,249,21,228,201,953
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rt,2,249,20,229,209,953
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rt,3,249,24,225,213,953
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rt,4,249,23,226,190,953
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cit,0,16,15,1,1,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cit,1,16,15,1,1,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cit,2,15,15,0,0,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cit,3,15,14,1,1,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cit,4,15,15,0,0,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,dt,0,249,21,228,83,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,dt,1,249,21,228,88,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,dt,2,249,23,226,92,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,dt,3,249,24,225,91,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,dt,4,249,23,226,88,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rt,0,249,29,220,89,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rt,1,249,36,213,88,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rt,2,249,36,213,88,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rt,3,249,27,222,84,"99,98"
single_tree_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,rt,4,249,29,220,85,"99,98"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cit,0,20,19,1,1,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cit,1,21,20,1,1,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cit,2,21,20,1,1,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cit,3,20,19,1,1,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,cit,4,21,20,1,1,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,dt,0,249,24,225,171,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,dt,1,249,21,228,190,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,dt,2,249,22,227,184,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,dt,3,249,21,228,189,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,dt,4,249,23,226,173,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,rt,0,249,23,226,186,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,rt,1,249,21,228,184,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,rt,2,249,27,222,170,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,rt,3,249,20,229,187,"304,195"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,27218,rt,4,249,18,231,184,"304,195"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cit,0,13,13,0,0,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cit,1,13,13,0,0,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cit,2,13,13,0,0,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cit,3,13,13,0,0,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cit,4,13,13,0,0,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,dt,0,249,11,238,215,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,dt,1,249,11,238,210,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,dt,2,249,11,238,215,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,dt,3,249,12,237,215,"140,481"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,dt,4,249,11,238,201,"140,481"
