method,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,informative_feature_coverage_share,distinct_false_features_used
cit,12.7,12.116666666666667,0.5833333333333334,0.935166394323092,0.775,0.6666666666666666
dt,249.0,18.216666666666665,230.78333333333333,0.0731593038821954,0.9666666666666668,401.5
rt,249.0,20.85,228.15,0.083734939759036,0.9916666666666668,411.8333333333333
