experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std
bootstrap_vs_featsubsample,clf,clf_standard_easy,boot_allfeats,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,35.68216862100235,6.232501323073817,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,boot_sqrt,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,33.92215397619875,2.460090553721854,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,boot_log2,100,1000,0.78,0.09797958971132714,0.78,0.09797958971132714,0.78,0.09797958971132717,0.8969696969696969,0.038009874186316725,0.9440071663901113,0.05481401017674633,0.9912067431402256,0.0023140827652059956,32.21708494620107,3.489563688033075,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,boot_half,100,1000,0.9400000000000001,0.04898979485566355,0.9400000000000001,0.04898979485566355,0.9400000000000001,0.04898979485566355,0.9010101010101008,0.040099865133897385,0.946403578385398,0.05686022983130701,0.9966019767693528,0.002060509687664629,48.976905428199096,11.323790740136213,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,noboot_allfeats,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,31.668714311800432,3.3411736947348225,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,noboot_sqrt,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,30.999845906396512,4.011702514844307,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,noboot_log2,100,1000,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.9111111111111111,0.04110503020075919,0.9460043767885915,0.05653770155387815,0.99580357357574,0.0024799925522849767,29.679525365596056,3.7559741093461585,,,,
bootstrap_vs_featsubsample,clf,clf_standard_easy,noboot_half,100,1000,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.9070707070707069,0.04580114767173589,0.9468027799822043,0.05708375708125389,0.99580357357574,0.002782801144227974,66.72409914400195,12.44540619492451,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,boot_allfeats,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6995246583481878,0.05185964350448872,0.6517825311942959,0.05119408694472561,3.1869974782021018,0.11981420305555847,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,boot_sqrt,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6995246583481878,0.05185964350448872,0.6517825311942959,0.05119408694472561,3.2265821299981328,0.14377206205661042,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,boot_log2,1000,200,0.08,0.04,0.16,0.08,0.10666666666666666,0.05333333333333334,0.8316316316316316,0.10849927378896622,0.6720736779560309,0.036368975798192336,0.5981283422459893,0.059420647580210074,3.029780491601559,0.21548181565397065,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,boot_half,1000,200,0.21999999999999997,0.132664991614216,0.43999999999999995,0.265329983228432,0.29333333333333333,0.17688665548562132,0.8158158158158159,0.07220264004340317,0.7309863339275104,0.04141482339081008,0.693939393939394,0.05545271858304423,72.87224131779803,2.2878633427859527,,,,
bootstrap_vs_featsubsample,clf,clf_standard_hard,noboot_allfeats,1000,200,0.14,0.10198039027185568,0.28,0.20396078054371136,0.18666666666666668,0.1359738536958076,0.6124124124124124,0.21849758499375124,0.6438799762329175,0.0672334782002825,0.6249851455733809,0.08309729292009577,7.039305898401653,0.4791187729802109,,,,
