summary_scope,task,dataset_source,dataset_type,method_family,variant,n_runs,n_success,n_datasets,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_ratio_vs_family_default_mean,elapsed_ratio_vs_family_default_median,mean_depth_mean,max_depth_mean,mean_features_used_per_tree_mean,importance_nonzero_count_mean,precision_at_10_mean,recall_at_10_mean,f1_at_10_mean
dataset_source,clf,real,__all__,cit,cit_default,35,35,7,15.714177655857176,1.345695891000105,26.565471046735066,1.0,1.0,8.371428571428572,8.371428571428572,17.542857142857144,17.542857142857144,,,
dataset_source,clf,real,__all__,cit,cit_exact_thresholds,35,35,7,21.687469388000032,1.3003428869997151,33.562175052535764,1.188771828782253,0.982513031615594,8.457142857142857,8.457142857142857,17.571428571428573,17.571428571428573,,,
dataset_source,clf,real,__all__,cit,cit_no_adaptive,35,35,7,31.39637741737145,7.597610963000079,46.28471137414097,5.42399903822964,3.2613234053579143,12.285714285714286,12.285714285714286,19.685714285714287,19.685714285714287,,,
dataset_source,clf,real,__all__,cit,cit_no_feature_scan,35,35,7,15.492774098714328,2.2212893680002708,21.430998662079684,2.867259381808825,1.4174302061509403,9.457142857142857,9.457142857142857,20.257142857142856,20.257142857142856,,,
dataset_source,clf,synthetic,__all__,cit,cit_default,40,40,8,7.67142730945001,2.96619727150005,11.47357559153498,1.0,1.0,4.825,4.825,5.3,5.3,0.43,0.49749999999999994,0.4525
dataset_source,clf,synthetic,__all__,cit,cit_exact_thresholds,40,40,8,8.145168263824985,2.8671598904999485,11.990381089583295,1.6624677004312622,1.0091557114113634,4.975,4.975,5.5,5.5,0.4325,0.5,0.45499999999999996
dataset_source,clf,synthetic,__all__,cit,cit_no_adaptive,40,40,8,13.45258930877498,14.778658966999984,5.609066944178621,3.923014008800682,4.048657667118517,7.725,7.725,6.5,6.5,0.40499999999999997,0.46749999999999997,0.4258333333333334
dataset_source,clf,synthetic,__all__,cit,cit_no_feature_scan,40,40,8,7.4044452437749895,3.848602528499896,7.499500777822888,1.741264538197235,1.0115666138214658,5.6,5.6,7.175,7.175,0.44000000000000006,0.5025000000000001,0.4608333333333333
dataset_source,reg,real,__all__,cit,cit_default,10,10,2,3.130712713200137,1.3429353824999453,3.6528812522406926,1.0,1.0,8.0,8.0,5.6,5.6,,,
dataset_source,reg,real,__all__,cit,cit_exact_thresholds,10,10,2,2.4467799767999168,1.781161174999852,2.6273461032059706,0.9379740766310987,0.9122685581110463,8.2,8.2,5.1,5.1,,,
dataset_source,reg,real,__all__,cit,cit_no_adaptive,10,10,2,19.377711186299894,16.903924432499934,19.365651899952766,9.146517096345267,8.406742657362177,9.6,9.6,5.9,5.9,,,
dataset_source,reg,real,__all__,cit,cit_no_feature_scan,10,10,2,2.9100065217999145,1.7259255679996386,2.858180428748784,2.6289128643227793,1.4254598307695812,8.1,8.1,6.0,6.0,,,
dataset_source,reg,synthetic,__all__,cit,cit_default,30,30,6,7.460824132100007,4.852768941499903,6.680060655669198,1.0,1.0,7.1,7.1,6.7,6.7,0.47333333333333333,0.58,0.508888888888889
dataset_source,reg,synthetic,__all__,cit,cit_exact_thresholds,30,30,6,7.678721842466659,4.664231975500115,7.44577926693622,1.0507348138656363,1.0751121659881273,7.2,7.2,6.4,6.4,0.4766666666666667,0.5866666666666667,0.5133333333333333
dataset_source,reg,synthetic,__all__,cit,cit_no_adaptive,30,30,6,13.72394674060002,14.689422101000105,5.7947184927257975,3.2913609311890526,3.4085997267663855,10.633333333333333,10.633333333333333,8.033333333333333,8.033333333333333,0.5133333333333333,0.6166666666666667,0.5477777777777778
dataset_source,reg,synthetic,__all__,cit,cit_no_feature_scan,30,30,6,4.36177017156665,3.5987539804998505,2.790948769220957,0.8834151878964939,0.5364621763187513,8.2,8.2,8.566666666666666,8.566666666666666,0.5233333333333333,0.6333333333333333,0.56
dataset,clf,real,real_breast_cancer,cit,cit_default,5,5,1,1.1167351273998976,0.37536841500013907,1.701647166692485,1.0,1.0,5.0,5.0,4.6,4.6,,,
dataset,clf,real,real_breast_cancer,cit,cit_exact_thresholds,5,5,1,0.44974989799993637,0.4610432889999174,0.016409791637010212,1.0317689263540308,1.1540493393739213,5.0,5.0,5.4,5.4,,,
dataset,clf,real,real_breast_cancer,cit,cit_no_adaptive,5,5,1,8.32522004499997,7.597610963000079,1.9823892986964455,19.601327181559217,22.682959762178072,10.6,10.6,13.2,13.2,,,
dataset,clf,real,real_breast_cancer,cit,cit_no_feature_scan,5,5,1,5.472408253800131,2.2212893680002708,6.340023987169237,12.680594077959835,5.899242305720339,5.4,5.4,6.8,6.8,,,
dataset,clf,real,real_digits,cit,cit_default,5,5,1,1.3338116087999878,1.3278431509997972,0.04468383014888759,1.0,1.0,13.0,13.0,39.8,39.8,,,
dataset,clf,real,real_digits,cit,cit_exact_thresholds,5,5,1,1.3109883641999658,1.3003428869997151,0.0498779952889121,0.9827829488527516,0.982513031615594,13.0,13.0,39.8,39.8,,,
dataset,clf,real,real_digits,cit,cit_no_adaptive,5,5,1,4.505922184600058,4.330525946999842,0.5942284420223877,3.3809613436276833,3.186090901755175,16.2,16.2,43.6,43.6,,,
dataset,clf,real,real_digits,cit,cit_no_feature_scan,5,5,1,1.9438676730000224,1.9522356600000421,0.07296688324768066,1.458126328645981,1.4593777687906295,13.0,13.0,41.6,41.6,,,
