method_base,display_name,5,10,25,50,100
lgbm,LightGBM,6.1818181818181825,4.317460317460317,3.522222222222222,4.077777777777778,4.392857142857143
xgb,XGBoost,5.613636363636363,5.253968253968254,4.1000000000000005,5.066666666666666,4.916666666666667
cat,CatBoost,6.757575757575758,6.365079365079365,4.477777777777778,4.477777777777778,3.964285714285714
cif,CIF,6.196969696969696,7.3730158730158735,6.188888888888889,5.5,4.9523809523809526
rf,RF,5.765151515151516,7.095238095238095,5.777777777777778,5.7444444444444445,6.392857142857143
rfe,RFE,5.803030303030304,7.198412698412699,7.122222222222223,7.433333333333334,7.071428571428572
et,ExtraTrees,7.075757575757575,8.079365079365079,7.3999999999999995,6.788888888888889,6.416666666666667
dt,DT,6.196969696969696,6.563492063492063,7.955555555555556,8.700000000000001,10.369047619047619
boruta,Boruta,11.99242424242424,11.206349206349204,8.677777777777777,7.944444444444444,7.714285714285714
rt,RT,10.393939393939394,9.777777777777779,9.955555555555556,9.488888888888889,10.035714285714285
cit,CIT,9.5,9.45238095238095,9.366666666666667,10.322222222222223,11.95238095238095
ptest_mc,MC filter,10.393939393939393,10.76984126984127,11.566666666666668,10.922222222222222,10.392857142857144
ptest_rdc,RDC filter,12.893939393939396,11.912698412698411,12.388888888888888,12.100000000000001,11.047619047619046
r_cforest,cforest,11.181818181818182,11.841269841269842,12.755555555555555,12.355555555555554,12.261904761904761
pi,PI,10.553030303030303,11.484126984126986,13.299999999999999,13.011111111111111,12.357142857142856
r_ctree,ctree,13.378787878787877,11.373015873015873,13.1,13.299999999999999,13.69047619047619
cpi,CPI,13.12121212121212,12.936507936507937,15.344444444444443,15.766666666666667,15.071428571428571
