method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
cat,0.035820638444217866,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
cif,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
cit,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
cpi,0.03582063844421787,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
et,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
lgbm,0.035820638444217866,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
pi,0.03582063844421788,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
ptest_dc,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
ptest_pc,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
ptest_rdc,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
r_cforest,0.026377022635056944,,,0.026 [insufficient data],30932.99178051722,,,30932.992 [insufficient data],141.85295197869536,,,141.853 [insufficient data]
r_ctree,0.035820638444217866,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
rf,0.03582063844421785,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
rfe,0.03582063844421786,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
xgb,0.035820638444217866,,,0.036 [insufficient data],30633.89615174075,,,30633.896 [insufficient data],141.15208867648852,,,141.152 [insufficient data]
