study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_seeds,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,dt,5,9.0,3.2,5.8,0.35555555555555557,15,5,0.29473684210526313,"5,5,5,1,0","5,5,5,1,0"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,rt,5,70.6,8.8,61.8,0.12464589235127478,91,5,2.3263157894736843,"8,11,16,6,3","5,4,5,4,2"
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,cit,5,1.0,1.0,0.0,1.0,0,0,0.0,5,5
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,dt,5,1.0,1.0,0.0,1.0,0,0,0.0,5,5
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,rt,5,47.8,1.6,46.2,0.03347280334728033,187,3,0.43887775551102204,8,4
single_tree_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,cit,5,3.0,3.0,0.0,1.0,0,0,0.0,"0,10,0,0,0,0,0,0,0,5","0,5,0,0,0,0,0,0,0,5"
single_tree_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,dt,5,12.0,5.2,6.8,0.43333333333333335,23,5,0.0673469387755102,"5,5,5,0,0,0,6,0,0,5","5,5,5,0,0,0,5,0,0,5"
single_tree_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,rt,5,64.6,3.4,61.2,0.05263157894736842,223,3,0.5816326530612245,"2,3,1,1,2,3,0,3,0,2","2,3,1,1,2,2,0,3,0,2"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,cit,5,1.0,1.0,0.0,1.0,0,0,0.0,"0,5","0,5"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,dt,5,2.0,1.0,1.0,0.5,5,1,0.010040160642570281,"0,5","0,5"
single_tree_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,rt,5,66.6,1.6,65.0,0.024024024024024024,231,4,0.606425702811245,"0,8","0,4"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,cit,5,4.0,4.0,0.0,1.0,0,0,0.0,"0,5,0,10,5","0,5,0,5,5"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,dt,5,7.0,3.8,3.2,0.5428571428571428,12,4,0.03232323232323232,"0,5,5,5,4","0,5,5,5,4"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,rt,5,62.4,3.4,59.0,0.05448717948717949,226,3,0.5575757575757576,"0,5,5,3,4","0,4,5,3,4"
