experiment,task,dataset_source,dataset_key,dataset_type,n_samples,n_features,n_classes,seed_offset,seed,variant,method_family,variant_description,changes_statistical_rule,changes_sampling_scheme,n_jobs,n_estimators_requested,run_shard_id,ec2_instance_id,ec2_instance_type,aws_region,host,python,git_sha,created_at_utc,elapsed_seconds,importance_sum,importance_nonzero_count,importance_max,mean_depth,max_depth,mean_features_used_per_tree,n_estimators_actual,fit_success,error,source_file,precision_at_5,recall_at_5,f1_at_5,precision_at_10,recall_at_10,f1_at_10,precision_at_25,recall_at_25,f1_at_25,precision_at_50,recall_at_50,f1_at_50,precision_at_100,recall_at_100,f1_at_100,default_elapsed_seconds,elapsed_ratio_vs_default,elapsed_speedup_vs_default
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,1,1719,cit_no_threshold_scan,cit,CIT without threshold scan ordering,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,3.5882176730000026,1.0,39,0.1123143344075555,13.0,13.0,39.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,1.9113480830000071,1.8773229768635444,0.532673393083755
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,1,1719,cit_no_feature_mute,cit,CIT without muting features after failed selector tests,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.0370392840000022,1.0,34,0.1172077069943737,13.0,13.0,34.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,1.9113480830000071,1.065760497586977,0.9382971148434686
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,1,1719,cit_exact_thresholds,cit,CIT using all exact split thresholds,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.0065503149999984,1.0,34,0.1190710938377818,13.0,13.0,34.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,1.9113480830000071,1.0498089452396153,0.9525542762180916
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,1,1719,cit_no_bonferroni,cit,CIT without Bonferroni correction,True,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,0.2486269239999785,1.0,45,0.1076114009433684,15.0,15.0,45.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,1.9113480830000071,0.13007935404928417,7.6876150508951815
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_default,cit,CIT with the paper default runtime controls,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.4086048830000095,0.9999999999999998,37,0.1171435277795697,14.0,14.0,37.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,1.0,1.0
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_no_adaptive,cit,CIT with full permutation tests instead of adaptive stopping,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,6.620998990000004,1.0,47,0.0997972372552985,16.0,16.0,47.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,2.748893783588654,0.36378269905158345
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_no_feature_scan,cit,CIT without feature scan ordering,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,6.29342856400001,1.0,44,0.0681743657292227,18.0,18.0,44.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,2.6128937163663406,0.3827174422504505
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_no_threshold_scan,cit,CIT without threshold scan ordering,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,3.7405573420000167,1.0,34,0.0829364185665791,14.0,14.0,34.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,1.5529974917849578,0.6439160431937575
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_no_feature_mute,cit,CIT without muting features after failed selector tests,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.429361790999991,0.9999999999999998,37,0.1171435277795697,14.0,14.0,37.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,1.0086178136341433,0.9914558185294264
cit_cif_runtime_ablation,clf,real,openml_optdigits,real_openml_optdigits,5620,64,10.0,2,1720,cit_exact_thresholds,cit,CIT using all exact split thresholds,False,False,-1,1,real_openml_optdigits,i-00fc18a9c04fe8162,c7i.24xlarge,us-east-1,ip-172-31-16-215.ec2.internal,3.13.13,unknown,2026-04-24T13:18:03.639301+00:00,2.521170412999993,1.0,38,0.1183910158401311,14.0,14.0,38.0,1.0,True,,i-00fc18a9c04fe8162/scratch/cit_runtime_ablation_shards/cit_runtime_ablation_real_openml_optdigits_raw.csv,,,,,,,,,,,,,,,,2.4086048830000095,1.0467347429188048,0.9553518756925125
