method,avg_rank,std_rank,cd
lgbm,4.239130434782608,2.628727437279968,4.289604706734938
cat,4.760869565217392,3.329282352547883,4.289604706734938
xgb,5.195652173913044,2.334705690579802,4.289604706734938
rfe,5.5,3.1588385317336525,4.289604706734938
rf,5.543478260869565,3.345707969136697,4.289604706734938
et,5.673913043478261,3.1540474192493275,4.289604706734938
boruta,5.804347826086956,3.583595263063589,4.289604706734938
cif,6.543478260869565,2.80105975084222,4.289604706734938
ptest_rdc,9.108695652173912,3.0070804913213487,4.289604706734938
ptest_mc,9.282608695652174,3.7090549802990127,4.289604706734938
cit,10.108695652173912,2.956042160592181,4.289604706734938
pi,10.304347826086957,2.5398524881625923,4.289604706734938
r_ctree,12.065217391304348,3.284695564697133,4.289604706734938
cpi,12.608695652173912,2.9853137688820497,4.289604706734938
r_cforest,13.26086956521739,1.3899449880996326,4.289604706734938
