study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit,budget_note
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.0027289690849998,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.1,0.5,200,0.15,0.1005124258020258,0.1994875741979741,0.002991627935,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.05,0.2,0.5,200,0.805,0.7500893835401569,0.8599106164598432,0.00169589727,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.0,0.5,500,0.02,0.0077284589394811,0.0322715410605188,0.0023441850499999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.05,0.5,200,0.04,0.01284144333732,0.06715855666268,0.0027488730899999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.1,0.5,200,0.24,0.1808092980274773,0.2991907019725227,0.0027543344,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.1,0.2,0.5,200,0.895,0.8525138634375871,0.937486136562413,0.00143588031,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.2,0.0,0.5,500,0.038,0.0212409111464853,0.0547590888535146,0.002296603004,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.2,0.05,0.5,200,0.09,0.0503372315640978,0.1296627684359022,0.0025335888299999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.2,0.1,0.5,200,0.385,0.3175613300842906,0.4524386699157093,0.0023270013699999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.2,0.2,0.5,200,0.92,0.8824006808572283,0.9575993191427716,0.0013656923499999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.35,0.0,0.5,500,0.084,0.0596858859754257,0.1083141140245742,0.002162864754,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.35,0.05,0.5,200,0.15,0.1005124258020258,0.1994875741979741,0.002362478215,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.35,0.1,0.5,200,0.475,0.4057902102300548,0.544209789769945,0.0020729122999999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.35,0.2,0.5,200,0.945,0.9134035476674992,0.9765964523325008,0.0012913134149999,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.5,0.0,0.5,500,0.12,0.0915158654686507,0.1484841345313492,0.00205946871,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.5,0.05,0.5,200,0.225,0.1671260421260131,0.2828739578739868,0.0021539189699998,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.5,0.1,0.5,200,0.535,0.4658735202690026,0.6041264797309974,0.00189682989,fixed 999 per candidate
stageb_only,classification,100,16,bonferroni_fixed,exhaustive,0.5,0.2,0.5,200,0.95,0.919794371385452,0.980205628614548,0.0012771345399998,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.02,0.0,0.5,500,0.004,0.0,0.0095326186205087,0.0189112173199999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.02,0.05,0.5,200,0.01,0.0,0.0237898223338808,0.0230194021800001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.02,0.1,0.5,200,0.085,0.0463489689658865,0.1236510310341134,0.027354210805,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.02,0.2,0.5,200,0.76,0.7008092980274774,0.8191907019725226,0.0096593267149999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.05,0.0,0.5,500,0.01,0.0012785505791755,0.0187214494208245,0.008778243168,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.05,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.0103804606199999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.05,0.1,0.5,200,0.14,0.0919100509461696,0.1880899490538303,0.0117420871849999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.05,0.2,0.5,200,0.825,0.7723392461124985,0.8776607538875014,0.0039909564799999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.1,0.0,0.5,500,0.01,0.0012785505791755,0.0187214494208245,0.0075761211199999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.1,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.008914170245,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.1,0.1,0.5,200,0.165,0.1135570004762552,0.2164429995237447,0.009774526205,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.1,0.2,0.5,200,0.83,0.7779399500576497,0.8820600499423502,0.003521698145,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.2,0.0,0.5,500,0.02,0.0077284589394811,0.0322715410605188,0.0060401093139999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.2,0.05,0.5,200,0.065,0.0308332588618697,0.0991667411381302,0.006874379905,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.2,0.1,0.5,200,0.275,0.2131162783924561,0.336883721607544,0.00687001847,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.2,0.2,0.5,200,0.895,0.8525138634375871,0.937486136562413,0.0024781704349999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.35,0.0,0.5,500,0.036,0.0196709530957866,0.0523290469042133,0.0047078788979999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.35,0.05,0.5,200,0.08,0.0424006808572282,0.1175993191427717,0.0057915063949999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.35,0.1,0.5,200,0.345,0.279117317905234,0.4108826820947659,0.0050066433349999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.35,0.2,0.5,200,0.925,0.8884958221569093,0.9615041778430908,0.0020095353,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.5,0.0,0.5,500,0.054,0.0341886752386419,0.073811324761358,0.00431857602,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.5,0.05,0.5,200,0.1,0.058422121266231,0.141577878733769,0.0049310586749999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.5,0.1,0.5,200,0.415,0.3467122104618988,0.4832877895381011,0.0042114737599999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,adaptive,0.5,0.2,0.5,200,0.935,0.9008332588618698,0.9691667411381304,0.0018945814949999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.02,0.0,0.5,500,0.0,0.0,0.0,0.006844609358,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.02,0.05,0.5,200,0.0,0.0,0.0,0.0082705870099999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.02,0.1,0.5,200,0.0,0.0,0.0,0.0106050038149999,fixed 999 per candidate
stageb_only,classification,100,64,bonferroni_fixed,exhaustive,0.02,0.2,0.5,200,0.0,0.0,0.0,0.01268865933,fixed 999 per candidate
