method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
cat,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
cif,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
cit,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
cpi,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
et,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
lgbm,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
pi,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
ptest_mc,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
ptest_rdc,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
r_cforest,,,,,,,,,,,,
r_ctree,,,,,,,,,,,,
rf,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
rfe,0.524,,,0.524 [insufficient data],0.3989696738000747,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
xgb,0.524,,,0.524 [insufficient data],0.39896967380007464,,,0.399 [insufficient data],0.524,,,0.524 [insufficient data]
