block,task,dataset_type,variant,alpha_selector,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
alpha_sweep,clf,clf_standard_easy,alpha=0.001,0.001,100,1000,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547876,0.9191919191919192,0.03725068467593085,0.9480088016737609,0.05664121371209853,0.9932039535387057,0.004162434412183504,21.479180825399993,10.939594099353009,,,,,,,,
alpha_sweep,clf,clf_standard_easy,alpha=0.01,0.01,100,1000,0.86,0.07999999999999999,0.86,0.07999999999999999,0.8600000000000001,0.07999999999999993,0.9212121212121211,0.03906884768851254,0.946205180001443,0.058668791780950566,0.9946059687853209,0.003716152066231202,30.9931816174,3.7583868232895843,,,,,,,,
alpha_sweep,clf,clf_standard_easy,alpha=0.05,0.05,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,34.89755525899998,3.174682469516766,,,,,,,,
alpha_sweep,clf,clf_standard_easy,alpha=0.1,0.1,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.915151515151515,0.03703091470671386,0.9450111824543683,0.05723627950053319,0.9936043575499603,0.0039286348727050596,37.5704043274,2.971130545218393,,,,,,,,
alpha_sweep,clf,clf_standard_easy,alpha=0.2,0.2,100,1000,0.8400000000000001,0.07999999999999999,0.8400000000000001,0.07999999999999999,0.8400000000000001,0.07999999999999995,0.9191919191919192,0.03725068467593085,0.9456087824351298,0.05512118537757645,0.9936055599644085,0.005161253335408321,39.291401805999996,1.783210296702253,,,,,,,,
alpha_sweep,clf,clf_standard_easy,alpha=0.5,0.5,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.905050505050505,0.03294849783899008,0.9448115816559653,0.057146936648150896,0.9940035591467666,0.0034061423800722072,46.821265224999934,2.450449105175155,,,,,,,,
alpha_sweep,clf,clf_standard_hard,alpha=0.001,0.001,1000,200,0.08,0.07483314773547883,0.16,0.14966629547095767,0.10666666666666666,0.09977753031397177,0.7519519519519519,0.14251020316754764,0.663903743315508,0.0358260439595744,0.6075163398692809,0.0399645808271105,17.622868647199947,0.6496433417388509,,,,,,,,
alpha_sweep,clf,clf_standard_hard,alpha=0.01,0.01,1000,200,0.13999999999999999,0.13564659966250536,0.27999999999999997,0.2712931993250107,0.18666666666666665,0.1808621328833405,0.8214214214214215,0.12211490157357315,0.6918597742127153,0.059601290956278564,0.6231134878193701,0.07607893811981065,2.7005488348000197,0.6835813509537461,,,,,,,,
alpha_sweep,clf,clf_standard_hard,alpha=0.05,0.05,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6995246583481878,0.05185964350448872,0.6517825311942959,0.05119408694472561,3.2299912392000807,0.13501312210803249,,,,,,,,
alpha_sweep,clf,clf_standard_hard,alpha=0.1,0.1,1000,200,0.13999999999999999,0.13564659966250536,0.27999999999999997,0.2712931993250107,0.18666666666666665,0.1808621328833405,0.8066066066066068,0.0806173170259164,0.6829174093879977,0.044611342669258994,0.6808377896613191,0.057943354058297154,3.339708677399949,0.17239914352691596,,,,,,,,
alpha_sweep,clf,clf_standard_hard,alpha=0.2,0.2,1000,200,0.12,0.09797958971132711,0.24,0.19595917942265423,0.15999999999999998,0.13063945294843618,0.8304304304304304,0.09834619604529135,0.6960190136660724,0.06951367604662789,0.6779263220439691,0.07439119393487606,3.580756103000067,0.14739559707184022,,,,,,,,
alpha_sweep,clf,clf_standard_hard,alpha=0.5,0.5,1000,200,0.14,0.10198039027185568,0.28,0.20396078054371136,0.18666666666666668,0.1359738536958076,0.7883883883883882,0.0983563840459118,0.7186868686868687,0.04129224950964789,0.6756387403446227,0.06464038879123143,4.198394785399932,0.08079415380362454,,,,,,,,
alpha_sweep,clf,clf_weak_signal,alpha=0.001,0.001,100,1000,0.16,0.048989794855663564,0.16,0.048989794855663564,0.16000000000000003,0.04898979485566357,0.8343434343434343,0.11961916236838355,0.5176915862636591,0.01925034559627125,0.5159118955017519,0.018507868285965887,7.471596610800043,0.05454152069585273,,,,,,,,
alpha_sweep,clf,clf_weak_signal,alpha=0.01,0.01,100,1000,0.1,0.0632455532033676,0.1,0.0632455532033676,0.10000000000000002,0.0632455532033676,0.8262626262626263,0.08722033593908243,0.5367144621204574,0.019957097699168362,0.5319760806973128,0.023279594578893784,20.666673497000012,9.999483119164017,,,,,,,,
alpha_sweep,clf,clf_weak_signal,alpha=0.05,0.05,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5287493239672014,0.019006514476022612,0.5159491172560215,0.013576495835490232,28.332317200000034,0.8159625307711336,,,,,,,,
alpha_sweep,clf,clf_weak_signal,alpha=0.1,0.1,100,1000,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547885,0.8020202020202021,0.026028482276212378,0.5354917776193299,0.015425533742263974,0.5116796446745584,0.017284752648657604,31.35033150479999,2.9410803110650097,,,,,,,,
alpha_sweep,clf,clf_weak_signal,alpha=0.2,0.2,100,1000,0.2,0.10954451150103323,0.2,0.10954451150103323,0.2,0.10954451150103323,0.806060606060606,0.06107562205184232,0.5369418074610702,0.025190865932123514,0.5307440832099948,0.011983991268469461,30.833130977000017,1.729527828853452,,,,,,,,
alpha_sweep,clf,clf_weak_signal,alpha=0.5,0.5,100,1000,0.2,0.1264911064067352,0.2,0.1264911064067352,0.20000000000000004,0.1264911064067352,0.8545454545454545,0.09488499851165558,0.5341569578206544,0.016338219281755915,0.5520700548519609,0.02141364307075344,44.250222153799996,3.747056708966712,,,,,,,,
alpha_sweep,clf,clf_nonlinear,alpha=0.001,0.001,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.9070707070707071,0.07596604313924511,0.8326058725921651,0.011246481937414158,0.7660077435490464,0.018712577931184343,14.28867242339993,5.959893006000826,,,,,,,,
alpha_sweep,clf,clf_nonlinear,alpha=0.01,0.01,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8848484848484848,0.07917542602935526,0.8288026356924705,0.011743226427450638,0.7826010629343721,0.006655685584508218,24.45553866300015,3.4721396193628893,,,,,,,,
alpha_sweep,clf,clf_nonlinear,alpha=0.05,0.05,100,1000,0.42000000000000004,0.039999999999999994,0.8400000000000001,0.07999999999999999,0.5599999999999999,0.05333333333333332,0.8121212121212122,0.12148118285553866,0.8328042709761201,0.008936025934852489,0.7801938292090519,0.013465048241034215,31.876252789200134,2.3651590413504375,,,,,,,,
alpha_sweep,clf,clf_nonlinear,alpha=0.1,0.1,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8121212121212122,0.08465586601922002,0.8296118606161172,0.010171808661025817,0.772220619002958,0.009395638338337118,33.614093131799926,2.309083183327528,,,,,,,,
alpha_sweep,clf,clf_nonlinear,alpha=0.2,0.2,100,1000,0.42000000000000004,0.039999999999999994,0.8400000000000001,0.07999999999999999,0.5599999999999999,0.05333333333333332,0.8505050505050505,0.06496135430631726,0.8280150542288917,0.011241136345199866,0.7799954308250968,0.01985206223736576,36.278781975399944,1.9637207262237661,,,,,,,,
alpha_sweep,clf,clf_nonlinear,alpha=0.5,0.5,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8303030303030303,0.13299620679299223,0.8310126734482841,0.01025011947283628,0.7862107111079047,0.007923627482618111,45.00747488900006,2.50793555746949,,,,,,,,
alpha_sweep,clf,clf_toeplitz,alpha=0.001,0.001,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8398239665247818,0.043268317057896945,0.8024240675275955,0.05957645305347029,22.743325941199963,4.367530836792594,,,,,,,,
alpha_sweep,clf,clf_toeplitz,alpha=0.01,0.01,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8398239665247818,0.043268317057896945,0.8024240675275955,0.05957645305347029,31.35381157760012,5.790555956306584,,,,,,,,
alpha_sweep,clf,clf_toeplitz,alpha=0.05,0.05,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396243657263784,0.04299624842946874,0.800628862756415,0.057179487942956596,32.390582826599896,2.4662184517075745,,,,,,,,
alpha_sweep,clf,clf_toeplitz,alpha=0.1,0.1,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8390279681600654,0.043017227876580154,0.801429670778924,0.05949959702836372,33.51889428820014,3.37981927413912,,,,,,,,
alpha_sweep,clf,clf_toeplitz,alpha=0.2,0.2,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8390279681600654,0.043017227876580154,0.801429670778924,0.05949959702836372,36.208719283400114,3.9277364194508873,,,,,,,,
alpha_sweep,clf,clf_toeplitz,alpha=0.5,0.5,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8390279681600654,0.043017227876580154,0.801429670778924,0.05949959702836372,40.60767002260009,2.3244237838647797,,,,,,,,
alpha_sweep,clf,clf_confounder,alpha=0.001,0.001,120,1000,0.36,0.08,0.36,0.08,0.36,0.08,0.9142857142857143,0.0419831798211657,0.7874095183127721,0.0758308588101379,0.8183993458865402,0.047426055420839865,26.086264697200022,4.639993755638477,0.6,0.1264911064067352,0.64,0.07999999999999999,,,,
alpha_sweep,clf,clf_confounder,alpha=0.01,0.01,120,1000,0.4,0.0632455532033676,0.4,0.0632455532033676,0.4,0.0632455532033676,0.9210084033613446,0.02842274710132395,0.7882019094341438,0.06621770377588759,0.840398720631027,0.02127741638869257,27.55764549919986,2.369050673037403,0.7200000000000001,0.09797958971132716,0.6,0.06324555320336757,,,,
