method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.1800188617532865,0.05980467096340729,0.30892535450546,"0.180 [0.060, 0.309]",813330.2089024746,8508.384323328328,2285818.5752007365,"813330.209 [8508.384, 2285818.575]",285.07683166124986,43.41886763962778,673.7151243173874,"285.077 [43.419, 673.715]"
cat,0.21680721475778297,0.08133853933151199,0.3581773436110368,"0.217 [0.081, 0.358]",812518.3265992595,8508.396889307714,2283276.8483936684,"812518.327 [8508.397, 2283276.848]",285.01799032412873,43.39478927230741,673.5175613625678,"285.018 [43.395, 673.518]"
cif,0.17784174740299927,0.057513643741007814,0.3066656687648243,"0.178 [0.058, 0.307]",811608.0746457969,8508.465238480965,2280706.401824654,"811608.075 [8508.465, 2280706.402]",284.739032166904,43.42365330067652,672.7081513270222,"284.739 [43.424, 672.708]"
cit,0.13219999674991476,0.01910917476253147,0.2628331432500398,"0.132 [0.019, 0.263]",814455.7260076674,8508.612254229769,2289287.909837121,"814455.726 [8508.612, 2289287.910]",286.0718975292936,43.471532850864754,676.6412300147632,"286.072 [43.472, 676.641]"
cpi,0.16907878617529817,0.044662761056349025,0.29880410492367415,"0.169 [0.045, 0.299]",819751.6406271964,8508.550285240088,2305149.18145496,"819751.641 [8508.550, 2305149.181]",286.44462534428754,43.43739244872428,677.6897223665491,"286.445 [43.437, 677.690]"
et,0.20434589074977214,0.07176397557708526,0.34478770519037055,"0.204 [0.072, 0.345]",807620.8240148643,8508.388083466472,2268661.5096323807,"807620.824 [8508.388, 2268661.510]",284.1535933124799,43.40056099968044,670.9369646384672,"284.154 [43.401, 670.937]"
lgbm,0.17767091218189937,0.05955152554376275,0.3039250218559364,"0.178 [0.060, 0.304]",814400.7949376189,8508.487250012755,2288884.3619823316,"814400.795 [8508.487, 2288884.362]",285.34595299145076,43.430007776340986,674.4529439699979,"285.346 [43.430, 674.453]"
pi,0.18272501168877175,0.06278489473390875,0.30971203367131245,"0.183 [0.063, 0.310]",815824.6471239473,8508.432313320613,2293293.744782071,"815824.647 [8508.432, 2293293.745]",285.60959352316894,43.42029136320259,675.2892582791305,"285.610 [43.420, 675.289]"
ptest_dc,0.15165515345223532,0.04151473800281422,0.2763017750249215,"0.152 [0.042, 0.276]",807754.2572083157,8508.42044946292,2269379.0391608602,"807754.257 [8508.420, 2269379.039]",284.00262212026814,43.43234513171215,670.5791249291628,"284.003 [43.432, 670.579]"
ptest_pc,0.16805674133060985,0.05398991455390395,0.29240512132539453,"0.168 [0.054, 0.292]",810875.4188333815,8508.42567628139,2278734.6083792476,"810875.419 [8508.426, 2278734.608]",284.56017614794035,43.42953386366811,672.2375417093375,"284.560 [43.430, 672.238]"
ptest_rdc,0.16463177967122725,0.04771537340444032,0.29719980319611056,"0.165 [0.048, 0.297]",808515.1073318183,8508.442572714916,2271640.9706013175,"808515.107 [8508.443, 2271640.971]",284.1258025743796,43.42827910634671,670.9437127695658,"284.126 [43.428, 670.944]"
r_cforest,0.07869864458453898,-0.051316668335300505,0.228729118418457,"0.079 [-0.051, 0.229]",812303.3599840497,8542.31068020137,2282502.0999669805,"812303.360 [8542.311, 2282502.100]",285.1299096182854,43.58681545474926,673.3378534875974,"285.130 [43.587, 673.338]"
r_ctree,0.09857721513653948,-0.032085364597897355,0.24999407890665643,"0.099 [-0.032, 0.250]",816661.8852071785,8508.764039646147,2295532.0984748285,"816661.885 [8508.764, 2295532.098]",285.81248778130595,43.487684473857406,675.4120575974174,"285.812 [43.488, 675.412]"
rf,0.19621238894404014,0.0697301182336438,0.327854713554261,"0.196 [0.070, 0.328]",813937.1659064955,8508.390319515596,2287580.5521131027,"813937.166 [8508.390, 2287580.552]",285.2712412516205,43.41073976107654,674.2812540908726,"285.271 [43.411, 674.281]"
rfe,0.2003874503620793,0.06874584121373047,0.3410847766057279,"0.200 [0.069, 0.341]",814418.2018182079,8508.380030997361,2289028.113114131,"814418.202 [8508.380, 2289028.113]",285.3400567084709,43.400812038337925,674.4977268227632,"285.340 [43.401, 674.498]"
xgb,0.1910294442457774,0.0701473612083242,0.31905042454004684,"0.191 [0.070, 0.319]",819304.7547028536,8508.42333192711,2303547.0422155876,"819304.755 [8508.423, 2303547.042]",286.31290305111776,43.40796247447167,677.2986444522431,"286.313 [43.408, 677.299]"
