summary_scope,task,dataset_source,dataset_type,method_family,variant,n_runs,n_success,n_datasets,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_ratio_vs_family_default_mean,elapsed_ratio_vs_family_default_median,mean_depth_mean,max_depth_mean,mean_features_used_per_tree_mean,importance_nonzero_count_mean,precision_at_10_mean,recall_at_10_mean,f1_at_10_mean
dataset_source,clf,real,__all__,cif,cif_auto_budget,35,35,7,33.58604775922857,14.15649275999931,54.45969594466803,1.366104657565095,1.3436690571160688,8.171999999999999,11.428571428571429,18.73057142857143,67.22857142857143,,,
dataset_source,clf,real,__all__,cif,cif_auto_budget_no_adaptive,35,35,7,250.54457181994277,25.277284848999443,429.44091496514926,5.99471199652875,5.221939631004525,8.178857142857142,11.428571428571429,18.796285714285716,66.17142857142858,,,
dataset_source,clf,real,__all__,cif,cif_default,35,35,7,26.44256565997136,7.932652895000501,41.904246232991326,1.0,1.0,8.012571428571428,11.285714285714286,18.308571428571426,63.6,,,
dataset_source,clf,synthetic,__all__,cif,cif_auto_budget,40,40,8,26.58425900644999,29.7753743145,9.787492076017486,1.2551683585102587,1.2687169319525946,3.9505000000000003,8.3,4.572,75.25,0.525,0.595,0.5483333333333333
dataset_source,clf,synthetic,__all__,cif,cif_auto_budget_no_adaptive,40,40,8,252.912636186925,299.19843528750005,97.0384465641941,11.632810483401379,12.04844640239602,3.95075,8.35,4.5715,75.425,0.52,0.5900000000000001,0.5433333333333333
dataset_source,clf,synthetic,__all__,cif,cif_default,40,40,8,21.80552648127501,24.251326634500003,8.306649168600131,1.0,1.0,3.821,8.125,4.27725,70.45,0.49749999999999994,0.56,0.5183333333333333
dataset_source,reg,real,__all__,cif,cif_auto_budget,10,10,2,24.757361293099954,24.47185882100007,23.038886229695215,1.8954224533089075,1.8331749141462392,8.14,12.5,6.264,9.0,,,
dataset_source,reg,real,__all__,cif,cif_auto_budget_no_adaptive,10,10,2,212.39808823040008,210.43925991650008,201.9189359527633,14.353550635928224,13.917768359487802,8.09,11.5,6.271,9.0,,,
dataset_source,reg,real,__all__,cif,cif_default,10,10,2,24.332928139399904,23.409207755499892,24.671400428416806,1.0,1.0,8.102,13.0,6.195,9.0,,,
dataset_source,reg,synthetic,__all__,cif,cif_auto_budget,30,30,6,22.46290216450005,28.7350951935,11.91296755614936,1.254670509067728,1.283342251345629,5.081333333333333,11.0,7.061333333333334,101.1,0.6066666666666667,0.7333333333333333,0.648888888888889
dataset_source,reg,synthetic,__all__,cif,cif_auto_budget_no_adaptive,30,30,6,202.88059558260008,279.4636305495005,110.19526798223225,10.963196721722712,11.934715106413263,5.096666666666667,11.1,7.084333333333333,102.66666666666667,0.6166666666666667,0.7433333333333334,0.6588888888888889
dataset_source,reg,synthetic,__all__,cif,cif_default,30,30,6,18.56965673416662,22.63752546249998,8.968830677943131,1.0,1.0,4.851333333333333,10.533333333333333,6.5649999999999995,95.93333333333334,0.6066666666666667,0.7366666666666667,0.65
dataset,clf,real,real_breast_cancer,cif,cif_auto_budget,5,5,1,15.93169352519999,15.993259797000064,0.2675486043945314,1.0701393527731513,1.0657327539523733,5.032,7.0,5.982,29.0,,,
dataset,clf,real,real_breast_cancer,cif,cif_auto_budget_no_adaptive,5,5,1,128.11330746339974,128.95207189599932,5.702452031554656,8.606011887761209,8.457378454017057,5.061999999999999,7.0,5.986,30.0,,,
dataset,clf,real,real_breast_cancer,cif,cif_default,5,5,1,14.896315122799933,15.008192418999895,0.4212356017278211,1.0,1.0,4.94,7.0,5.664,30.0,,,
dataset,clf,real,real_digits,cif,cif_auto_budget,5,5,1,4.955923829199992,4.9162906250001015,0.09192887512012278,1.5518563067625846,1.5539448236163085,12.556000000000001,16.0,40.846000000000004,61.0,,,
dataset,clf,real,real_digits,cif,cif_auto_budget_no_adaptive,5,5,1,8.449326271399968,8.403588776000106,0.15082068687253475,2.6457455534158694,2.6409564318367376,12.462,16.0,40.977999999999994,61.0,,,
dataset,clf,real,real_digits,cif,cif_default,5,5,1,3.1936426205998942,3.1694224729999405,0.06193584916526961,1.0,1.0,12.396,15.0,40.354,61.0,,,
dataset,clf,real,real_iris,cif,cif_auto_budget,5,5,1,0.1890207792001092,0.1917644270006349,0.005159019811061196,1.1162956479442856,1.3282560232850142,3.8579999999999997,6.0,2.1100000000000003,4.0,,,
dataset,clf,real,real_iris,cif,cif_auto_budget_no_adaptive,5,5,1,0.4080191865998131,0.3546621160003269,0.08806049664942302,2.50503088769092,2.5798281771775566,3.8480000000000003,6.0,2.1100000000000003,4.0,,,
dataset,clf,real,real_iris,cif,cif_default,5,5,1,0.18952245559976288,0.1418363780003346,0.07347256451306274,1.0,1.0,3.71,6.0,2.08,4.0,,,
dataset,clf,real,real_openml_madelon,cif,cif_auto_budget,5,5,1,37.65572951859995,37.39993107200007,1.3968913216949939,1.082615063042685,1.0587103002221152,4.574,12.0,6.11,261.6,,,
dataset,clf,real,real_openml_madelon,cif,cif_auto_budget_no_adaptive,5,5,1,341.63664355560013,333.5273721190006,16.289797509213997,9.88378027715951,9.146014598984316,4.561999999999999,12.0,6.148000000000001,254.2,,,
dataset,clf,real,real_openml_madelon,cif,cif_default,5,5,1,35.03422298459991,36.466962577999766,3.5272813391637974,1.0,1.0,4.104,11.0,5.114,236.2,,,
dataset,clf,real,real_openml_optdigits,cif,cif_auto_budget,5,5,1,14.1803349161999,14.15649275999931,0.06996250498984723,1.7785102747640038,1.7845849235280848,15.219999999999999,18.0,49.35,62.0,,,
dataset,clf,real,real_openml_optdigits,cif,cif_auto_budget_no_adaptive,5,5,1,25.262895696799934,25.277284848999443,0.24027197187610064,3.1686822865437256,3.159781839207907,15.319999999999999,18.0,49.724000000000004,61.0,,,
dataset,clf,real,real_openml_optdigits,cif,cif_default,5,5,1,7.973693112799992,7.932652895000501,0.09440550847875674,1.0,1.0,15.144,19.0,49.053999999999995,61.0,,,
dataset,clf,real,real_openml_waveform,cif,cif_auto_budget,5,5,1,161.49783810900004,156.806944381,10.178639588101015,1.310512126583667,1.3096841763653326,11.442,14.0,22.15,40.0,,,
dataset,clf,real,real_openml_waveform,cif,cif_auto_budget_no_adaptive,5,5,1,1247.8373573043996,1224.2191378869998,53.401942706225185,10.13923148404301,10.416709193322323,11.425999999999998,14.0,22.072,40.0,,,
dataset,clf,real,real_openml_waveform,cif,cif_default,5,5,1,123.38742376200003,117.3444338080003,9.821764411541817,1.0,1.0,11.328,14.0,21.562,40.0,,,
dataset,clf,real,real_wine,cif,cif_auto_budget,5,5,1,0.6917936371999985,0.6831893900000523,0.03894122306765437,1.6528038310852875,1.6996627572410095,4.522,7.0,4.566,13.0,,,
dataset,clf,real,real_wine,cif,cif_auto_budget_no_adaptive,5,5,1,2.1044532614000673,2.1232323030001226,0.05360946375740117,5.0145015990870005,5.221939631004525,4.572,7.0,4.555999999999999,13.0,,,
dataset,clf,real,real_wine,cif,cif_default,5,5,1,0.4231395614000121,0.4019558510001388,0.04788237110993395,1.0,1.0,4.465999999999999,7.0,4.332,13.0,,,
dataset,clf,synthetic,clf_bias,cif,cif_auto_budget,5,5,1,32.73392841579998,32.506915346999904,1.9782461575045527,1.300719945867561,1.2858540414497146,3.41,9.0,3.12,74.2,0.9,0.9,0.9
dataset,clf,synthetic,clf_bias,cif,cif_auto_budget_no_adaptive,5,5,1,305.102693662,304.4694651210002,2.4090987875595653,12.132398802616809,12.058648915156182,3.4219999999999997,8.8,3.0919999999999996,70.0,0.9,0.9,0.9
dataset,clf,synthetic,clf_bias,cif,cif_default,5,5,1,25.161330586000076,25.24905296299994,0.7563080409904849,1.0,1.0,3.3259999999999996,9.2,2.948,68.2,0.8400000000000001,0.8400000000000001,0.8400000000000001
dataset,clf,synthetic,clf_confounder,cif,cif_auto_budget,5,5,1,28.239304641599936,30.371722320999993,7.592805864124032,1.4242670322075104,1.3625186177310016,6.2,9.8,9.704,106.6,0.4,0.4,0.4
dataset,clf,synthetic,clf_confounder,cif,cif_auto_budget_no_adaptive,5,5,1,265.4053814572,286.697248457,62.33760317529151,13.412517503883715,12.51794088236648,6.16,9.8,9.636,108.6,0.4,0.4,0.4
dataset,clf,synthetic,clf_confounder,cif,cif_default,5,5,1,20.64981138499993,20.391829634999795,4.984114916280198,1.0,1.0,6.0920000000000005,10.2,9.304,104.0,0.36,0.36,0.36
dataset,clf,synthetic,clf_nonlinear,cif,cif_auto_budget,5,5,1,29.637097438999984,29.30223749600009,1.2058652051058032,1.1281437409520447,1.1872894024527214,2.63,8.0,1.908,59.6,0.4,0.8,0.5333333333333333
dataset,clf,synthetic,clf_nonlinear,cif,cif_auto_budget_no_adaptive,5,5,1,300.32457775579996,299.5244179030001,1.8873092048952913,11.417429618923586,12.252323685833517,2.66,8.2,1.952,62.8,0.4,0.8,0.5333333333333333
dataset,clf,synthetic,clf_nonlinear,cif,cif_default,5,5,1,27.22691898680001,24.393124140000054,6.506232552207372,1.0,1.0,2.548,7.6,1.8,55.6,0.4,0.8,0.5333333333333333
dataset,clf,synthetic,clf_redundant,cif,cif_auto_budget,5,5,1,29.810732986200037,31.386284350000096,5.051182769612906,1.290878339711205,1.160628961794853,7.066,10.2,10.797999999999998,69.2,0.4,0.4,0.4
dataset,clf,synthetic,clf_redundant,cif,cif_auto_budget_no_adaptive,5,5,1,279.56143961360004,260.7946503809999,43.827443566535685,12.147406230051452,11.91595970763409,7.045999999999999,10.4,10.802,69.4,0.4,0.4,0.4
dataset,clf,synthetic,clf_redundant,cif,cif_default,5,5,1,23.423193086800076,21.03291469800024,4.202642719004357,1.0,1.0,6.896000000000001,10.2,9.998000000000001,68.8,0.38,0.38,0.38
dataset,clf,synthetic,clf_standard_easy,cif,cif_auto_budget,5,5,1,32.32049742579998,31.83654563999994,2.704921579362971,1.2233591334776543,1.2693022081428609,3.4899999999999998,9.0,3.1759999999999997,67.4,0.86,0.86,0.86
dataset,clf,synthetic,clf_standard_easy,cif,cif_auto_budget_no_adaptive,5,5,1,312.6293947571999,307.05496364199985,24.19615640017492,11.81870165547232,12.39745815491758,3.4799999999999995,9.0,3.178,67.4,0.8400000000000001,0.8400000000000001,0.8400000000000001
dataset,clf,synthetic,clf_standard_easy,cif,cif_default,5,5,1,26.899848263799992,24.45242357799998,5.448127035978475,1.0,1.0,3.3280000000000003,8.8,2.966,60.6,0.82,0.82,0.82
dataset,clf,synthetic,clf_standard_hard,cif,cif_auto_budget,5,5,1,3.2973328782000038,3.3405012620000036,0.16970453601302948,1.1121025328982497,1.2681316557623281,2.2079999999999997,6.2,1.362,108.4,0.16,0.32,0.2133333333333333
dataset,clf,synthetic,clf_standard_hard,cif,cif_auto_budget_no_adaptive,5,5,1,25.522991510599994,24.556256907999995,2.166935102719769,8.42429627176921,9.988287395231914,2.202,6.0,1.36,108.2,0.16,0.32,0.2133333333333333
dataset,clf,synthetic,clf_standard_hard,cif,cif_default,5,5,1,4.784783307599997,2.502387263999992,5.200491626109919,1.0,1.0,2.052,6.2,1.1720000000000002,97.0,0.1,0.2,0.1333333333333333
dataset,clf,synthetic,clf_toeplitz,cif,cif_auto_budget,5,5,1,26.844938279000054,24.87962244800019,5.5310443128122015,1.4185187933075647,1.4594167765141912,5.062,7.8,5.926,80.8,0.9199999999999999,0.9199999999999999,0.9199999999999999
dataset,clf,synthetic,clf_toeplitz,cif,cif_auto_budget_no_adaptive,5,5,1,227.84280417060003,200.78554331800024,66.03201917088107,11.910623186848332,12.02003734725895,5.0920000000000005,8.2,5.964,80.8,0.9199999999999999,0.9199999999999999,0.9199999999999999
dataset,clf,synthetic,clf_toeplitz,cif,cif_default,5,5,1,19.573382959799982,18.661279679000017,3.813654693000156,1.0,1.0,4.872,7.4,5.529999999999999,76.2,0.9,0.9,0.9
dataset,clf,synthetic,clf_weak_signal,cif,cif_auto_budget,5,5,1,29.79023998599996,30.005001900000025,0.5066555073374488,1.143357349660281,1.203380435705703,1.5379999999999998,6.4,0.5820000000000001,35.8,0.16,0.16,0.16
dataset,clf,synthetic,clf_weak_signal,cif,cif_auto_budget_no_adaptive,5,5,1,306.91180656840004,301.71603686599997,15.027765293151482,11.799110597645603,12.100909282422307,1.544,6.4,0.588,36.2,0.14,0.14,0.14
dataset,clf,synthetic,clf_weak_signal,cif,cif_default,5,5,1,26.72494327440001,24.552291072999992,5.4100175660973076,1.0,1.0,1.454,5.4,0.5,33.2,0.18,0.18,0.18
dataset,reg,real,real_california,cif,cif_auto_budget,5,5,1,46.606056166600084,46.28239371400002,0.9245185932958256,0.9816851256679271,1.0065330085902955,10.704,16.0,7.464,8.0,,,
dataset,reg,real,real_california,cif,cif_auto_budget_no_adaptive,5,5,1,403.8968446408001,401.0851275310001,7.463310749528936,8.507654714343264,8.708698512565187,10.634,14.0,7.496,8.0,,,
dataset,reg,real,real_california,cif,cif_default,5,5,1,47.6260554256,45.989663186999906,3.618542861153993,1.0,1.0,10.72,17.0,7.448,8.0,,,
dataset,reg,real,real_diabetes,cif,cif_auto_budget,5,5,1,2.908666419599831,2.854916501999469,0.09860663397094961,2.809159780949888,2.7524369555618717,5.576,9.0,5.064,10.0,,,
dataset,reg,real,real_diabetes,cif,cif_auto_budget_no_adaptive,5,5,1,20.899331820000043,20.769931724000344,0.43851168505596966,20.199446557513184,19.567279013469708,5.546,9.0,5.046,10.0,,,
dataset,reg,real,real_diabetes,cif,cif_default,5,5,1,1.039800853199813,1.076128646000143,0.08484460845760115,1.0,1.0,5.484,9.0,4.942,10.0,,,
dataset,reg,synthetic,reg_confounder,cif,cif_auto_budget,5,5,1,24.873941529600053,29.240456649999945,8.946025242733883,1.1877536675347682,1.2395998792665244,8.634,13.2,17.076,119.8,0.42000000000000004,0.42000000000000004,0.42000000000000004
dataset,reg,synthetic,reg_confounder,cif,cif_auto_budget_no_adaptive,5,5,1,212.1314497776002,279.43619661400044,107.90213582965167,9.841173061438484,11.846226607593435,8.696000000000002,13.2,17.068,119.8,0.42000000000000004,0.42000000000000004,0.42000000000000004
dataset,reg,synthetic,reg_confounder,cif,cif_default,5,5,1,20.390769695600103,23.41448972499984,4.634678880135878,1.0,1.0,8.496,13.4,16.34,119.8,0.4,0.4,0.4
dataset,reg,synthetic,reg_friedman,cif,cif_auto_budget,5,5,1,31.700767865199943,29.73282195899992,6.644144270445612,1.3109360821774765,1.2580460757324592,3.152,10.2,2.624,75.2,0.4,0.8,0.5333333333333333
dataset,reg,synthetic,reg_friedman,cif,cif_auto_budget_no_adaptive,5,5,1,278.2050762142002,289.44283468899994,25.71550066262987,11.422803093377507,12.380274750699062,3.154,9.8,2.6420000000000003,76.8,0.4,0.8,0.5333333333333333
dataset,reg,synthetic,reg_friedman,cif,cif_default,5,5,1,24.87156131139991,23.7808433350001,3.4259876599847057,1.0,1.0,2.932,9.4,2.348,74.0,0.4,0.8,0.5333333333333333
dataset,reg,synthetic,reg_highdim,cif,cif_auto_budget,5,5,1,2.8953475393999724,2.8077153340000223,0.47168583221635485,1.3507182753010611,1.3773354397704536,2.646,9.4,2.058,133.4,0.36,0.72,0.48
dataset,reg,synthetic,reg_highdim,cif,cif_auto_budget_no_adaptive,5,5,1,20.340500058800036,20.260695261000137,0.5740341764447664,9.121066142378613,9.747698745898374,2.7,9.6,2.166,141.2,0.36,0.72,0.48
dataset,reg,synthetic,reg_highdim,cif,cif_default,5,5,1,3.1328023547999693,2.0172667519998413,2.781113654992964,1.0,1.0,2.35,8.2,1.65,112.2,0.38,0.76,0.5066666666666666
dataset,reg,synthetic,reg_linear,cif,cif_auto_budget,5,5,1,30.986073160200156,30.01470031700046,3.9413927743059003,1.230755931089717,1.2224500150367659,4.672,11.6,5.182,90.6,0.76,0.76,0.76
dataset,reg,synthetic,reg_linear,cif,cif_auto_budget_no_adaptive,5,5,1,290.13304609200014,281.38682003300073,21.55312741477695,11.577737959789195,11.780650945869008,4.718,12.0,5.354,91.8,0.78,0.78,0.78
dataset,reg,synthetic,reg_linear,cif,cif_default,5,5,1,25.277300911600104,23.50198509600068,3.877119329499056,1.0,1.0,4.398000000000001,11.0,4.602,86.8,0.76,0.76,0.76
dataset,reg,synthetic,reg_toeplitz,cif,cif_auto_budget,5,5,1,13.646157813600075,13.935383629000173,4.566606586770218,1.1085592464496528,0.9150753431995483,7.0680000000000005,10.6,10.936,97.8,0.9,0.9,0.9
dataset,reg,synthetic,reg_toeplitz,cif,cif_auto_budget_no_adaptive,5,5,1,131.735761824,135.0373063940001,46.82157010678146,11.377744590610424,7.945657084655003,7.016,10.8,10.828,97.2,0.96,0.96,0.96
dataset,reg,synthetic,reg_toeplitz,cif,cif_default,5,5,1,14.843332747399927,12.84672181399992,8.836065570282045,1.0,1.0,6.87,10.6,10.408,96.8,0.9400000000000001,0.9400000000000001,0.9400000000000001
dataset,reg,synthetic,reg_weak_signal,cif,cif_auto_budget,5,5,1,30.6751250790001,30.381463099999564,1.8162235841560237,1.3392998518536914,1.3094785778438691,4.316,11.0,4.492,89.8,0.8,0.8,0.8
dataset,reg,synthetic,reg_weak_signal,cif,cif_auto_budget_no_adaptive,5,5,1,284.7377395289999,285.9478460999999,2.485991753584009,12.438655482742051,12.473951971822544,4.296,11.2,4.448,89.2,0.78,0.78,0.78
dataset,reg,synthetic,reg_weak_signal,cif,cif_default,5,5,1,22.902173384199706,22.65304045199991,0.6399959029596113,1.0,1.0,4.061999999999999,10.6,4.042,86.0,0.76,0.76,0.76
