task,dataset_group,variant,n_dataset_types,mean_elapsed_seconds,mean_depth,mean_max_depth,mean_features_used,mean_real_downstream_score,mean_synthetic_quality,mean_precision_over_standard_k,mean_precision_at_10,mean_confounder_rate_at_10,default_elapsed_seconds,default_depth,default_features_used,default_real_downstream_score,default_synthetic_quality,default_precision_over_standard_k,default_precision_at_10,default_confounder_rate_at_10,elapsed_seconds_ratio_vs_default,delta_depth_vs_default,delta_features_used_vs_default,delta_real_downstream_vs_default,delta_synthetic_quality_vs_default,delta_precision_over_standard_k_vs_default,delta_precision_at_10_vs_default,delta_confounder_rate_at_10_vs_default
classification,real,cit,7,18.658726652228093,8.342857142857143,8.342857142857143,17.400000000000002,0.8937944527735936,0.7169006508177461,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,0.7284087101678562,0.3214285714285712,-0.8782857142857132,-0.011165849064497801,-0.03280944561732735,,,
classification,real,et,7,0.12531861782855616,0.0,0.0,81.25742857142858,0.8926526804724279,0.7317628189006413,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,0.004892250927617117,-8.021428571428572,62.97914285714286,-0.012307621365663546,-0.01794727753443215,,,
classification,real,exact_all,7,28.506224776228713,8.028285714285714,11.857142857142858,18.599999999999998,0.9003014320302416,0.7170847032185472,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,1.112840270829962,0.006857142857141341,0.3217142857142825,-0.004658869807849797,-0.032625393216526244,,,
classification,real,histogram_128,7,13.72903948425727,7.988571428571428,11.142857142857142,18.290857142857142,0.9012110754140298,0.7389911215394694,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,0.535961115083769,-0.032857142857143806,0.01257142857142668,-0.0037492264240616135,-0.010718974895604028,,,
classification,real,histogram_256,7,25.615737966571448,8.021428571428572,11.228571428571428,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,1.0,0.0,0.0,0.0,0.0,,,
classification,real,histogram_32,7,4.0315764818572335,8.09457142857143,11.4,18.54942857142857,0.9033624913862608,0.7399763432143464,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,0.15738670059470639,0.07314285714285695,0.2711428571428556,-0.0015978104518306058,-0.009733753220727115,,,
classification,real,histogram_512,7,31.134676945028644,8.040000000000001,11.142857142857142,18.409714285714283,0.9004255484741844,0.745129506684143,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,1.2154511021958225,0.018571428571428683,0.13142857142856812,-0.004534753363906963,-0.004580589750930453,,,
classification,real,histogram_64,7,6.458365196742775,8.054285714285715,11.428571428571429,18.44342857142857,0.9013158113310669,0.7359678209278888,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,0.25212489310949954,0.03285714285714292,0.16514285714285393,-0.0036444905070245337,-0.013742275507184654,,,
classification,real,histogram_all,7,30.45331687351416,8.04857142857143,11.142857142857142,18.37,0.9015881146550659,0.7399763432143464,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,1.188851826687787,0.02714285714285758,0.09171428571428564,-0.0033721871830254546,-0.009733753220727115,,,
classification,real,rf,7,0.1760648425715252,0.0,0.0,54.04685714285714,0.8928053491010663,0.7339833422777636,,,,25.615737966571448,8.021428571428572,18.278285714285715,0.9049603018380914,0.7497100964350735,,,,0.006873307448775823,-8.021428571428572,35.76857142857143,-0.012154952737025049,-0.01572675415730984,,,
