study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,cif,5,100,500,143.2,88.4,54.8,0.61731843575419,38,28,2.988888888888889,"0,0,0,56,15,81,82,10,163,35","0,0,0,51,15,76,77,10,126,35",100
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,cif_all,5,100,500,1663.6,935.6,728.0,0.5623948064438566,90,89,38.53333333333333,"46,44,15,510,111,808,1178,45,1516,405","41,44,15,326,91,476,500,45,500,293",100
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,et,5,100,500,24900.0,4065.4,20834.6,0.1632690763052209,90,471,451.14444444444445,"1112,1203,1126,2276,1318,2612,3414,1278,4105,1883","444,459,458,499,465,500,500,470,500,493",100
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,rf,5,100,500,15721.4,2401.8,13319.6,0.1527726538349002,90,417,386.1777777777778,"802,761,646,1397,915,1489,1879,753,2177,1190","399,390,362,476,422,499,499,385,500,459",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,cif,5,100,500,93.6,35.4,58.2,0.3782051282051282,49,16,2.9693877551020407,"66,111","66,76",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,cif_all,5,100,500,2735.8,1602.0,1133.8,0.5855691205497477,98,138,54.38775510204081,"3174,4836","500,500",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,et,5,100,500,24900.0,3185.6,21714.4,0.12793574297188756,98,471,446.3979591836735,"6489,9439","500,500",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,rf,5,100,500,15721.4,1611.2,14110.2,0.10248451155749488,98,412,381.734693877551,"3035,5021","500,500",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,cif,5,100,500,198.8,106.2,92.6,0.53420523138833,55,26,4.768421052631579,"115,176,20,61,159","95,146,20,61,126",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,cif_all,5,100,500,2208.4,1270.2,938.2,0.5751675421119362,95,133,46.82105263157895,"1850,1888,71,284,2258","500,500,61,220,500",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,et,5,100,500,24900.0,3368.0,21532.0,0.13526104417670684,95,475,448.4,"4130,4978,1326,1717,4689","500,500,465,487,500",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,rf,5,100,500,15721.4,1808.8,13912.6,0.1150533667485084,95,423,385.0105263157895,"2347,2430,800,888,2579","499,500,413,400,500",100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,cif,5,100,500,135.6,12.6,123.0,0.09292035398230089,99,24,1.222444889779559,63,43,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,cif_all,5,100,500,2394.4,793.6,1600.8,0.3314400267290344,455,100,15.861723446893787,3968,500,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,et,5,100,500,24900.0,1264.0,23636.0,0.05076305220883534,499,242,188.74749498997997,6320,500,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,rf,5,100,500,15721.4,754.2,14967.2,0.047972826847481775,499,218,129.74749498997997,3771,500,100
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,cif,5,100,500,121.6,46.8,74.8,0.3848684210526316,69,15,0.763265306122449,"42,25,29,5,0,0,32,55,0,46","42,25,29,5,0,0,32,55,0,46",100
