task,model_family,method,axis,axis_value,median,q1,q3,n,citrees_budget
classification,tree,sklearn,predictor_count,10,0.0034833694997331577,0.003465613499884057,0.003519762249879932,10,999 permutations per predictor (scale_resamples_with_tests=False)
classification,tree,sklearn,predictor_count,200,0.0511800869996506,0.05109034524978995,0.05130532575003599,10,999 permutations per predictor (scale_resamples_with_tests=False)
classification,tree,sklearn,reference,reference,0.013454259500264243,0.013419474500075523,0.01347795949947539,10,999 permutations per predictor (scale_resamples_with_tests=False)
classification,tree,sklearn,sample_size,250,0.0035442254998088174,0.0035312214999905223,0.0035530814997457583,10,999 permutations per predictor (scale_resamples_with_tests=False)
classification,tree,sklearn,sample_size,4000,0.05904536150046624,0.0589538864998147,0.059075780499597386,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,forest_size,25,3.3713062104998244,3.356539407249784,3.4694910977499376,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,forest_size,500,21.59338346450022,21.497950255499745,21.769883679750023,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,permutation_budget,99,2.6291921574998014,2.6113826047497923,2.681546734250105,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,permutation_budget,9999,136.66473590400005,135.36139753524992,139.967756703,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,predictor_count,10,4.978357304000269,4.9221379572500155,5.369296660999744,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,predictor_count,200,19.064874493499985,19.003327509249893,19.086342408000135,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,reference,reference,6.168851269000001,6.140111709250043,6.307686696249789,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,sample_size,250,3.419370154499987,3.384890892999998,3.6818226402506298,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,citrees,sample_size,4000,18.563149964999866,18.472751069750004,18.596013606749977,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,forest_size,25,71.7932479834999,71.72993915324992,71.85652912324986,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,forest_size,500,1430.692268496,1429.8137649785,1431.4717528770002,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,permutation_budget,99,34.09834894850019,34.0208855919999,34.23650352225002,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,permutation_budget,9999,2802.6503184969997,2802.1064811654996,2804.3018356777498,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,predictor_count,10,57.89457827999979,57.78193497875026,57.913397432250065,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,predictor_count,200,1143.5523030804998,1143.3560797727503,1144.3182567515,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,reference,reference,286.46504538650004,286.3421903065,286.54457951125005,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,sample_size,250,77.4081852359999,77.0729342909998,77.67301348749987,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,partykit,sample_size,4000,1118.0932432395,1117.86189291125,1119.52979767825,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,forest_size,25,0.042511389000083,0.04191501549996701,0.04479679449991636,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,forest_size,500,0.5451278844998342,0.5388380742494974,0.5503761962495446,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,predictor_count,10,0.11190595350001331,0.10778134425038388,0.11487973475021818,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,predictor_count,200,0.18493776649984284,0.17525744775014118,0.19207451375018536,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,reference,reference,0.1225257314999908,0.11894581749993449,0.1254082037499984,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,sample_size,250,0.10853384499989716,0.1066329947501572,0.10897421075020475,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,forest,sklearn,sample_size,4000,0.21775466350004535,0.19499453424975854,0.22787288749987056,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,citrees,permutation_budget,99,0.058717905999998266,0.05843581699981826,0.05877783049959362,10,999 permutations per predictor (scale_resamples_with_tests=False)
regression,tree,citrees,permutation_budget,9999,1.2834847135002292,1.215277412999967,4.0830345962499806,10,999 permutations per predictor (scale_resamples_with_tests=False)
