method,avg_rank,std_rank,cd
boruta,5.0,0.0,16.311219536000955
ptest_pc,5.0,1.0,16.311219536000955
r_ctree,5.0,3.0,16.311219536000955
rfe,5.5,4.5,16.311219536000955
cit,6.75,0.75,16.311219536000955
cat,7.0,6.0,16.311219536000955
pi,8.0,5.0,16.311219536000955
rf,8.0,4.0,16.311219536000955
cif,8.25,0.75,16.311219536000955
et,8.5,5.5,16.311219536000955
ptest_dc,8.5,6.5,16.311219536000955
lgbm,9.0,2.0,16.311219536000955
xgb,10.5,0.5,16.311219536000955
ptest_rdc,11.5,2.5,16.311219536000955
cpi,13.5,1.5,16.311219536000955
r_cforest,16.0,0.0,16.311219536000955
