method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.8114797092967825,0.7535367508599586,0.8664113371769998,"0.811 [0.754, 0.866]",0.7999086856532418,0.7407908897279558,0.8570757726747337,"0.800 [0.741, 0.857]",0.809812338485189,0.7523555623292411,0.8645844939725885,"0.810 [0.752, 0.865]"
cat,0.8505703181821767,0.8062023461090587,0.8909329257858735,"0.851 [0.806, 0.891]",0.8407665555259995,0.7961823422895613,0.8822140176303586,"0.841 [0.796, 0.882]",0.8487938394041433,0.8048813187558874,0.8883991141685078,"0.849 [0.805, 0.888]"
cif,0.8173663092935836,0.7662550399333895,0.8669435657008774,"0.817 [0.766, 0.867]",0.8029521256192386,0.7514835824316164,0.8533369182954563,"0.803 [0.751, 0.853]",0.811477688731773,0.7607971200793792,0.8605881211919508,"0.811 [0.761, 0.861]"
cit,0.7769064579999778,0.7240534627954904,0.8298277501520109,"0.777 [0.724, 0.830]",0.7552319094737057,0.7010232192478733,0.8102730522644598,"0.755 [0.701, 0.810]",0.7643179304013359,0.7101874522446239,0.8202229160008706,"0.764 [0.710, 0.820]"
cpi,0.6812463943768048,0.6030097293447895,0.7612134604554476,"0.681 [0.603, 0.761]",0.6650918524428181,0.5820764441816437,0.7484468175999011,"0.665 [0.582, 0.748]",0.6816375884457276,0.6037696875628633,0.7611784338836739,"0.682 [0.604, 0.761]"
et,0.8306395399840898,0.7826115091255638,0.8783829451073955,"0.831 [0.783, 0.878]",0.8214274413968561,0.7752766032728832,0.8663292208301611,"0.821 [0.775, 0.866]",0.8309421084641844,0.7854646954384601,0.8749207857838691,"0.831 [0.785, 0.875]"
lgbm,0.854593459525691,0.8088603986259802,0.8947899474235758,"0.855 [0.809, 0.895]",0.8447610101872793,0.7989530855972936,0.8858013363240598,"0.845 [0.799, 0.886]",0.8493278088469037,0.8042010466558837,0.8894617344348354,"0.849 [0.804, 0.889]"
pi,0.7502241513009887,0.6862083636163858,0.8122940986174588,"0.750 [0.686, 0.812]",0.739293789061561,0.6745637812115738,0.8023781046336361,"0.739 [0.675, 0.802]",0.7515351526722446,0.6898119795389801,0.8112062744391563,"0.752 [0.690, 0.811]"
ptest_mc,0.7803979887662956,0.7198991956392996,0.8425081583268182,"0.780 [0.720, 0.843]",0.7689554912837713,0.7094001276997194,0.8314695851581533,"0.769 [0.709, 0.831]",0.7805693519669775,0.7237264517379559,0.838763546864971,"0.781 [0.724, 0.839]"
ptest_rdc,0.7633794749715047,0.6988960437521939,0.8283143172842478,"0.763 [0.699, 0.828]",0.7498046266662796,0.685384035503676,0.816957971279724,"0.750 [0.685, 0.817]",0.7591496593156193,0.6961811765910838,0.8241064380032317,"0.759 [0.696, 0.824]"
r_cforest,0.7120394990662325,0.6554756666845267,0.7708624856490369,"0.712 [0.655, 0.771]",0.700618130781289,0.644261595457637,0.7585989089927803,"0.701 [0.644, 0.759]",0.7086528169855378,0.6526662335466181,0.7668055685718258,"0.709 [0.653, 0.767]"
r_ctree,0.705916793634428,0.6429272964827675,0.7692006967924055,"0.706 [0.643, 0.769]",0.6972222626661748,0.63497771024192,0.7566956416953436,"0.697 [0.635, 0.757]",0.7062476550811223,0.644007753228764,0.7677990652697593,"0.706 [0.644, 0.768]"
rf,0.8426663282474882,0.7940378930272387,0.8889404008212993,"0.843 [0.794, 0.889]",0.8345000293182973,0.7868958241549288,0.8778472033388861,"0.835 [0.787, 0.878]",0.8427987422794685,0.7965203010608277,0.8850412756939201,"0.843 [0.797, 0.885]"
rfe,0.8408456893956352,0.7943250758324455,0.8833074116256462,"0.841 [0.794, 0.883]",0.8273547056490033,0.7797905014397758,0.8704220498029589,"0.827 [0.780, 0.870]",0.8334970598832058,0.7872164634119743,0.8761612718303909,"0.833 [0.787, 0.876]"
xgb,0.8433902409618943,0.7964759626433752,0.8865638173556323,"0.843 [0.796, 0.887]",0.8309054704642094,0.785015796509601,0.8749819532964964,"0.831 [0.785, 0.875]",0.8359950072958636,0.7908106580166477,0.879384373874407,"0.836 [0.791, 0.879]"
