task,model_variant,ranking_variant,reference_model_variant,reference_ranking_variant,downstream_model,k,n_datasets,mean_delta_vs_reference,median_delta_vs_reference,ci95_mean_delta_lower,ci95_mean_delta_upper,wins,losses,ties,win_share,nonloss_share,sign_test_pvalue_two_sided,bootstrap_replicates
classification,cif_one_tree,split_count,cif_default,split_importance,svm,25,16,-0.0876892926182183,-0.057566666666666655,-0.1348942507766589,-0.042587876529721215,3,13,0,0.1875,0.1875,0.021270751953125,20000
classification,cif_one_tree,split_count,cif_default,split_importance,svm,50,16,-0.10747697763652633,-0.07029999999999997,-0.1573924890521219,-0.06253370037745465,1,15,0,0.0625,0.0625,0.000518798828125,20000
classification,cif_one_tree,split_count,cif_default,split_importance,svm,100,15,-0.13061920921702705,-0.07371212121212134,-0.18613667693852382,-0.0802325570722907,1,14,0,0.06666666666666667,0.06666666666666667,0.0009765625,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,knn,5,23,-0.058918090017581116,-0.038313492063492216,-0.08667029924778322,-0.032544483278336346,2,21,0,0.08695652173913043,0.08695652173913043,6.604194641113281e-05,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,knn,10,22,-0.05381952431637561,-0.01210582010582012,-0.09081230502278169,-0.02211009104227459,4,15,3,0.18181818181818182,0.3181818181818182,0.0192108154296875,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,knn,25,16,-0.10078792322886404,-0.07708333333333328,-0.14696704716950482,-0.05870260674587085,2,14,0,0.125,0.125,0.004180908203125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,knn,50,16,-0.11650133228588128,-0.09991111111111112,-0.1688180107905835,-0.06805903470764382,2,14,0,0.125,0.125,0.004180908203125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,knn,100,15,-0.11619522686761918,-0.1306666666666666,-0.16060607851916106,-0.07090195516851949,2,13,0,0.13333333333333333,0.13333333333333333,0.00738525390625,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,lr,5,23,-0.043747445409127776,-0.03316666666666679,-0.06833961145880124,-0.020171831419145355,3,20,0,0.13043478260869565,0.13043478260869565,0.00048828125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,lr,10,22,-0.03329504689062018,-0.020716189788409445,-0.06373483577785719,-0.00736289919623147,5,15,2,0.22727272727272727,0.3181818181818182,0.04138946533203125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,lr,25,16,-0.07117206049874626,-0.03926666666666667,-0.11563952739147845,-0.03483736827764033,1,15,0,0.0625,0.0625,0.000518798828125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,lr,50,16,-0.07507531015023627,-0.04503333333333337,-0.11949327729035533,-0.0383318571598192,1,15,0,0.0625,0.0625,0.000518798828125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,lr,100,15,-0.07473725830266546,-0.06121212121212127,-0.12092519131561402,-0.0364088493628399,2,12,1,0.13333333333333333,0.2,0.012939453125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,svm,5,23,-0.049982150428675196,-0.042059523809523824,-0.0765535504819395,-0.02429586337838882,4,19,0,0.17391304347826086,0.17391304347826086,0.002599477767944336,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,svm,10,22,-0.03696197538934733,-0.012389520000235188,-0.0722860753618924,-0.0049297641105015035,5,14,3,0.22727272727272727,0.36363636363636365,0.063568115234375,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,svm,25,16,-0.08674925445597845,-0.057566666666666655,-0.13496209718966926,-0.042224003636960356,3,13,0,0.1875,0.1875,0.021270751953125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,svm,50,16,-0.10537313691510086,-0.07029999999999997,-0.15579382627641303,-0.05907825202389448,2,14,0,0.125,0.125,0.004180908203125,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,svm,100,15,-0.12943120400190317,-0.07371212121212134,-0.187286335016835,-0.07905882944398684,2,13,0,0.13333333333333333,0.13333333333333333,0.00738525390625,20000
regression,cif_default,split_count,cif_default,split_importance,knn,5,8,-0.043570528810137094,0.002396408666261174,-0.1472919307656969,0.01649989183078705,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_default,split_count,cif_default,split_importance,knn,10,8,-0.23550436521421556,0.003378800136121074,-0.8148089945235395,0.0918427941107432,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_default,split_count,cif_default,split_importance,knn,25,7,-0.007684265845303707,0.0023363072428551623,-0.0740738363816705,0.0640359092026115,4,3,0,0.5714285714285714,0.5714285714285714,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,knn,50,7,-0.02263460563328387,-0.005747145922531227,-0.06449492050169002,0.0012333620324621042,3,4,0,0.42857142857142855,0.42857142857142855,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,knn,100,6,-0.0008353136343169972,-0.0009884395780605515,-0.00202124779498337,0.0005745660334897651,2,3,1,0.3333333333333333,0.5,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,ridge,5,8,-0.00888286881215878,0.002322468471173955,-0.05268318585759484,0.020057076932901707,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_default,split_count,cif_default,split_importance,ridge,10,8,0.027434372838221012,0.00013185973740659218,-0.003607478238471313,0.08404838787040125,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_default,split_count,cif_default,split_importance,ridge,25,7,0.032581238381757124,-0.0016150279916342658,-0.051328758267391084,0.1494990449898856,3,4,0,0.42857142857142855,0.42857142857142855,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,ridge,50,7,-0.012364141628013501,5.11652566026477e-05,-0.030286254209711927,0.0011383644248252056,4,3,0,0.5714285714285714,0.5714285714285714,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,ridge,100,6,0.0032770041889433332,0.0017130992749382346,-0.0006258190664867694,0.00869000554728864,3,1,2,0.5,0.8333333333333334,0.625,20000
regression,cif_default,split_count,cif_default,split_importance,svr,5,8,-0.0033249801529343743,0.003347735891654758,-0.02488643086216496,0.012414757074850697,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_default,split_count,cif_default,split_importance,svr,10,8,-0.024752205742996438,0.0008248319427447137,-0.09031146872620284,0.015488614602522406,4,4,0,0.5,0.5,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,svr,25,7,-0.01882308630697675,-0.00016746581868190558,-0.046250821326174536,0.0038906198775203677,3,4,0,0.42857142857142855,0.42857142857142855,1.0,20000
regression,cif_default,split_count,cif_default,split_importance,svr,50,7,-0.018904394586438927,-0.001520213974664411,-0.046393995603837744,0.0006048203389918524,1,6,0,0.14285714285714285,0.14285714285714285,0.125,20000
regression,cif_default,split_count,cif_default,split_importance,svr,100,6,-0.003634021668600979,-0.001318334071172384,-0.00769193753497308,-1.555049261964461e-05,1,3,2,0.16666666666666666,0.5,0.625,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,knn,5,8,0.023257855217523563,0.0030708148398863044,-0.0791777007889484,0.15992239209310202,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,knn,10,8,-0.025806333107398757,-0.0022303275586873506,-0.08053288579694627,0.012620087936742304,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,knn,25,7,-0.1472638375743089,-0.0022021539138543655,-0.3340017546231683,-0.001661841404090881,3,4,0,0.42857142857142855,0.42857142857142855,1.0,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,knn,50,7,-0.14095455443727015,-0.006094666666824566,-0.3909810953923614,-0.0033530912612156926,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,knn,100,6,-0.16904283066921297,-0.01822804410851569,-0.4568558592135891,-0.004057163768871716,2,4,0,0.3333333333333333,0.3333333333333333,0.6875,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,ridge,5,8,-0.0047814310783536405,-0.00019189708925848592,-0.013354830066874152,0.0016757833898249364,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,ridge,10,8,-0.07021277452778463,0.0001900454226234083,-0.2542662557677818,0.038896431163892575,6,2,0,0.75,0.75,0.2890625,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,ridge,25,7,-0.7363635247738721,-0.002700059993383297,-2.2148014765024953,0.019544065228769805,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,ridge,50,7,-1.0505074122882327,-0.008630551688396437,-3.1558283848648303,0.0584792506301754,2,5,0,0.2857142857142857,0.2857142857142857,0.453125,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,ridge,100,6,-1.1207746090449417,-0.0005520563835242354,-3.7900259994747088,0.37074941047692267,2,4,0,0.3333333333333333,0.3333333333333333,0.6875,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,svr,5,8,0.01059858381112851,0.0009120347645972908,-0.012207489106500614,0.043030319992932144,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,svr,10,8,-0.004962442699900233,-0.0008236822669676139,-0.026254843252028325,0.010405995987710684,3,5,0,0.375,0.375,0.7265625,20000
