task,downstream_model,dataset,focus_method,baseline,n_k,supported_k,mean_delta,median_delta,start_delta,end_delta,delta_change,win_share,nonloss_share
classification,knn,CLL_SUB_111,cif,cat,5,"5,10,25,50,100",-0.02342626262626264,-0.03159595959595962,0.04188552188552197,-0.03159595959595962,-0.07348148148148159,0.4,0.4
classification,knn,CLL_SUB_111,cif,cit,5,"5,10,25,50,100",0.06564579124579122,0.038195286195286116,-0.00957575757575757,0.13927272727272733,0.1488484848484849,0.8,0.8
classification,knn,CLL_SUB_111,cif,cpi,5,"5,10,25,50,100",0.2150814814814815,0.23182491582491582,0.22086195286195293,0.09470707070707074,-0.1261548821548822,1.0,1.0
classification,knn,CLL_SUB_111,cif,et,5,"5,10,25,50,100",-0.004161616161616188,-0.005939393939393911,0.02122558922558926,-0.012067340067340115,-0.033292929292929374,0.4,0.4
classification,knn,CLL_SUB_111,cif,lgbm,5,"5,10,25,50,100",-0.06947340067340071,-0.07124579124579133,-0.07124579124579133,-0.04914478114478116,0.022101010101010177,0.0,0.0
classification,knn,CLL_SUB_111,cif,pi,5,"5,10,25,50,100",0.16113400673400674,0.16409427609427607,0.19468013468013473,0.09291582491582495,-0.10176430976430978,1.0,1.0
classification,knn,CLL_SUB_111,cif,ptest_mc,5,"5,10,25,50,100",0.02385454545454546,0.028013468013468046,0.012700336700336656,0.03035690235690236,0.017656565656565704,1.0,1.0
classification,knn,CLL_SUB_111,cif,ptest_rdc,5,"5,10,25,50,100",-0.012239730639730606,-0.01897643097643098,0.04448484848484857,-0.01897643097643098,-0.06346127946127955,0.2,0.2
classification,knn,CLL_SUB_111,cif,r_cforest,5,"5,10,25,50,100",0.19745454545454547,0.20021548821548818,0.22985858585858587,0.13578451178451179,-0.09407407407407409,1.0,1.0
classification,knn,CLL_SUB_111,cif,r_ctree,5,"5,10,25,50,100",0.13635555555555556,0.12496969696969695,0.12496969696969695,0.1541144781144781,0.02914478114478114,1.0,1.0
classification,knn,CLL_SUB_111,cif,rf,5,"5,10,25,50,100",-0.008142760942760941,0.0008350168350167442,0.00926599326599331,-0.04383838383838379,-0.0531043771043771,0.6,0.6
classification,knn,CLL_SUB_111,cif,rfe,5,"5,10,25,50,100",0.09172255892255894,0.07186531986531985,0.12063299663299665,0.0494410774410774,-0.07119191919191925,1.0,1.0
classification,knn,CLL_SUB_111,cif,xgb,5,"5,10,25,50,100",-0.04146262626262624,-0.037265993265993225,-0.11523232323232324,-0.013535353535353511,0.10169696969696973,0.2,0.2
classification,knn,ORL,cif,boruta,5,"5,10,25,50,100",0.18350000000000002,0.17900000000000005,0.21500000000000002,0.1389999999999999,-0.07600000000000012,1.0,1.0
classification,knn,ORL,cif,cat,5,"5,10,25,50,100",0.034399999999999986,0.026499999999999968,0.07450000000000001,0.026499999999999968,-0.04800000000000004,1.0,1.0
classification,knn,ORL,cif,cit,5,"5,10,25,50,100",0.043699999999999996,0.049000000000000044,0.08900000000000002,0.0675,-0.02150000000000002,0.8,0.8
classification,knn,ORL,cif,cpi,5,"5,10,25,50,100",0.35270000000000007,0.3540000000000001,0.3265,0.30800000000000005,-0.01849999999999996,1.0,1.0
classification,knn,ORL,cif,et,5,"5,10,25,50,100",0.033299999999999996,0.035499999999999976,0.05300000000000005,0.013499999999999956,-0.03950000000000009,1.0,1.0
classification,knn,ORL,cif,lgbm,5,"5,10,25,50,100",-0.007799999999999985,0.000500000000000056,0.005499999999999949,0.013000000000000012,0.007500000000000062,0.6,0.6
classification,knn,ORL,cif,pi,5,"5,10,25,50,100",0.0896,0.08099999999999996,0.11549999999999999,0.07399999999999995,-0.04150000000000004,1.0,1.0
classification,knn,ORL,cif,ptest_mc,5,"5,10,25,50,100",0.12839999999999996,0.17000000000000004,0.177,0.04599999999999993,-0.13100000000000006,1.0,1.0
classification,knn,ORL,cif,ptest_rdc,5,"5,10,25,50,100",0.16699999999999998,0.1489999999999999,0.202,0.13649999999999995,-0.06550000000000006,1.0,1.0
classification,knn,ORL,cif,r_cforest,5,"5,10,25,50,100",0.083,0.07399999999999995,0.11250000000000004,0.06399999999999995,-0.0485000000000001,1.0,1.0
classification,knn,ORL,cif,r_ctree,5,"5,10,25,50,100",0.0889,0.045499999999999985,0.045499999999999985,0.21550000000000002,0.17000000000000004,1.0,1.0
classification,knn,ORL,cif,rf,5,"5,10,25,50,100",0.020700000000000007,0.018000000000000016,0.028000000000000025,0.018000000000000016,-0.010000000000000009,1.0,1.0
classification,knn,ORL,cif,rfe,5,"5,10,25,50,100",-0.02240000000000002,-0.03149999999999997,-0.03149999999999997,0.0044999999999999485,0.03599999999999992,0.2,0.2
classification,knn,ORL,cif,xgb,5,"5,10,25,50,100",-0.01369999999999998,-0.0050000000000000044,0.0,0.0040000000000000036,0.0040000000000000036,0.2,0.4
classification,knn,TOX_171,cif,boruta,5,"5,10,25,50,100",-0.02703174603174603,-0.02674603174603163,-0.016726190476190506,-0.021190476190476204,-0.004464285714285698,0.0,0.0
classification,knn,TOX_171,cif,cat,5,"5,10,25,50,100",-0.022329365079365115,-0.0076785714285715345,-0.05946428571428575,0.0005952380952380931,0.06005952380952384,0.2,0.2
classification,knn,TOX_171,cif,cit,5,"5,10,25,50,100",0.02768650793650791,0.04273809523809524,-0.025873015873015937,0.044047619047619,0.06992063492063494,0.8,0.8
classification,knn,TOX_171,cif,cpi,5,"5,10,25,50,100",0.16837301587301584,0.18664682539682548,0.2097222222222222,0.09013888888888888,-0.11958333333333332,1.0,1.0
classification,knn,TOX_171,cif,et,5,"5,10,25,50,100",0.009789682539682532,0.018511904761904785,0.02093253968253972,-0.0085912698412699,-0.02952380952380962,0.6,0.6
classification,knn,TOX_171,cif,lgbm,5,"5,10,25,50,100",-0.046904761904761935,-0.05496031746031749,-0.05496031746031749,-0.038373015873016,0.016587301587301484,0.0,0.0
classification,knn,TOX_171,cif,pi,5,"5,10,25,50,100",0.07386507936507937,0.05297619047619051,0.12611111111111112,0.042539682539682544,-0.08357142857142857,1.0,1.0
classification,knn,TOX_171,cif,ptest_mc,5,"5,10,25,50,100",0.03623015873015874,0.0444444444444444,0.00450396825396826,0.04486111111111113,0.04035714285714287,1.0,1.0
classification,knn,TOX_171,cif,ptest_rdc,5,"5,10,25,50,100",0.010992063492063475,0.011269841269841208,-0.004702380952380958,0.011269841269841208,0.015972222222222165,0.8,0.8
classification,knn,TOX_171,cif,r_cforest,5,"5,10,25,50,100",0.13187698412698406,0.13210317460317456,0.16505952380952377,0.06285714285714272,-0.10220238095238104,1.0,1.0
classification,knn,TOX_171,cif,r_ctree,5,"5,10,25,50,100",0.13640476190476186,0.15041666666666664,0.15041666666666664,0.06323412698412689,-0.08718253968253975,1.0,1.0
classification,knn,TOX_171,cif,rf,5,"5,10,25,50,100",-0.01030555555555559,-0.009702380952381073,-0.050753968253968273,-0.009702380952381073,0.0410515873015872,0.4,0.4
classification,knn,TOX_171,cif,rfe,5,"5,10,25,50,100",-0.042480158730158715,-0.04414682539682535,-0.0630952380952381,-0.024523809523809503,0.03857142857142859,0.0,0.0
