task,variant,kind,n_jobs,seconds_median,seconds_min,seconds_max,depth_mean,internal_nodes_mean,repeats
classification,"recommended tree, all predictors",tree,,0.0339768649999996,0.0339285849999981,0.0343967270000007,3.0,7.0,3
classification,"recommended tree, sqrt predictors",tree,,0.0454816660000005,0.0277196960000054,0.0515548399999943,1.6666666666666667,1.6666666666666667,3
classification,"recommended forest, serial",forest,1.0,13.69479925600001,13.620019232000004,13.710638404000008,1.8699999999999999,2.606666666666667,3
classification,"recommended forest, parallel",forest,-1.0,18.87896693099998,18.83137055200001,19.848887335,1.8699999999999999,2.606666666666667,3
classification,"recommended forest, parallel, no threshold test",forest,-1.0,0.3802719689999776,0.2936033470000438,0.4054844020000132,2.0500000000000003,2.92,3
classification,"recommended forest, parallel, no adjustment",forest,-1.0,0.2836905190000038,0.2680478149999885,0.4046244750000483,2.0500000000000003,2.926666666666667,3
classification,"recommended forest, parallel, max-type",forest,-1.0,1.3326198500000146,1.3275974449999808,1.4109683870000254,2.06,2.9466666666666668,3
classification,"exhaustive tree, all predictors",exhaustive-tree,,0.0398313320000056,0.039586555000028,0.0399676960000192,0.0,0.0,3
classification,"exhaustive forest, parallel",exhaustive-forest,-1.0,4.78002004199999,4.620218179999995,4.813954370000033,0.0,0.0,3
regression,"recommended tree, all predictors",tree,,0.0331570110000143,0.03312758200002,0.0335237220000408,3.0,7.0,3
regression,"recommended tree, sqrt predictors",tree,,0.0357514669999545,0.0156784239999865,0.0366390540000338,2.0,2.0,3
regression,"recommended forest, serial",forest,1.0,7.558497928000008,7.526249042000018,7.635592136000014,1.91,2.7133333333333334,3
regression,"recommended forest, parallel",forest,-1.0,18.505469928000025,18.497320279999997,18.520631966999986,1.91,2.7133333333333334,3
regression,"recommended forest, parallel, no threshold test",forest,-1.0,0.2547255480000103,0.2514553630000478,0.2558312399999636,2.0500000000000003,2.8533333333333335,3
regression,"recommended forest, parallel, no adjustment",forest,-1.0,0.2255828749999864,0.2017853469999977,0.3478270609999754,2.06,2.973333333333333,3
regression,"recommended forest, parallel, max-type",forest,-1.0,0.7139273219999609,0.6490960570000084,0.7577556809999919,1.9799999999999998,2.706666666666667,3
regression,"exhaustive tree, all predictors",exhaustive-tree,,0.0364856250000116,0.0364420260000315,0.0368428550000317,0.0,0.0,3
regression,"exhaustive forest, parallel",exhaustive-forest,-1.0,4.541359999999997,4.539407789999984,4.560557114000005,0.0,0.0,3
