block,method,base_dataset,n_samples,n_features,n_informative,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std
sample_size,cif,easy,2000,100,10,0.9,0.0,0.9,0.0,0.9,0.0,0.8484848484848485,0.0,0.9505088921256585,0.0,0.9879984775194356,0.0,65.62616734400001,0.0
sample_size,rf,easy,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.8484848484848485,0.0,0.9495063926201651,0.0,0.99249698800597,0.0,0.2707195620000675,0.0
sample_size,et,easy,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.8484848484848485,0.0,0.9495063926201651,0.0,0.99249698800597,0.0,0.1254468109999607,0.0
sample_size,cif,moderate,2000,100,10,0.9,0.0,0.9,0.0,0.9,0.0,0.8484848484848485,0.0,0.6945268621915327,0.0,0.8805107502712293,0.0,51.802056918999824,0.0
sample_size,rf,moderate,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.8484848484848485,0.0,0.6925323527119934,0.0,0.9170038301774829,0.0,0.1777238849999776,0.0
sample_size,et,moderate,2000,100,10,1.0,0.0,1.0,0.0,1.0,0.0,0.8484848484848485,0.0,0.6925323527119934,0.0,0.9170038301774829,0.0,0.12675032099991768,0.0
sample_size,cif,highdim,2000,500,5,0.2,0.0,0.4,0.0,0.26666666666666666,0.0,0.9679358717434869,0.0,0.703997410584237,0.0,0.6825163486840133,0.0,49.62948492199985,0.0
sample_size,rf,highdim,2000,500,5,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.8096192384769539,0.0,0.7179874485263706,0.0,0.849514184843526,0.0,0.21848954100005358,0.0
sample_size,et,highdim,2000,500,5,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.8136272545090181,0.0,0.7144914375453298,0.0,0.8539977102851354,0.0,0.13054937799984145,0.0
