experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
nresamples_honesty,clf,clf_standard_easy,B=49,100,1000,0.86,0.10198039027185571,0.86,0.10198039027185571,0.86,0.1019803902718557,0.903030303030303,0.041696499879899596,0.9474087968641032,0.05542394627590487,0.994004761561215,0.0023652730033413127,35.28221707979392,7.243275472792228,,,,,,,,
nresamples_honesty,clf,clf_standard_easy,B=99,100,1000,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.915151515151515,0.03703091470671386,0.9478092008753578,0.05652839330504972,0.9918043431209869,0.0047498786047428295,34.73006195359922,2.9108702441195464,,,,,,,,
nresamples_honesty,clf,clf_standard_easy,B=199,100,1000,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.915151515151515,0.03703091470671386,0.9478092008753578,0.05652839330504972,0.9918043431209869,0.0047498786047428295,35.053034782002214,2.346206644499481,,,,,,,,
nresamples_honesty,clf,clf_standard_easy,B=499,100,1000,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.915151515151515,0.03703091470671386,0.9474099992785515,0.056263639509252956,0.9918043431209869,0.0047498786047428295,35.78985320400388,5.908769107465177,,,,,,,,
nresamples_honesty,clf,clf_standard_easy,B=999,100,1000,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.909090909090909,0.03319530651546461,0.9472091960657,0.056102103209507447,0.9924043479306446,0.0049242367194187505,33.90850940120581,4.659521634944854,,,,,,,,
nresamples_honesty,clf,clf_standard_easy,honesty,100,1000,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8200000000000001,0.132664991614216,0.8969696969696969,0.038009874186316725,0.9472067912368036,0.05610108318884961,0.993404756751557,0.0040760271373179455,16.492044580198126,0.5775425908648173,,,,,,,,
nresamples_honesty,clf,clf_standard_easy,no_honesty,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.9452107832527716,0.05736655637619562,0.9940035591467667,0.00340367107627081,34.818589191001955,3.5555238329492185,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,B=49,100,1000,0.16,0.10198039027185568,0.16,0.10198039027185568,0.16,0.10198039027185571,0.81010101010101,0.06921956242024976,0.533135206924075,0.010510435773249524,0.5307994572582264,0.015902857936976073,30.889474295600667,4.361339844535385,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,B=99,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.7515151515151515,0.12593492828693897,0.5445317917859581,0.02435179108166927,0.5219641286456451,0.01960847849451042,29.43411671119684,1.3477338835220054,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,B=199,100,1000,0.16,0.048989794855663564,0.16,0.048989794855663564,0.16000000000000003,0.04898979485566357,0.8282828282828284,0.068508383667932,0.5447277988746858,0.023450452189144818,0.5185432150355316,0.012906666542175354,29.36571119799337,1.0387996711586753,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,B=499,100,1000,0.16,0.048989794855663564,0.16,0.048989794855663564,0.16,0.04898979485566358,0.8505050505050505,0.040605558065134884,0.5403570530664535,0.011440092640031112,0.5281507503430525,0.026431333966580064,30.33570578560175,2.0843317580421896,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,B=999,100,1000,0.16,0.048989794855663564,0.16,0.048989794855663564,0.16,0.04898979485566358,0.8505050505050505,0.040605558065134884,0.5397714348073268,0.008915855688881992,0.5285478646316608,0.025343960676409576,30.46073015080474,2.1241521819149916,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,honesty,100,1000,0.22000000000000003,0.16,0.22000000000000003,0.16,0.22000000000000003,0.16,0.8464646464646466,0.07963799331081625,0.5331180844902799,0.014146961375245078,0.5421327144386447,0.0322647883808899,17.96502305519825,1.1502799495159235,,,,,,,,
nresamples_honesty,clf,clf_weak_signal,no_honesty,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5287493239672014,0.019006514476022612,0.5159491172560215,0.013576495835490232,29.79659227960219,2.466567726995138,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,B=49,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8398239665247818,0.043268317057896945,0.8024240675275955,0.05957645305347029,30.161715627001833,4.674835396962006,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,B=99,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.838628766563259,0.0424644006945901,0.7986328547723829,0.05576594763653039,32.22562365820049,3.0322009525621403,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,B=199,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8390279681600654,0.043017227876580154,0.801429670778924,0.05949959702836372,33.936765548796394,2.8620533701371236,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,B=499,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7616161616161616,0.11598141490430162,0.8396255681408269,0.04320038230619966,0.8020236635163407,0.05953752917135593,34.280710899399125,1.8463030996851433,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,B=999,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8398239665247818,0.043268317057896945,0.8024240675275955,0.05957645305347029,33.93663983959705,1.7290621375682456,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,honesty,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.8388283673616621,0.042739843803566616,0.7996344660077435,0.057068133296514216,16.475569602198085,0.9769266901111149,,,,,,,,
nresamples_honesty,clf,clf_toeplitz,no_honesty,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396243657263784,0.04299624842946874,0.800628862756415,0.057179487942956596,31.713745742401805,3.612331728166961,,,,,,,,
nresamples_honesty,clf,clf_confounder,B=49,120,1000,0.4,0.10954451150103323,0.4,0.10954451150103323,0.4,0.10954451150103323,0.9226890756302522,0.026785508320183563,0.7928023471130029,0.07065539179668492,0.8529879999038069,0.03390401612683706,31.613935430001582,2.5893771902109823,0.6,0.1788854381999832,0.6,0.1095445115010332,,,,
nresamples_honesty,clf,clf_confounder,B=99,120,1000,0.42000000000000004,0.09797958971132711,0.42000000000000004,0.09797958971132711,0.42000000000000004,0.09797958971132711,0.9159663865546219,0.022548584647056672,0.797408796864103,0.06783684735138618,0.8454079792222782,0.03279542801412387,34.704609705400074,3.8664625867352393,0.7200000000000001,0.09797958971132716,0.58,0.09797958971132709,,,,
nresamples_honesty,clf,clf_confounder,B=199,120,1000,0.33999999999999997,0.048989794855663585,0.33999999999999997,0.048989794855663585,0.34,0.048989794855663606,0.9092436974789916,0.04553350313998004,0.7822078734098068,0.07413804774484536,0.8434059591660054,0.023169203411390133,32.68804661299801,2.8637678716111696,0.64,0.14966629547095767,0.6599999999999999,0.04898979485566355,,,,
nresamples_honesty,clf,clf_confounder,B=499,120,1000,0.36,0.04898979485566358,0.36,0.04898979485566358,0.36000000000000004,0.048989794855663606,0.9058823529411765,0.042318246426938357,0.784205083808287,0.07220049144628547,0.851412836976649,0.03108512180101834,36.04930053679855,2.4359520386133333,0.68,0.09797958971132716,0.64,0.04898979485566354,,,,
nresamples_honesty,clf,clf_confounder,B=999,120,1000,0.33999999999999997,0.048989794855663585,0.33999999999999997,0.048989794855663585,0.34,0.048989794855663606,0.9058823529411765,0.042318246426938357,0.7884087247192361,0.07269610842266566,0.8447851285381045,0.02504593026664123,37.84111375400098,4.663288531204146,0.7200000000000001,0.09797958971132716,0.6599999999999999,0.04898979485566355,,,,
nresamples_honesty,clf,clf_confounder,honesty,120,1000,0.31999999999999995,0.07483314773547883,0.31999999999999995,0.07483314773547883,0.32,0.07483314773547885,0.7932773109243698,0.15735616673271163,0.7792030397037251,0.07286944322054159,0.8106016881898853,0.05284328589779737,17.823855148401343,0.5205869658531732,0.52,0.0979795897113271,0.6799999999999999,0.07483314773547885,,,,
nresamples_honesty,clf,clf_confounder,no_honesty,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8672268907563027,0.09645946119181004,0.7916143616381695,0.07334842750891032,0.8413895101363538,0.03827037973632609,32.31583219399617,3.9183895505407467,0.64,0.14966629547095767,0.62,0.039999999999999994,,,,
nresamples_honesty,reg,reg_toeplitz,B=49,100,1000,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999995,0.7858585858585859,0.13067443740441398,,,,,29.141409895994002,4.3542080753951184,,,,,0.7774043277418341,0.10488941203840699,0.6745283738931342,0.15306583107275873
nresamples_honesty,reg,reg_toeplitz,B=99,100,1000,0.9199999999999999,0.0748331477354788,0.9199999999999999,0.0748331477354788,0.9199999999999999,0.07483314773547878,0.7858585858585859,0.13067443740441398,,,,,32.708355295602814,3.5423728806785073,,,,,0.7774523249268621,0.10494960569438762,0.6737756429993959,0.152115498669841
nresamples_honesty,reg,reg_toeplitz,B=199,100,1000,0.9199999999999999,0.0748331477354788,0.9199999999999999,0.0748331477354788,0.9199999999999999,0.07483314773547878,0.7858585858585859,0.13067443740441398,,,,,30.30342775200261,3.895073986217744,,,,,0.7773805085426415,0.10491429313713325,0.6746973309328692,0.15287790390093992
nresamples_honesty,reg,reg_toeplitz,B=499,100,1000,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999995,0.7858585858585859,0.13067443740441398,,,,,34.169068622999475,7.969726337026537,,,,,0.7774043277418341,0.10488941203840696,0.6745283738931342,0.15306583107275873
nresamples_honesty,reg,reg_toeplitz,B=999,100,1000,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999995,0.7858585858585859,0.13067443740441398,,,,,38.572435281801155,13.644898484451334,,,,,0.7774043277418341,0.10488941203840696,0.6745283738931342,0.15306583107275873
nresamples_honesty,reg,reg_toeplitz,honesty,100,1000,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.03999999999999995,0.793939393939394,0.11738051754613293,,,,,13.178465257803328,3.1475890551554704,,,,,0.7772781930341297,0.10432701783453016,0.6697835744028556,0.15060053798707998
nresamples_honesty,reg,reg_toeplitz,no_honesty,100,1000,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999995,0.7858585858585859,0.13067443740441398,,,,,27.184976925203227,3.724872557043738,,,,,0.7774043277418341,0.10488941203840699,0.6745283738931342,0.15306583107275873
nresamples_honesty,reg,reg_weak_signal,B=49,100,1000,0.76,0.10198039027185572,0.76,0.10198039027185572,0.76,0.10198039027185575,0.8848484848484848,0.062463130641374966,,,,,37.60292898560001,6.3945961440642245,,,,,0.7273564487370526,0.01936264025790563,0.5152453419864307,0.018056730896874092
nresamples_honesty,reg,reg_weak_signal,B=99,100,1000,0.76,0.10198039027185572,0.76,0.10198039027185572,0.76,0.10198039027185575,0.8848484848484848,0.062463130641374966,,,,,46.54091074479802,12.579171548550951,,,,,0.7274951309604136,0.01950641880809086,0.5135133749410349,0.015611625526268772
nresamples_honesty,reg,reg_weak_signal,B=199,100,1000,0.76,0.10198039027185572,0.76,0.10198039027185572,0.76,0.10198039027185575,0.8848484848484848,0.062463130641374966,,,,,39.1921452153998,5.52837403432891,,,,,0.7273750111357481,0.019425435011721365,0.5117261143348785,0.015367773004232584
nresamples_honesty,reg,reg_weak_signal,B=499,100,1000,0.78,0.07483314773547886,0.78,0.07483314773547886,0.78,0.07483314773547886,0.8848484848484848,0.062463130641374966,,,,,41.595612120599256,7.959140786688117,,,,,0.7286552981381449,0.02081537072005576,0.5170402495519472,0.0208969258852645
nresamples_honesty,reg,reg_weak_signal,B=999,100,1000,0.76,0.10198039027185572,0.76,0.10198039027185572,0.76,0.10198039027185575,0.8848484848484848,0.062463130641374966,,,,,42.697015215797,7.742553107334611,,,,,0.727476128213415,0.019486547049842796,0.5141980509305053,0.0165347568674627
nresamples_honesty,reg,reg_weak_signal,honesty,100,1000,0.72,0.07483314773547886,0.72,0.07483314773547886,0.7200000000000001,0.0748331477354789,0.8343434343434343,0.11240749691509946,,,,,17.999662423998235,0.8263937426116866,,,,,0.7125801760091985,0.02020452897995855,0.4936189522834974,0.02548940593498815
nresamples_honesty,reg,reg_weak_signal,no_honesty,100,1000,0.7400000000000001,0.10198039027185572,0.7400000000000001,0.10198039027185572,0.7400000000000001,0.10198039027185574,0.8545454545454545,0.04973144899026738,,,,,38.960381443199005,6.32483872053094,,,,,0.7230886566504668,0.02325339837619582,0.5125035128629535,0.035053458896821994
