experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,svm_ba_mean,svm_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,svr_r2_mean,svr_r2_std,knn_r2_mean,knn_r2_std
threshold_search_ablation,clf,clf_standard_easy,exact_all,100,1000,0.82,0.09797958971132713,0.82,0.09797958971132713,0.8200000000000001,0.09797958971132711,0.915151515151515,0.03703091470671386,0.9462099896592358,0.0554899264172252,0.9932051559531538,0.005189212322674456,0.9936055599644085,0.004314806237265099,147.1219659144,6.86323357756261,2.8739999999999997,0.3315780451115544,9.0,1.2649110640673518,2.088,0.41023895475685873,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,histogram_32,100,1000,0.8400000000000001,0.13564659966250536,0.8400000000000001,0.13564659966250536,0.8400000000000001,0.13564659966250536,0.905050505050505,0.03294849783899008,0.9460079840319361,0.05735758487273614,0.9934023519226607,0.003875864306539182,0.9932027511242575,0.0035429761486113743,0.8237556285999744,0.14652629356959465,3.268,0.41431389066745034,8.2,0.7483314773547882,2.604,0.5258364764829462,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,histogram_64,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9191919191919192,0.03725068467593085,0.9452083784238752,0.056897306495357514,0.9932027511242575,0.004017852360453149,0.9930019479114061,0.0035759490327550224,2.284859929799995,0.0657675537783137,3.108,0.2927387914165118,8.4,0.48989794855663565,2.412,0.3730093832599925,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,histogram_128,100,1000,0.8400000000000001,0.12000000000000002,0.8400000000000001,0.12000000000000002,0.8400000000000001,0.12000000000000002,0.9191919191919192,0.03725068467593085,0.9470071904384003,0.058070702390238704,0.9930007454969578,0.0038434673301209147,0.9934023519226607,0.002651452276332435,8.243506339800025,1.2822127420494216,3.05,0.3051556979641704,8.6,0.7999999999999999,2.286,0.3931208465599351,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,histogram_256,100,1000,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185571,0.8400000000000001,0.10198039027185568,0.9232323232323232,0.046771058193091825,0.945410384051175,0.05697967619156779,0.9938027559339153,0.004532796912235223,0.9940035591467667,0.00340367107627081,26.085305213399987,1.9311687108452318,2.9539999999999997,0.25120509548972136,9.0,1.0954451150103321,2.1660000000000004,0.3327221062688802,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,histogram_512,100,1000,0.86,0.07999999999999999,0.86,0.07999999999999999,0.8600000000000001,0.07999999999999993,0.9191919191919192,0.03725068467593085,0.9462087872447876,0.057404740597992256,0.9938039583483634,0.004165031741930453,0.9942043623596181,0.0040669506884547435,88.1920459982,1.7700749181956295,2.934,0.10403845442911958,8.6,0.8,2.116,0.16596385148579787,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,histogram_all,100,1000,0.8200000000000001,0.09797958971132713,0.8200000000000001,0.09797958971132713,0.8200000000000001,0.09797958971132711,0.8929292929292929,0.07300731717007132,0.9478092008753578,0.0532520250874592,0.9916023374936873,0.007339514941248284,0.9922023423033451,0.006494225852635178,135.87096500219985,0.8871981860698064,2.806,0.2163885394377439,8.6,0.7999999999999999,2.0,0.2613809480432727,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,rf,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9952011639371859,0.0030605413764051774,0.9962027751725465,0.0026364773240054326,0.13399248919995443,0.007097600981362087,0.0,0.0,0.0,0.0,43.284,6.935083561140413,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,et,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9952011639371859,0.0030605413764051774,0.9962027751725465,0.0026364773240054326,0.09477713559981567,0.001053147556775726,0.0,0.0,0.0,0.0,83.17,5.50810312176524,,,,,,,,,,
threshold_search_ablation,clf,clf_standard_easy,cit,100,1000,0.62,0.0748331477354788,0.62,0.0748331477354788,0.62,0.0748331477354788,0.9070707070707071,0.04580114767173589,0.9302034485246373,0.061944621945672525,0.9880083207079817,0.007265428092429593,0.9866026982180218,0.006341837018107555,24.669063878799896,6.119849955657908,6.8,1.16619037896906,6.8,1.16619037896906,5.4,1.3564659966250536,,,,,,,,,,
