experiment,dataset_type,variant,n_features,n_samples,elapsed_seconds_mean,elapsed_seconds_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,n_features_used_mean,n_features_used_std,lr_ba_mean,lr_ba_std
maxt_comparison,clf_standard_easy,bonferroni_mc,100,1000,37.18986718560336,4.614727219763216,0.06000000000000001,0.08,0.06000000000000001,0.08,0.06000000000000001,0.08,42.8,5.114684741017769,0.987609700970097,0.006724547244337978
maxt_comparison,clf_standard_easy,no_bonf_mc_a05,100,1000,49.48682741660741,2.885393106402754,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,63.0,5.403702434442518,0.9843995599559955,0.0069780021049975155
maxt_comparison,clf_standard_easy,no_bonf_mc_a10,100,1000,55.044462158402894,1.8927157959600358,0.1,0.15491933384829668,0.1,0.15491933384829668,0.10000000000000002,0.1549193338482967,65.2,7.30479294709987,0.9844036003600358,0.006739244134064668
maxt_comparison,clf_standard_easy,maxt_mc_rdc,100,1000,38.462002830393615,4.965811782520028,0.06000000000000001,0.08,0.06000000000000001,0.08,0.06000000000000001,0.08,33.4,3.1368774282716245,0.987605700570057,0.007021698264569746
maxt_comparison,clf_standard_easy,maxt_mc_rdc_a10,100,1000,40.67962068619672,3.3502645913130094,0.04,0.08,0.04,0.08,0.04000000000000001,0.08000000000000002,41.4,5.748043145279966,0.9836055805580557,0.010453276189286638
maxt_comparison,clf_standard_hard,bonferroni_mc,1000,200,3.2435347075981555,0.11507317551176424,0.0,0.0,0.0,0.0,0.0,0.0,74.0,15.786069808536892,0.924155388471178,0.04618698700507511
maxt_comparison,clf_standard_hard,no_bonf_mc_a05,1000,200,4.232665739004733,0.09920366494637449,0.0,0.0,0.0,0.0,0.0,0.0,179.0,21.844907873461036,0.9331077694235589,0.044333431733444756
maxt_comparison,clf_standard_hard,no_bonf_mc_a10,1000,200,4.4644792698032685,0.26811079090989903,0.0,0.0,0.0,0.0,0.0,0.0,182.0,16.911534525287763,0.9311604010025061,0.04800317473373697
maxt_comparison,clf_standard_hard,maxt_mc_rdc,1000,200,9.161085958202602,0.2572614584648343,0.0,0.0,0.0,0.0,0.0,0.0,48.6,11.092339699089639,0.871250626566416,0.08928105898253777
maxt_comparison,clf_standard_hard,maxt_mc_rdc_a10,1000,200,5.168855621601688,0.4011256847921939,0.0,0.0,0.0,0.0,0.0,0.0,66.0,12.016655108639842,0.9139974937343359,0.05523368237402827
