study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_estimators,n_split_events,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,rf,1,100,15756,745,15011,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,rf,2,100,15694,753,14941,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,rf,3,100,15709,745,14964,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,rf,4,100,15705,760,14945,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,et,0,100,24900,1259,23641,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,et,1,100,24900,1287,23613,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,et,2,100,24900,1284,23616,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,et,3,100,24900,1255,23645,499,161,100
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,17218,et,4,100,24900,1235,23665,499,161,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif,0,100,130,9,121,106,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif,1,100,130,9,121,106,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif,2,100,129,9,120,106,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif,3,100,129,9,120,106,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif,4,100,136,9,127,112,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif_all,0,100,3622,1831,1791,746,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif_all,1,100,3615,1830,1785,745,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif_all,2,100,3611,1831,1780,750,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif_all,3,100,3618,1834,1784,752,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,cif_all,4,100,3606,1836,1770,748,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rf,0,100,15743,1429,14314,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rf,1,100,15756,1428,14328,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rf,2,100,15694,1378,14316,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rf,3,100,15709,1434,14275,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,rf,4,100,15705,1428,14277,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,et,0,100,24900,1960,22940,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,et,1,100,24900,1978,22922,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,et,2,100,24900,1998,22902,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,et,3,100,24900,2006,22894,999,953,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,17718,et,4,100,24900,2009,22891,999,953,100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif,0,100,93,35,58,46,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif,1,100,92,35,57,46,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif,2,100,92,35,57,46,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif,3,100,93,36,57,46,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif,4,100,98,36,62,49,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif_all,0,100,2738,1605,1133,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif_all,1,100,2734,1604,1130,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif_all,2,100,2737,1602,1135,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif_all,3,100,2741,1599,1142,98,"99,98",100
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,26818,cif_all,4,100,2729,1600,1129,98,"99,98",100
