study,task,n,k,threshold_test,stopping,repeats,censored,timeout_seconds,seconds_per_fit,seconds_min,seconds_max,depth
synthetic_scaling,classification,16000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.911580688000072,0.9095285009999544,0.9145106810000244,0.0
synthetic_scaling,classification,16000,64,maxt,adaptive,3,False,1200.0,0.5944182650000585,0.5692402549999542,0.6043097409999518,9.0
synthetic_scaling,classification,16000,64,maxt,exhaustive,3,False,1200.0,2.100193555000033,2.0992850519999138,2.1026206980000097,8.0
synthetic_scaling,classification,16000,256,bonferroni,adaptive,3,False,1200.0,7.511504338000009,7.511090843000034,7.686070050000012,7.0
synthetic_scaling,classification,16000,256,bonferroni,exhaustive,3,False,1200.0,53.01575478199993,52.66692362599997,53.37681532299996,7.0
synthetic_scaling,classification,16000,256,bonferroni_fixed,adaptive,3,False,1200.0,6.437386399999923,6.404167506000022,6.514842004999991,7.0
synthetic_scaling,classification,16000,256,bonferroni_fixed,exhaustive,3,False,1200.0,3.470189403000063,3.4651275409999016,3.493877944000019,0.0
synthetic_scaling,classification,16000,256,maxt,adaptive,3,False,1200.0,1.2118558870001834,1.2021806559998822,1.2224675319998823,8.666666666666666
synthetic_scaling,classification,16000,256,maxt,exhaustive,3,False,1200.0,6.519758409000133,6.443122710999887,6.539783710000165,9.0
synthetic_scaling,regression,1000,16,bonferroni,adaptive,3,False,1200.0,0.0588073569999778,0.0576251349998528,0.0597521899999264,6.0
synthetic_scaling,regression,1000,16,bonferroni,exhaustive,3,False,1200.0,0.0722094430000197,0.07052646000011,0.0725084119999337,6.0
synthetic_scaling,regression,1000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.0532496519999767,0.0530057649998525,0.054852652999898,6.0
synthetic_scaling,regression,1000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.0581171779999749,0.0571131520000562,0.059995057000151,6.0
synthetic_scaling,regression,1000,16,maxt,adaptive,3,False,1200.0,0.0516638080000575,0.0512700070000846,0.0525513899999623,7.333333333333333
synthetic_scaling,regression,1000,16,maxt,exhaustive,3,False,1200.0,0.0804012210001019,0.0798832580001089,0.0818122069999844,6.0
synthetic_scaling,regression,1000,64,bonferroni,adaptive,3,False,1200.0,0.099800223000102,0.0986174020001726,0.1000779189998866,6.0
synthetic_scaling,regression,1000,64,bonferroni,exhaustive,3,False,1200.0,0.2234217509999325,0.22181009000019,0.2248006680001708,6.0
synthetic_scaling,regression,1000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.086302508000017,0.0848428540000441,0.0863058469999487,7.0
synthetic_scaling,regression,1000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.0573036260000208,0.0568618549998518,0.0577444079999622,0.0
synthetic_scaling,regression,1000,64,maxt,adaptive,3,False,1200.0,0.0758577579999837,0.0730870160000449,0.0760064720000173,7.333333333333333
synthetic_scaling,regression,1000,64,maxt,exhaustive,3,False,1200.0,0.1530623339999692,0.1518539430001055,0.1538021589999516,7.0
synthetic_scaling,regression,1000,256,bonferroni,adaptive,3,False,1200.0,0.2533545439998761,0.2480233480000606,0.2584688279998772,6.0
synthetic_scaling,regression,1000,256,bonferroni,exhaustive,3,False,1200.0,1.254901301000018,1.2485900259998743,1.442217932999938,6.0
synthetic_scaling,regression,1000,256,bonferroni_fixed,adaptive,3,False,1200.0,0.1927962610000122,0.1925432440000349,0.1935033470001599,6.0
synthetic_scaling,regression,1000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.2284121559998766,0.2180571790001977,0.2350490329999957,0.0
synthetic_scaling,regression,1000,256,maxt,adaptive,3,False,1200.0,0.108168692999925,0.1054682830001638,0.1219087399999807,7.0
synthetic_scaling,regression,1000,256,maxt,exhaustive,3,False,1200.0,0.3744951000001038,0.3371418589999848,0.3863251579998632,7.0
synthetic_scaling,regression,4000,16,bonferroni,adaptive,3,False,1200.0,0.1841903999998067,0.1806182359998729,0.186707436000006,9.0
synthetic_scaling,regression,4000,16,bonferroni,exhaustive,3,False,1200.0,0.2592785129997992,0.2496363119998932,0.2597048530001302,9.0
synthetic_scaling,regression,4000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.1690548859999125,0.1630502699999851,0.1727843940000184,9.0
synthetic_scaling,regression,4000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.1998375260000102,0.1956274950000534,0.2016999429999941,9.0
synthetic_scaling,regression,4000,16,maxt,adaptive,3,False,1200.0,0.1485251340000104,0.1484335110001211,0.1530675520000386,8.333333333333334
synthetic_scaling,regression,4000,16,maxt,exhaustive,3,False,1200.0,0.2681274280000707,0.2680206339998676,0.2697079780000422,8.0
synthetic_scaling,regression,4000,64,bonferroni,adaptive,3,False,1200.0,0.3653893309999603,0.3621359469998424,0.4156989210000574,9.0
synthetic_scaling,regression,4000,64,bonferroni,exhaustive,3,False,1200.0,0.9438589920000596,0.9347805229999722,0.9500144220000948,9.0
synthetic_scaling,regression,4000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.2861068080001132,0.2791647369999737,0.29070456799991,7.0
synthetic_scaling,regression,4000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.2107039049999457,0.2040602719998787,0.212052500000027,0.0
synthetic_scaling,regression,4000,64,maxt,adaptive,3,False,1200.0,0.2327024880000863,0.2256664849999197,0.2378823909998573,9.0
synthetic_scaling,regression,4000,64,maxt,exhaustive,3,False,1200.0,0.5469690390000324,0.5379472279998936,0.5666857129999698,8.0
synthetic_scaling,regression,4000,256,bonferroni,adaptive,3,False,1200.0,1.2857476789999964,1.2849796959999369,1.2883305119999022,8.0
synthetic_scaling,regression,4000,256,bonferroni,exhaustive,3,False,1200.0,8.181522185999938,8.132188049999968,8.283622811999976,8.0
synthetic_scaling,regression,4000,256,bonferroni_fixed,adaptive,3,False,1200.0,1.2423213900001429,1.23318723400007,1.2476018170000316,8.0
synthetic_scaling,regression,4000,256,bonferroni_fixed,exhaustive,3,False,1200.0,0.8123286400000325,0.8097246019999602,0.8199684390001494,0.0
synthetic_scaling,regression,4000,256,maxt,adaptive,3,False,1200.0,0.4143845039998268,0.3846650010000303,0.4363685270000133,9.0
synthetic_scaling,regression,4000,256,maxt,exhaustive,3,False,1200.0,1.388489257999936,1.3872373029998926,1.4025464629999078,8.0
synthetic_scaling,regression,16000,16,bonferroni,adaptive,3,False,1200.0,0.5893177670000114,0.5812998099997913,0.5916653399999632,10.0
synthetic_scaling,regression,16000,16,bonferroni,exhaustive,3,False,1200.0,0.8160634589999063,0.811931020999964,0.8163747870000861,10.0
synthetic_scaling,regression,16000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.5234094120000918,0.5167073799998434,0.5234794039999997,10.0
synthetic_scaling,regression,16000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.6473798629999692,0.6403344699999707,0.6483851590000995,10.0
synthetic_scaling,regression,16000,16,maxt,adaptive,3,False,1200.0,0.4992022830001588,0.4840631309998571,0.5116764459999104,11.0
synthetic_scaling,regression,16000,16,maxt,exhaustive,3,False,1200.0,1.0252491720000307,1.0102084089999153,1.0420863720000852,10.0
synthetic_scaling,regression,16000,64,bonferroni,adaptive,3,False,1200.0,1.0813299330000063,1.058876672999986,1.0913291630001822,9.0
synthetic_scaling,regression,16000,64,bonferroni,exhaustive,3,False,1200.0,2.6894173299999693,2.6888674829999673,2.7688633719999416,9.0
synthetic_scaling,regression,16000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.7452216859999226,0.7443300650002129,0.7454384740001387,9.0
synthetic_scaling,regression,16000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.8698653240001022,0.8657831600000918,0.8761233870000069,0.0
synthetic_scaling,regression,16000,64,maxt,adaptive,3,False,1200.0,0.6969115219999367,0.6872640640001464,0.6983529689998704,10.333333333333334
synthetic_scaling,regression,16000,64,maxt,exhaustive,3,False,1200.0,2.168536786000004,2.163761343000033,2.1837714400001005,10.0
synthetic_scaling,regression,16000,256,bonferroni,adaptive,3,False,1200.0,7.509074089000023,7.49078435499996,7.542569860999947,9.0
synthetic_scaling,regression,16000,256,bonferroni,exhaustive,3,False,1200.0,54.47738618099993,53.935443506999945,55.41850230399996,9.0
synthetic_scaling,regression,16000,256,bonferroni_fixed,adaptive,3,False,1200.0,5.278780732000087,5.262228496000034,5.390875956999935,9.0
synthetic_scaling,regression,16000,256,bonferroni_fixed,exhaustive,3,False,1200.0,3.368284655000025,3.352933380999957,3.3979910079999627,0.0
synthetic_scaling,regression,16000,256,maxt,adaptive,3,False,1200.0,1.387935784000092,1.37506809599995,1.3966132059999836,10.0
synthetic_scaling,regression,16000,256,maxt,exhaustive,3,False,1200.0,6.29691452499992,6.267392130999951,6.469461856999942,9.0
synthetic_scaling,classification,1000,16,bonferroni,adaptive,3,False,1200.0,0.0356592589999991,0.0352941339999972,0.0366450670000091,4.0
synthetic_scaling,classification,1000,16,bonferroni,exhaustive,3,False,1200.0,0.0560720210000056,0.0549525760000051,0.0567753320000008,4.0
synthetic_scaling,classification,1000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.0327602870000021,0.0327157739999961,0.0341934330000128,4.0
synthetic_scaling,classification,1000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.0390037049999989,0.0386319019999916,0.0411957130000075,4.0
synthetic_scaling,classification,1000,16,maxt,adaptive,3,False,1200.0,0.0357070389999876,0.035045537000002,0.0363477479999971,5.0
synthetic_scaling,classification,1000,16,maxt,exhaustive,3,False,1200.0,0.058270455000013,0.0582239750000042,0.0583577189999857,5.0
synthetic_scaling,classification,1000,64,bonferroni,adaptive,3,False,1200.0,0.0711026539999863,0.0708923079999976,0.0717597560000058,5.0
synthetic_scaling,classification,1000,64,bonferroni,exhaustive,3,False,1200.0,0.1989403460000005,0.1964938970000105,0.2013856339999904,5.0
synthetic_scaling,classification,1000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.0517801679999934,0.0517693180000264,0.0537003989999789,5.0
synthetic_scaling,classification,1000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.0622600920000024,0.061811318999986,0.0623630059999982,0.0
synthetic_scaling,classification,1000,64,maxt,adaptive,3,False,1200.0,0.0416430359999822,0.038346190999988,0.044109173999999,5.0
synthetic_scaling,classification,1000,64,maxt,exhaustive,3,False,1200.0,0.1111709099999984,0.1108074379999948,0.1126306959999965,5.0
synthetic_scaling,classification,1000,256,bonferroni,adaptive,3,False,1200.0,0.64030262899999,0.6378854140000101,0.6439197560000025,4.0
