method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.23449651923071219,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793582,,,94.439 [insufficient data]
cat,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793582,,,94.439 [insufficient data]
cif,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
cit,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793582,,,94.439 [insufficient data]
cpi,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
et,0.23449651923071219,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
lgbm,0.23449651923071219,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
pi,0.23449651923071213,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
ptest_dc,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
ptest_pc,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
ptest_rdc,0.23449651923071213,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
r_cforest,-0.858678310876535,,,-0.859 [insufficient data],33151.17933034204,,,33151.179 [insufficient data],140.139888977,,,140.140 [insufficient data]
r_ctree,0.23449651923071219,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793583,,,94.439 [insufficient data]
rf,0.23449651923071216,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793582,,,94.439 [insufficient data]
rfe,0.23449651923071219,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793582,,,94.439 [insufficient data]
xgb,0.23449651923071219,,,0.234 [insufficient data],13700.325856407004,,,13700.326 [insufficient data],94.43862110793582,,,94.439 [insufficient data]
