task,downstream_model,dataset,method_base,n_k,supported_k,start_k,end_k,start_rank,end_rank,delta_rank,mean_rank,best_rank,worst_rank,start_score,end_score,delta_score,mean_score
classification,knn,ALLAML,boruta,5,"5,10,25,50,100",5,100,7.0,2.5,-4.5,3.4,1.5,7.0,0.8882222222222222,0.9491111111111111,0.06088888888888888,0.9312444444444445
classification,knn,ALLAML,cat,5,"5,10,25,50,100",5,100,4.0,7.0,3.0,6.6,4.0,8.0,0.9179999999999999,0.8953333333333333,-0.022666666666666613,0.9109333333333332
classification,knn,ALLAML,cif,5,"5,10,25,50,100",5,100,10.0,2.5,-7.5,7.3,2.5,10.0,0.8642222222222222,0.9491111111111111,0.0848888888888889,0.9061333333333333
classification,knn,ALLAML,cit,5,"5,10,25,50,100",5,100,11.0,11.0,0.0,11.0,11.0,11.0,0.8504444444444446,0.762,-0.08844444444444455,0.7590222222222223
classification,knn,ALLAML,cpi,5,"5,10,25,50,100",5,100,14.0,15.0,1.0,14.2,13.0,15.0,0.532,0.6048888888888889,0.07288888888888889,0.6034222222222222
classification,knn,ALLAML,et,5,"5,10,25,50,100",5,100,9.0,1.0,-8.0,4.6,1.0,9.0,0.8751111111111111,0.9675555555555556,0.09244444444444455,0.9293777777777776
classification,knn,ALLAML,lgbm,5,"5,10,25,50,100",5,100,3.0,8.0,5.0,5.0,3.0,8.0,0.9242222222222222,0.8640000000000001,-0.060222222222222066,0.9101777777777779
classification,knn,ALLAML,pi,5,"5,10,25,50,100",5,100,12.0,14.0,2.0,13.0,12.0,14.0,0.6033333333333334,0.6555555555555556,0.05222222222222217,0.6491555555555555
classification,knn,ALLAML,ptest_mc,5,"5,10,25,50,100",5,100,8.0,6.0,-2.0,7.2,6.0,9.0,0.8802222222222222,0.9251111111111111,0.04488888888888887,0.9076888888888888
classification,knn,ALLAML,ptest_rdc,5,"5,10,25,50,100",5,100,1.0,4.0,3.0,4.0,1.0,6.0,0.9466666666666668,0.9471111111111111,0.0004444444444443585,0.9363555555555555
classification,knn,ALLAML,r_cforest,5,"5,10,25,50,100",5,100,13.0,12.0,-1.0,12.8,12.0,14.0,0.5986666666666667,0.7088888888888889,0.11022222222222222,0.6603111111111112
classification,knn,ALLAML,r_ctree,5,"5,10,25,50,100",5,100,15.0,13.0,-2.0,14.0,12.0,15.0,0.522,0.6902222222222223,0.16822222222222227,0.6137777777777778
classification,knn,ALLAML,rf,5,"5,10,25,50,100",5,100,6.0,5.0,-1.0,2.9,1.0,6.0,0.894,0.945111111111111,0.051111111111110996,0.9371555555555556
classification,knn,ALLAML,rfe,5,"5,10,25,50,100",5,100,5.0,9.0,4.0,6.5,4.0,9.5,0.9066666666666667,0.8473333333333334,-0.05933333333333335,0.8978222222222223
classification,knn,ALLAML,xgb,5,"5,10,25,50,100",5,100,2.0,10.0,8.0,7.5,2.0,10.0,0.9404444444444444,0.8117777777777778,-0.1286666666666666,0.8902666666666667
classification,knn,CLL_SUB_111,boruta,5,"5,10,25,50,100",5,100,3.0,1.0,-2.0,1.6,1.0,3.0,0.7330505050505051,0.8415084175084175,0.10845791245791248,0.8030895622895624
classification,knn,CLL_SUB_111,cat,5,"5,10,25,50,100",5,100,9.0,4.0,-5.0,5.4,3.0,9.0,0.639057239057239,0.7618316498316499,0.12277441077441087,0.732210101010101
classification,knn,CLL_SUB_111,cif,5,"5,10,25,50,100",5,100,5.0,8.0,3.0,6.4,5.0,8.0,0.680942760942761,0.7302356902356902,0.04929292929292928,0.7087838383838385
classification,knn,CLL_SUB_111,cit,5,"5,10,25,50,100",5,100,4.0,14.0,10.0,9.8,4.0,14.0,0.6905185185185185,0.5909629629629629,-0.09955555555555562,0.6431380471380472
classification,knn,CLL_SUB_111,cpi,5,"5,10,25,50,100",5,100,14.0,12.0,-2.0,14.2,12.0,15.0,0.46008080808080803,0.6355286195286195,0.17544781144781146,0.49370235690235686
classification,knn,CLL_SUB_111,et,5,"5,10,25,50,100",5,100,8.0,7.0,-1.0,6.6,5.0,8.0,0.6597171717171717,0.7423030303030304,0.08258585858585865,0.7129454545454547
classification,knn,CLL_SUB_111,lgbm,5,"5,10,25,50,100",5,100,2.0,2.0,0.0,1.8,1.0,2.0,0.7521885521885523,0.7793804713804714,0.0271919191919191,0.7782572390572391
classification,knn,CLL_SUB_111,pi,5,"5,10,25,50,100",5,100,13.0,11.0,-2.0,12.4,11.0,13.0,0.48626262626262623,0.6373198653198653,0.15105723905723906,0.5476498316498317
classification,knn,CLL_SUB_111,ptest_mc,5,"5,10,25,50,100",5,100,7.0,9.0,2.0,8.6,7.0,9.0,0.6682424242424243,0.6998787878787879,0.031636363636363574,0.6849292929292929
classification,knn,CLL_SUB_111,ptest_rdc,5,"5,10,25,50,100",5,100,10.0,5.0,-5.0,5.4,4.0,10.0,0.6364579124579124,0.7492121212121212,0.11275420875420883,0.721023569023569
classification,knn,CLL_SUB_111,r_cforest,5,"5,10,25,50,100",5,100,15.0,13.0,-2.0,14.0,13.0,15.0,0.4510841750841751,0.5944511784511785,0.14336700336700336,0.511329292929293
classification,knn,CLL_SUB_111,r_ctree,5,"5,10,25,50,100",5,100,12.0,15.0,3.0,12.6,11.0,15.0,0.555973063973064,0.5761212121212121,0.020148148148148137,0.5724282828282828
classification,knn,CLL_SUB_111,rf,5,"5,10,25,50,100",5,100,6.0,3.0,-3.0,5.8,3.0,7.0,0.6716767676767676,0.774074074074074,0.10239730639730638,0.7169265993265993
classification,knn,CLL_SUB_111,rfe,5,"5,10,25,50,100",5,100,11.0,10.0,-1.0,10.8,10.0,12.0,0.5603097643097643,0.6807946127946128,0.12048484848484853,0.6170612794612794
classification,knn,CLL_SUB_111,xgb,5,"5,10,25,50,100",5,100,1.0,6.0,5.0,4.6,1.0,8.0,0.7961750841750842,0.7437710437710437,-0.05240404040404045,0.7502464646464647
classification,knn,ORL,boruta,5,"5,10,25,50,100",5,100,14.0,13.0,-1.0,13.6,13.0,14.0,0.3505,0.7745000000000001,0.4240000000000001,0.5937
classification,knn,ORL,cat,5,"5,10,25,50,100",5,100,8.0,7.0,-1.0,7.2,6.0,8.0,0.491,0.887,0.396,0.7428
classification,knn,ORL,cif,5,"5,10,25,50,100",5,100,2.5,1.0,-1.5,3.1,1.0,5.0,0.5655,0.9135,0.348,0.7772
classification,knn,ORL,cit,5,"5,10,25,50,100",5,100,9.0,10.0,1.0,8.0,4.0,10.0,0.4765,0.846,0.3695,0.7335
classification,knn,ORL,cpi,5,"5,10,25,50,100",5,100,15.0,15.0,0.0,15.0,15.0,15.0,0.239,0.6054999999999999,0.36649999999999994,0.42449999999999993
classification,knn,ORL,et,5,"5,10,25,50,100",5,100,7.0,5.0,-2.0,7.2,5.0,9.0,0.5125,0.9,0.38750000000000007,0.7439
classification,knn,ORL,lgbm,5,"5,10,25,50,100",5,100,4.0,4.0,0.0,3.4,2.0,4.0,0.56,0.9005,0.3404999999999999,0.7849999999999999
classification,knn,ORL,pi,5,"5,10,25,50,100",5,100,11.0,11.0,0.0,10.9,10.5,11.0,0.45,0.8395,0.3895,0.6876
classification,knn,ORL,ptest_mc,5,"5,10,25,50,100",5,100,12.0,8.0,-4.0,11.2,8.0,14.0,0.3885,0.8675,0.47900000000000004,0.6488
classification,knn,ORL,ptest_rdc,5,"5,10,25,50,100",5,100,13.0,12.0,-1.0,12.5,12.0,13.0,0.3635,0.777,0.41350000000000003,0.6102000000000001
classification,knn,ORL,r_cforest,5,"5,10,25,50,100",5,100,10.0,9.0,-1.0,9.7,9.0,10.5,0.45299999999999996,0.8495,0.3965000000000001,0.6942
classification,knn,ORL,r_ctree,5,"5,10,25,50,100",5,100,6.0,14.0,8.0,8.9,6.0,14.0,0.52,0.698,0.17799999999999994,0.6883
classification,knn,ORL,rf,5,"5,10,25,50,100",5,100,5.0,6.0,1.0,5.6,5.0,7.0,0.5375,0.8955,0.358,0.7565
classification,knn,ORL,rfe,5,"5,10,25,50,100",5,100,1.0,3.0,2.0,1.6,1.0,3.0,0.597,0.909,0.31200000000000006,0.7996000000000001
classification,knn,ORL,xgb,5,"5,10,25,50,100",5,100,2.5,2.0,-0.5,2.1,1.0,3.0,0.5655,0.9095,0.344,0.7908999999999999
classification,knn,TOX_171,boruta,5,"5,10,25,50,100",5,100,7.0,3.0,-4.0,4.0,1.0,7.0,0.5848809523809524,0.824563492063492,0.2396825396825396,0.728202380952381
classification,knn,TOX_171,cat,5,"5,10,25,50,100",5,100,3.0,8.0,5.0,5.0,3.0,8.0,0.6276190476190476,0.8027777777777777,0.17515873015873007,0.7235
classification,knn,TOX_171,cif,5,"5,10,25,50,100",5,100,9.0,7.0,-2.0,7.2,6.0,9.0,0.5681547619047619,0.8033730158730158,0.2352182539682539,0.7011706349206348
classification,knn,TOX_171,cit,5,"5,10,25,50,100",5,100,6.0,11.0,5.0,9.6,6.0,11.0,0.5940277777777778,0.7593253968253968,0.16529761904761897,0.6734841269841271
classification,knn,TOX_171,cpi,5,"5,10,25,50,100",5,100,15.0,15.0,0.0,14.6,14.0,15.0,0.3584325396825397,0.7132341269841269,0.35480158730158723,0.5327976190476191
classification,knn,TOX_171,et,5,"5,10,25,50,100",5,100,11.0,6.0,-5.0,8.0,6.0,11.0,0.5472222222222222,0.8119642857142857,0.26474206349206353,0.6913809523809523
classification,knn,TOX_171,lgbm,5,"5,10,25,50,100",5,100,4.0,1.0,-3.0,2.2,1.0,4.0,0.6231150793650794,0.8417460317460318,0.21863095238095243,0.7480753968253968
classification,knn,TOX_171,pi,5,"5,10,25,50,100",5,100,12.0,10.0,-2.0,11.4,10.0,12.0,0.44204365079365077,0.7608333333333333,0.3187896825396825,0.6273055555555554
classification,knn,TOX_171,ptest_mc,5,"5,10,25,50,100",5,100,10.0,12.0,2.0,11.0,10.0,12.0,0.5636507936507936,0.7585119047619047,0.19486111111111104,0.6649404761904762
classification,knn,TOX_171,ptest_rdc,5,"5,10,25,50,100",5,100,8.0,9.0,1.0,8.4,8.0,9.0,0.5728571428571428,0.7921031746031746,0.21924603174603174,0.6901785714285714
classification,knn,TOX_171,r_cforest,5,"5,10,25,50,100",5,100,14.0,13.0,-1.0,13.6,13.0,15.0,0.4030952380952381,0.7405158730158731,0.33742063492063495,0.5692936507936508
classification,knn,TOX_171,r_ctree,5,"5,10,25,50,100",5,100,13.0,14.0,1.0,13.8,13.0,15.0,0.41773809523809524,0.7401388888888889,0.32240079365079366,0.564765873015873
classification,knn,TOX_171,rf,5,"5,10,25,50,100",5,100,5.0,4.0,-1.0,6.0,4.0,9.0,0.6189087301587302,0.8130753968253969,0.1941666666666667,0.7114761904761906
classification,knn,TOX_171,rfe,5,"5,10,25,50,100",5,100,2.0,2.0,0.0,2.2,2.0,3.0,0.63125,0.8278968253968253,0.19664682539682532,0.7436507936507937
classification,knn,TOX_171,xgb,5,"5,10,25,50,100",5,100,1.0,5.0,4.0,3.0,1.0,5.0,0.6366269841269842,0.8125,0.17587301587301585,0.740436507936508
classification,knn,Yale,boruta,5,"5,10,25,50,100",5,100,13.0,3.0,-10.0,9.6,3.0,13.0,0.34577777777777774,0.6351111111111111,0.28933333333333333,0.5020444444444444
classification,knn,Yale,cat,5,"5,10,25,50,100",5,100,5.0,4.5,-0.5,6.3,4.5,9.0,0.4408888888888889,0.6342222222222221,0.19333333333333325,0.5495111111111111
classification,knn,Yale,cif,5,"5,10,25,50,100",5,100,2.0,2.0,0.0,2.4,2.0,3.0,0.5013333333333333,0.6417777777777778,0.14044444444444448,0.5908444444444443
classification,knn,Yale,cit,5,"5,10,25,50,100",5,100,7.0,9.0,2.0,6.6,4.0,9.0,0.4244444444444444,0.6035555555555555,0.1791111111111111,0.5504888888888889
classification,knn,Yale,cpi,5,"5,10,25,50,100",5,100,15.0,15.0,0.0,15.0,15.0,15.0,0.2373333333333333,0.396,0.1586666666666667,0.30346666666666666
classification,knn,Yale,et,5,"5,10,25,50,100",5,100,3.0,7.0,4.0,4.4,2.0,7.0,0.48977777777777776,0.6293333333333333,0.13955555555555554,0.5768
classification,knn,Yale,lgbm,5,"5,10,25,50,100",5,100,9.0,8.0,-1.0,7.9,5.5,9.0,0.4102222222222222,0.6191111111111111,0.20888888888888885,0.544711111111111
classification,knn,Yale,pi,5,"5,10,25,50,100",5,100,11.0,12.0,1.0,12.2,11.0,13.0,0.3671111111111111,0.5706666666666667,0.20355555555555555,0.47813333333333324
classification,knn,Yale,ptest_mc,5,"5,10,25,50,100",5,100,6.0,10.0,4.0,7.4,6.0,10.0,0.4271111111111111,0.6008888888888888,0.1737777777777777,0.5440888888888888
classification,knn,Yale,ptest_rdc,5,"5,10,25,50,100",5,100,14.0,13.0,-1.0,13.8,13.0,14.0,0.32266666666666666,0.5497777777777777,0.22711111111111104,0.4266666666666666
classification,knn,Yale,r_cforest,5,"5,10,25,50,100",5,100,12.0,11.0,-1.0,11.2,10.0,12.0,0.36266666666666664,0.5857777777777777,0.2231111111111111,0.48906666666666665
classification,knn,Yale,r_ctree,5,"5,10,25,50,100",5,100,10.0,14.0,4.0,11.8,10.0,14.0,0.38666666666666666,0.5088888888888888,0.12222222222222218,0.47573333333333323
classification,knn,Yale,rf,5,"5,10,25,50,100",5,100,4.0,6.0,2.0,4.1,2.0,6.0,0.47955555555555557,0.6337777777777778,0.1542222222222222,0.5798222222222222
classification,knn,Yale,rfe,5,"5,10,25,50,100",5,100,1.0,1.0,0.0,1.0,1.0,1.0,0.5408888888888889,0.6551111111111111,0.11422222222222222,0.6153777777777778
classification,knn,Yale,xgb,5,"5,10,25,50,100",5,100,8.0,4.5,-3.5,6.3,4.0,8.0,0.4177777777777778,0.6342222222222221,0.21644444444444433,0.5543111111111111
classification,knn,arcene,boruta,5,"5,10,25,50,100",5,100,1.0,1.0,0.0,1.0,1.0,1.0,0.7328535353535354,0.7719696969696969,0.03911616161616149,0.7581313131313132
classification,knn,arcene,cat,5,"5,10,25,50,100",5,100,5.0,4.0,-1.0,3.2,2.0,5.0,0.7031818181818181,0.7474242424242425,0.044242424242424416,0.733550505050505
classification,knn,arcene,cif,5,"5,10,25,50,100",5,100,7.0,5.0,-2.0,5.4,4.0,7.0,0.6927272727272726,0.7420707070707071,0.04934343434343447,0.7205909090909091
classification,knn,arcene,cit,5,"5,10,25,50,100",5,100,9.0,13.0,4.0,10.4,9.0,13.0,0.6597979797979798,0.6552525252525253,-0.004545454545454519,0.6672373737373738
classification,knn,arcene,cpi,5,"5,10,25,50,100",5,100,10.0,14.0,4.0,12.4,10.0,14.0,0.6392424242424242,0.6478030303030303,0.008560606060606157,0.6492878787878789
classification,knn,arcene,et,5,"5,10,25,50,100",5,100,2.0,8.0,6.0,5.0,2.0,8.0,0.7216161616161617,0.718030303030303,-0.003585858585858692,0.7238585858585859
classification,knn,arcene,lgbm,5,"5,10,25,50,100",5,100,3.0,6.0,3.0,5.0,3.0,7.0,0.7208333333333333,0.7298737373737373,0.00904040404040396,0.7232727272727272
classification,knn,arcene,pi,5,"5,10,25,50,100",5,100,12.0,11.0,-1.0,12.4,11.0,14.0,0.6357323232323232,0.6649242424242423,0.029191919191919102,0.6548080808080808
classification,knn,arcene,ptest_mc,5,"5,10,25,50,100",5,100,13.0,2.0,-11.0,7.4,2.0,13.0,0.632020202020202,0.767550505050505,0.135530303030303,0.7051868686868688
classification,knn,arcene,ptest_rdc,5,"5,10,25,50,100",5,100,15.0,7.0,-8.0,12.4,7.0,15.0,0.5231060606060606,0.7209848484848485,0.19787878787878788,0.6364949494949494
classification,knn,arcene,r_cforest,5,"5,10,25,50,100",5,100,14.0,12.0,-2.0,14.0,12.0,15.0,0.5636616161616161,0.6582323232323232,0.09457070707070703,0.6236818181818181
classification,knn,arcene,r_ctree,5,"5,10,25,50,100",5,100,11.0,15.0,4.0,11.6,10.0,15.0,0.636969696969697,0.6424242424242423,0.005454545454545379,0.6597929292929294
classification,knn,arcene,rf,5,"5,10,25,50,100",5,100,6.0,3.0,-3.0,4.0,2.0,6.0,0.6928282828282828,0.7478535353535354,0.05502525252525259,0.7266616161616162
classification,knn,arcene,rfe,5,"5,10,25,50,100",5,100,8.0,10.0,2.0,8.4,8.0,10.0,0.6782323232323232,0.6712878787878788,-0.00694444444444442,0.6950606060606062
classification,knn,arcene,xgb,5,"5,10,25,50,100",5,100,4.0,9.0,5.0,7.4,4.0,11.0,0.7151262626262627,0.6969949494949494,-0.01813131313131322,0.704469696969697
classification,knn,dexter,boruta,5,"5,10,25,50,100",5,100,7.0,3.0,-4.0,3.7,1.5,7.0,0.7413333333333334,0.8166666666666668,0.07533333333333336,0.8173333333333334
classification,knn,dexter,cat,5,"5,10,25,50,100",5,100,3.0,6.0,3.0,3.8,1.0,6.0,0.8113333333333334,0.7859999999999999,-0.02533333333333343,0.8257333333333333
classification,knn,dexter,cif,5,"5,10,25,50,100",5,100,8.0,2.0,-6.0,5.8,2.0,8.0,0.7166666666666667,0.8173333333333334,0.10066666666666668,0.7892
classification,knn,dexter,cit,5,"5,10,25,50,100",5,100,4.0,10.0,6.0,9.0,4.0,11.0,0.752,0.7226666666666667,-0.029333333333333322,0.7402666666666666
classification,knn,dexter,cpi,5,"5,10,25,50,100",5,100,13.0,13.0,0.0,12.4,12.0,13.0,0.642,0.6953333333333334,0.053333333333333344,0.6934666666666667
classification,knn,dexter,et,5,"5,10,25,50,100",5,100,9.0,5.0,-4.0,5.8,3.0,9.0,0.6920000000000001,0.7933333333333333,0.10133333333333328,0.7848
classification,knn,dexter,lgbm,5,"5,10,25,50,100",5,100,1.5,8.0,6.5,5.7,1.5,8.0,0.8153333333333334,0.7526666666666667,-0.06266666666666665,0.7976
classification,knn,dexter,pi,5,"5,10,25,50,100",5,100,11.0,11.0,0.0,10.6,9.0,11.0,0.6733333333333333,0.7206666666666667,0.04733333333333334,0.7198666666666667
classification,knn,dexter,ptest_mc,5,"5,10,25,50,100",5,100,10.0,1.0,-9.0,4.1,1.0,10.0,0.6806666666666666,0.838,0.15733333333333333,0.7946666666666667
classification,knn,dexter,ptest_rdc,5,"5,10,25,50,100",5,100,6.0,9.0,3.0,8.6,6.0,10.0,0.7473333333333333,0.7446666666666667,-0.002666666666666595,0.752
classification,knn,dexter,rf,5,"5,10,25,50,100",5,100,5.0,4.0,-1.0,4.2,2.0,5.0,0.75,0.812,0.062000000000000055,0.8142666666666667
classification,knn,dexter,rfe,5,"5,10,25,50,100",5,100,12.0,12.0,0.0,12.6,12.0,13.0,0.6633333333333333,0.7166666666666667,0.053333333333333344,0.6936
classification,knn,dexter,xgb,5,"5,10,25,50,100",5,100,1.5,7.0,5.5,4.7,1.5,7.0,0.8153333333333334,0.7693333333333334,-0.04599999999999993,0.8098666666666666
classification,knn,gamma,boruta,1,5,5,5,14.0,14.0,0.0,14.0,14.0,14.0,0.726315670923963,0.726315670923963,0.0,0.726315670923963
classification,knn,gamma,cat,1,5,5,5,4.0,4.0,0.0,4.0,4.0,4.0,0.807547354585202,0.807547354585202,0.0,0.807547354585202
classification,knn,gamma,cif,1,5,5,5,4.0,4.0,0.0,4.0,4.0,4.0,0.807547354585202,0.807547354585202,0.0,0.807547354585202
classification,knn,gamma,cit,1,5,5,5,12.0,12.0,0.0,12.0,12.0,12.0,0.7953534655211252,0.7953534655211252,0.0,0.7953534655211252
classification,knn,gamma,cpi,1,5,5,5,9.0,9.0,0.0,9.0,9.0,9.0,0.8050553951471829,0.8050553951471829,0.0,0.8050553951471829
classification,knn,gamma,et,1,5,5,5,8.0,8.0,0.0,8.0,8.0,8.0,0.8054258696834243,0.8054258696834243,0.0,0.8054258696834243
classification,knn,gamma,lgbm,1,5,5,5,4.0,4.0,0.0,4.0,4.0,4.0,0.807547354585202,0.807547354585202,0.0,0.807547354585202
classification,knn,gamma,pi,1,5,5,5,1.0,1.0,0.0,1.0,1.0,1.0,0.810201810764515,0.810201810764515,0.0,0.810201810764515
classification,knn,gamma,ptest_mc,1,5,5,5,10.0,10.0,0.0,10.0,10.0,10.0,0.8018035631592023,0.8018035631592023,0.0,0.8018035631592023
classification,knn,gamma,ptest_rdc,1,5,5,5,13.0,13.0,0.0,13.0,13.0,13.0,0.7773522845252344,0.7773522845252344,0.0,0.7773522845252344
classification,knn,gamma,r_cforest,1,5,5,5,11.0,11.0,0.0,11.0,11.0,11.0,0.7979292556485837,0.7979292556485837,0.0,0.7979292556485837
classification,knn,gamma,r_ctree,1,5,5,5,15.0,15.0,0.0,15.0,15.0,15.0,0.6785232486434731,0.6785232486434731,0.0,0.6785232486434731
classification,knn,gamma,rf,1,5,5,5,4.0,4.0,0.0,4.0,4.0,4.0,0.807547354585202,0.807547354585202,0.0,0.807547354585202
classification,knn,gamma,rfe,1,5,5,5,7.0,7.0,0.0,7.0,7.0,7.0,0.8063490162436824,0.8063490162436824,0.0,0.8063490162436824
classification,knn,gamma,xgb,1,5,5,5,4.0,4.0,0.0,4.0,4.0,4.0,0.807547354585202,0.807547354585202,0.0,0.807547354585202
classification,knn,gisette,boruta,5,"5,10,25,50,100",5,100,12.0,9.0,-3.0,11.0,9.0,12.0,0.6680666666666667,0.9495333333333333,0.28146666666666664,0.8404466666666666
classification,knn,gisette,cat,5,"5,10,25,50,100",5,100,4.0,1.0,-3.0,2.1,1.0,4.0,0.8762333333333333,0.9713666666666667,0.0951333333333334,0.93932
classification,knn,gisette,cif,5,"5,10,25,50,100",5,100,8.0,5.0,-3.0,6.6,5.0,8.0,0.8588666666666667,0.9599,0.10103333333333331,0.9188600000000001
classification,knn,gisette,cit,5,"5,10,25,50,100",5,100,3.0,12.0,9.0,9.4,3.0,12.0,0.888,0.8840666666666667,-0.003933333333333344,0.8886533333333334
classification,knn,gisette,cpi,5,"5,10,25,50,100",5,100,13.0,13.0,0.0,13.0,13.0,13.0,0.5940666666666666,0.8426333333333333,0.2485666666666667,0.7263266666666667
classification,knn,gisette,et,5,"5,10,25,50,100",5,100,5.0,6.0,1.0,5.6,5.0,6.0,0.8711333333333333,0.9597,0.08856666666666668,0.9238933333333333
classification,knn,gisette,lgbm,5,"5,10,25,50,100",5,100,1.0,2.0,1.0,1.8,1.0,3.0,0.9018666666666667,0.9703666666666666,0.0684999999999999,0.94424
classification,knn,gisette,pi,5,"5,10,25,50,100",5,100,11.0,11.0,0.0,10.2,8.0,11.0,0.7791666666666667,0.9436333333333333,0.16446666666666665,0.8854000000000001
classification,knn,gisette,ptest_mc,5,"5,10,25,50,100",5,100,10.0,10.0,0.0,9.0,5.0,11.0,0.8443666666666667,0.9484666666666667,0.10409999999999997,0.9083133333333334
classification,knn,gisette,ptest_rdc,5,"5,10,25,50,100",5,100,9.0,8.0,-1.0,8.8,8.0,10.0,0.8527,0.9507333333333334,0.09803333333333342,0.9097533333333334
classification,knn,gisette,r_cforest,5,"5,10,25,50,100",5,100,14.0,14.0,0.0,14.0,14.0,14.0,0.5322,0.7570333333333333,0.22483333333333333,0.6480666666666666
classification,knn,gisette,r_ctree,5,"5,10,25,50,100",5,100,15.0,15.0,0.0,15.0,15.0,15.0,0.5207083333333333,0.7484583333333333,0.22775,0.6261749999999999
classification,knn,gisette,rf,5,"5,10,25,50,100",5,100,6.0,7.0,1.0,6.6,6.0,7.0,0.8697333333333332,0.9595,0.08976666666666677,0.9212333333333333
classification,knn,gisette,rfe,5,"5,10,25,50,100",5,100,7.0,4.0,-3.0,4.6,4.0,7.0,0.8651333333333333,0.9624333333333334,0.09730000000000005,0.9272133333333334
classification,knn,gisette,xgb,5,"5,10,25,50,100",5,100,2.0,3.0,1.0,2.3,1.5,3.0,0.8988333333333334,0.9698666666666667,0.07103333333333328,0.9434000000000001
classification,knn,glass,boruta,2,"5,10",5,10,13.5,8.0,-5.5,10.75,8.0,13.5,0.7860912698412699,0.7743730158730159,-0.011718253968253989,0.7802321428571428
classification,knn,glass,cat,2,"5,10",5,10,6.0,8.0,2.0,7.0,6.0,8.0,0.8308174603174604,0.7743730158730159,-0.05644444444444452,0.8025952380952381
classification,knn,glass,cif,2,"5,10",5,10,4.0,8.0,4.0,6.0,4.0,8.0,0.846686507936508,0.7743730158730159,-0.07231349206349214,0.810529761904762
classification,knn,glass,cit,2,"5,10",5,10,11.0,8.0,-3.0,9.5,8.0,11.0,0.8083174603174603,0.7743730158730159,-0.033944444444444444,0.7913452380952382
classification,knn,glass,cpi,2,"5,10",5,10,15.0,8.0,-7.0,11.5,8.0,15.0,0.7693571428571429,0.7743730158730159,0.005015873015873029,0.7718650793650794
classification,knn,glass,et,2,"5,10",5,10,7.0,8.0,1.0,7.5,7.0,8.0,0.8257301587301588,0.7743730158730159,-0.05135714285714288,0.8000515873015873
classification,knn,glass,lgbm,2,"5,10",5,10,10.0,8.0,-2.0,9.0,8.0,10.0,0.8107301587301587,0.7743730158730159,-0.036357142857142866,0.7925515873015874
classification,knn,glass,pi,2,"5,10",5,10,2.0,8.0,6.0,5.0,2.0,8.0,0.8480119047619047,0.7743730158730159,-0.07363888888888881,0.8111924603174603
classification,knn,glass,ptest_mc,2,"5,10",5,10,3.0,8.0,5.0,5.5,3.0,8.0,0.8469722222222222,0.7743730158730159,-0.07259920634920636,0.810672619047619
classification,knn,glass,ptest_rdc,2,"5,10",5,10,9.0,8.0,-1.0,8.5,8.0,9.0,0.8170515873015873,0.7743730158730159,-0.042678571428571455,0.7957123015873016
classification,knn,glass,r_cforest,2,"5,10",5,10,1.0,8.0,7.0,4.5,1.0,8.0,0.856218253968254,0.7743730158730159,-0.08184523809523814,0.815295634920635
classification,knn,glass,r_ctree,2,"5,10",5,10,13.5,8.0,-5.5,10.75,8.0,13.5,0.7860912698412699,0.7743730158730159,-0.011718253968253989,0.7802321428571428
classification,knn,glass,rf,2,"5,10",5,10,8.0,8.0,0.0,8.0,8.0,8.0,0.8225714285714285,0.7743730158730159,-0.04819841269841263,0.7984722222222222
classification,knn,glass,rfe,2,"5,10",5,10,12.0,8.0,-4.0,10.0,8.0,12.0,0.7907063492063492,0.7743730158730159,-0.01633333333333331,0.7825396825396825
classification,knn,glass,xgb,2,"5,10",5,10,5.0,8.0,3.0,6.5,5.0,8.0,0.8461825396825396,0.7743730158730159,-0.07180952380952377,0.8102777777777778
classification,knn,isolet,boruta,5,"5,10,25,50,100",5,100,14.0,15.0,1.0,14.8,14.0,15.0,0.18308387657540198,0.7182416340721426,0.5351577574967405,0.4206539765319427
classification,knn,isolet,cat,5,"5,10,25,50,100",5,100,2.0,1.0,-1.0,1.8,1.0,3.0,0.471058235549761,0.9345528031290743,0.4634945675793133,0.7541776618861364
classification,knn,isolet,cif,5,"5,10,25,50,100",5,100,10.0,5.0,-5.0,6.8,4.0,10.0,0.2815071707953064,0.9135106475445458,0.6320034767492394,0.6769574098218166
classification,knn,isolet,cit,5,"5,10,25,50,100",5,100,8.0,10.0,2.0,6.6,3.0,10.0,0.34999435028248593,0.8686797044763146,0.5186853541938287,0.6910423294219905
classification,knn,isolet,cpi,5,"5,10,25,50,100",5,100,12.0,14.0,2.0,13.2,12.0,14.0,0.2232394611038679,0.7756019122120817,0.5523624511082139,0.501135419382877
classification,knn,isolet,et,5,"5,10,25,50,100",5,100,11.0,7.0,-4.0,10.2,7.0,12.0,0.2748817905258583,0.8859647979139504,0.6110830073880922,0.6125665362885702
classification,knn,isolet,lgbm,5,"5,10,25,50,100",5,100,6.0,3.0,-3.0,3.8,2.0,6.0,0.36069578444154715,0.9260252064319862,0.565329421990439,0.7247019556714471
classification,knn,isolet,pi,5,"5,10,25,50,100",5,100,7.0,8.0,1.0,8.2,7.0,10.0,0.35726423294219906,0.8774684919600173,0.5202042590178182,0.6679702737940026
classification,knn,isolet,ptest_mc,5,"5,10,25,50,100",5,100,13.0,13.0,0.0,12.0,11.0,13.0,0.21356236418948282,0.8359691438504997,0.6224067796610169,0.5931392438070404
