method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.10183488088447706,,,0.102 [insufficient data],7134934.709623404,,,7134934.710 [insufficient data],1690.776890873273,,,1690.777 [insufficient data]
cat,0.10183488088437999,,,0.102 [insufficient data],7134934.709624055,,,7134934.710 [insufficient data],1690.776890873363,,,1690.777 [insufficient data]
cif,0.10183488088431719,,,0.102 [insufficient data],7134934.709624525,,,7134934.710 [insufficient data],1690.7768908734433,,,1690.777 [insufficient data]
cit,0.101834880884308,,,0.102 [insufficient data],7134934.709624547,,,7134934.710 [insufficient data],1690.7768908736136,,,1690.777 [insufficient data]
cpi,0.10183488088445214,,,0.102 [insufficient data],7134934.709623614,,,7134934.710 [insufficient data],1690.776890873457,,,1690.777 [insufficient data]
et,0.1018348808844386,,,0.102 [insufficient data],7134934.709623626,,,7134934.710 [insufficient data],1690.7768908734433,,,1690.777 [insufficient data]
lgbm,0.10183488088423145,,,0.102 [insufficient data],7134934.70962522,,,7134934.710 [insufficient data],1690.776890873519,,,1690.777 [insufficient data]
pi,0.10183488088457199,,,0.102 [insufficient data],7134934.709622634,,,7134934.710 [insufficient data],1690.7768908734504,,,1690.777 [insufficient data]
ptest_dc,0.10183488088431647,,,0.102 [insufficient data],7134934.709624583,,,7134934.710 [insufficient data],1690.7768908735338,,,1690.777 [insufficient data]
ptest_pc,0.10183488088431396,,,0.102 [insufficient data],7134934.709624555,,,7134934.710 [insufficient data],1690.7768908735256,,,1690.777 [insufficient data]
ptest_rdc,0.10183488088429733,,,0.102 [insufficient data],7134934.709624719,,,7134934.710 [insufficient data],1690.7768908735188,,,1690.777 [insufficient data]
r_cforest,0.7128281452965514,,,0.713 [insufficient data],2348483.7576773777,,,2348483.758 [insufficient data],739.1668238748834,,,739.167 [insufficient data]
r_ctree,0.10183488088428244,,,0.102 [insufficient data],7134934.7096248735,,,7134934.710 [insufficient data],1690.7768908735472,,,1690.777 [insufficient data]
rf,0.10183488088445453,,,0.102 [insufficient data],7134934.709623425,,,7134934.710 [insufficient data],1690.7768908732842,,,1690.777 [insufficient data]
rfe,0.10183488088445218,,,0.102 [insufficient data],7134934.70962349,,,7134934.710 [insufficient data],1690.7768908734306,,,1690.777 [insufficient data]
xgb,0.10183488088442037,,,0.102 [insufficient data],7134934.709623793,,,7134934.710 [insufficient data],1690.7768908734338,,,1690.777 [insufficient data]
