experiment,task,dataset_type,variant,n_features,n_samples,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
real_ablation,clf,real_iris,cif_default,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,2.4426910420006607,4.526925726667377,3.474,0.007999999999999985,6.0,0.0,1.9600000000000002,0.010954451150103333,,,,
real_ablation,clf,real_iris,cif_no_scan,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.21758657039899845,0.042118346225006494,3.97,0.008944271909999166,6.0,0.0,2.5919999999999996,0.007483314773547913,,,,
real_ablation,clf,real_iris,cif_no_mute,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.16552361180074512,0.0038884339789142133,3.474,0.007999999999999985,6.0,0.0,1.9600000000000002,0.010954451150103333,,,,
real_ablation,clf,real_iris,cif_no_bootstrap,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.22393167080008425,0.029154040384541544,3.3579999999999997,0.009797958971132776,5.0,0.0,1.884,0.014966629547095708,,,,
real_ablation,clf,real_iris,cif_no_bonferroni,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.18704365659796168,0.0072081821186568956,3.474,0.007999999999999985,6.0,0.0,1.95,0.010954451150103333,,,,
real_ablation,clf,real_iris,cif_optimized,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.19092311099811923,0.04701124974558014,3.1919999999999997,0.004000000000000093,4.8,0.39999999999999997,1.7559999999999998,0.01200000000000001,,,,
real_ablation,clf,real_iris,rf,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.15022016480215825,0.0031272404030657677,0.0,0.0,0.0,0.0,3.5099999999999993,0.059665735560705126,,,,
real_ablation,clf,real_iris,et,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.11564596540411003,0.0020398162950710187,0.0,0.0,0.0,0.0,3.9800000000000004,0.006324555320336764,,,,
real_ablation,clf,real_iris,cit,4,150,1.0,0.0,0.9519607843137254,0.007813294258826924,0.9441176470588235,0.007994021164965736,0.05935461920162197,0.0003197579677307433,3.0,0.0,3.0,0.0,2.0,0.0,,,,
real_ablation,clf,real_wine,cif_default,13,178,1.0,0.0,0.9722059072802779,0.009536816412933885,0.9703099838969405,0.009293546054258967,0.7615501790016423,0.059187503212589976,4.332,0.003999999999999915,7.0,0.0,4.002,0.007483314773547723,,,,
real_ablation,clf,real_wine,cif_no_scan,13,178,1.0,0.0,0.9693234596152216,0.012808324141200395,0.9640539452495975,0.007247275843317676,0.6490436929976567,0.027375566563744014,4.96,0.012649110640673528,7.0,0.0,4.965999999999999,0.018547236990991627,,,,
real_ablation,clf,real_wine,cif_no_mute,13,178,1.0,0.0,0.9722059072802779,0.009536816412933885,0.9703099838969405,0.009293546054258967,0.7333261258056154,0.03635716611548673,4.332,0.003999999999999915,7.0,0.0,4.002,0.007483314773547723,,,,
real_ablation,clf,real_wine,cif_no_bootstrap,13,178,1.0,0.0,0.9722059072802779,0.009536816412933885,0.9703099838969405,0.009293546054258967,1.337479897798039,0.06166877688271394,4.002,0.007483314773547723,6.0,0.0,3.626,0.010198039027185612,,,,
real_ablation,clf,real_wine,cif_no_bonferroni,13,178,1.0,0.0,0.9722059072802779,0.009536816412933885,0.9703099838969405,0.009293546054258967,0.8243712084018625,0.013461603443338731,4.414,0.00799999999999983,7.0,0.0,4.098000000000001,0.007483314773548007,,,,
real_ablation,clf,real_wine,cif_optimized,13,178,1.0,0.0,0.9873548605814051,0.00920345037275533,0.9662640901771337,0.00561244184149545,0.4201557070045965,0.02087828312749876,3.518,0.004000000000000093,5.0,0.0,2.838,0.003999999999999915,,,,
real_ablation,clf,real_wine,rf,13,178,1.0,0.0,0.9684619459276209,0.007091068676164477,0.9696618357487923,0.007996829081724709,0.14982172260060905,0.008559433105747397,0.0,0.0,0.0,0.0,7.454000000000001,0.14037093716293275,,,,
real_ablation,clf,real_wine,et,13,178,1.0,0.0,0.9727091278921941,0.010672888038662991,0.9711956521739131,0.0070267762925018415,0.10779935799946543,0.003339597433577057,0.0,0.0,0.0,0.0,11.992,0.049152822909778265,,,,
