task,n,k,threshold_test,stopping,nominal_alpha,effect,splits,replicates,n_shards,rate,ci_low,ci_high,study
classification,100,256,maxt,adaptive,0.1,0.2,566,600,3,0.9433333333333334,0.9217111453958572,0.9604411514358697,stageb_only_pooled
classification,100,256,maxt,adaptive,0.2,0.0,215,1500,3,0.14333333333333334,0.1259785241572363,0.16209715193001595,stageb_only_pooled
classification,100,256,maxt,adaptive,0.2,0.05,148,600,3,0.24666666666666667,0.21265940164968994,0.28318919282882654,stageb_only_pooled
classification,100,256,maxt,adaptive,0.2,0.1,339,600,3,0.565,0.5242603554734708,0.6050968227579342,stageb_only_pooled
classification,100,256,maxt,adaptive,0.2,0.2,582,600,3,0.97,0.9530003895887207,0.9821251976421195,stageb_only_pooled
classification,100,256,maxt,adaptive,0.35,0.0,120,500,1,0.24,0.20319657817464937,0.2799095090032706,stageb_only_pooled
classification,100,256,maxt,adaptive,0.35,0.05,75,200,1,0.375,0.3077138482176408,0.44605137418258545,stageb_only_pooled
classification,100,256,maxt,adaptive,0.35,0.1,124,200,1,0.62,0.5488512420834482,0.6875345648223293,stageb_only_pooled
classification,100,256,maxt,adaptive,0.35,0.2,198,200,1,0.99,0.9643453316027603,0.998786650986264,stageb_only_pooled
classification,100,256,maxt,adaptive,0.5,0.0,147,500,1,0.294,0.2543860253640221,0.33606985492897706,stageb_only_pooled
classification,100,256,maxt,adaptive,0.5,0.05,96,200,1,0.48,0.4090139996380063,0.5515876013394261,stageb_only_pooled
classification,100,256,maxt,adaptive,0.5,0.1,138,200,1,0.69,0.6209229594796742,0.7533419625582742,stageb_only_pooled
classification,100,256,maxt,adaptive,0.5,0.2,198,200,1,0.99,0.9643453316027603,0.998786650986264,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.02,0.0,27,1500,3,0.018,0.0118947767536293,0.02608165720048088,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.02,0.05,32,600,3,0.05333333333333334,0.036762357467991336,0.07445957566604727,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.02,0.1,143,600,3,0.23833333333333334,0.20476670694679266,0.2744988787884566,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.02,0.2,519,600,3,0.865,0.8350229317893758,0.8913247143261855,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.05,0.0,63,1500,3,0.042,0.032422215141461055,0.05341891466270874,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.05,0.05,53,600,3,0.08833333333333333,0.06686700244672375,0.11395021744332774,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.05,0.1,215,600,3,0.35833333333333334,0.319910691919792,0.3981582493306574,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.05,0.2,554,600,3,0.9233333333333333,0.8990596138307226,0.9433263517010204,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.1,0.0,117,1500,3,0.078,0.06493225138498132,0.0927469639081017,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.1,0.05,86,600,3,0.14333333333333334,0.1162737391357816,0.17395858962230182,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.1,0.1,271,600,3,0.45166666666666666,0.4113359016459784,0.49247537913432193,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.1,0.2,572,600,3,0.9533333333333334,0.9332574184865998,0.9687696844299604,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.2,0.0,217,1500,3,0.14466666666666667,0.12724088561127922,0.16349606152085092,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.2,0.05,144,600,3,0.24,0.20634383201368098,0.2762383458539969,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.2,0.1,336,600,3,0.56,0.5192348948624147,0.6001717510820819,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.2,0.2,581,600,3,0.9683333333333334,0.9509890013859863,0.9808290997326679,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.35,0.0,110,500,1,0.22,0.18443670806164186,0.2589117328373836,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.35,0.05,71,200,1,0.355,0.28878377771358443,0.4255861669265797,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.35,0.1,125,200,1,0.625,0.5539486258174146,0.6922861517823592,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.35,0.2,197,200,1,0.985,0.9567917180822874,0.9968958923784464,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.5,0.0,140,500,1,0.28,0.24104491652216792,0.32157906673065645,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.5,0.05,88,200,1,0.44,0.3700555793390437,0.511749730925303,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.5,0.1,138,200,1,0.69,0.6209229594796742,0.7533419625582742,stageb_only_pooled
classification,100,256,maxt,exhaustive,0.5,0.2,198,200,1,0.99,0.9643453316027603,0.998786650986264,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.02,0.0,6,1500,3,0.004,0.0014693009117972876,0.008685842245365153,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.02,0.05,41,600,3,0.06833333333333333,0.04948000346230215,0.09156272540292816,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.02,0.1,205,600,3,0.3416666666666667,0.3037444183075429,0.38115663503798536,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.02,0.2,594,600,3,0.99,0.9783620442905984,0.9963215835543477,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.05,0.0,15,1500,3,0.01,0.0056074208232526025,0.016439920118288244,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.05,0.05,59,600,3,0.09833333333333333,0.07570032162277025,0.1250076656804646,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.05,0.1,264,600,3,0.44,0.3998282489179181,0.4807651051375853,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.05,0.2,597,600,3,0.995,0.9854579578604367,0.9989676904830049,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.1,0.0,39,1500,3,0.026,0.01855239568494881,0.03537274562808389,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.1,0.05,87,600,3,0.145,0.11779737995620711,0.1757509994009586,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.1,0.1,318,600,3,0.53,0.4891671409606527,0.5705362245360724,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.1,0.2,600,600,3,1.0,0.9938707286693308,1.0,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.2,0.0,81,1500,3,0.054,0.04311185852139755,0.0666729473163583,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.2,0.05,123,600,3,0.205,0.1733823791388963,0.23955254777436794,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.2,0.1,397,600,3,0.6616666666666666,0.6222498440436097,0.6994826597821628,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.2,0.2,600,600,3,1.0,0.9938707286693308,1.0,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.35,0.0,87,1000,2,0.087,0.07026848607137862,0.10620785795702123,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.35,0.05,110,400,2,0.275,0.2317982574298698,0.32156695908340494,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.35,0.1,284,400,2,0.71,0.6628405304967695,0.7540203650726719,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.35,0.2,400,400,2,1.0,0.9908201954163347,1.0,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.5,0.0,103,1000,2,0.103,0.08485136534991762,0.12352292640142576,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.5,0.05,121,400,2,0.3025,0.2578424935528615,0.35010851717579117,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.5,0.1,294,400,2,0.735,0.6888618789722711,0.7776218891234621,stageb_only_pooled
classification,200,16,bonferroni,adaptive,0.5,0.2,400,400,2,1.0,0.9908201954163347,1.0,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.02,0.0,6,1500,3,0.004,0.0014693009117972876,0.008685842245365153,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.02,0.05,41,600,3,0.06833333333333333,0.04948000346230215,0.09156272540292816,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.02,0.1,207,600,3,0.345,0.30697357407162357,0.3845610435472933,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.02,0.2,594,600,3,0.99,0.9783620442905984,0.9963215835543477,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.05,0.0,16,1500,3,0.010666666666666666,0.006108868903649251,0.01726434063763466,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.05,0.05,59,600,3,0.09833333333333333,0.07570032162277025,0.1250076656804646,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.05,0.1,265,600,3,0.44166666666666665,0.40147084555800694,0.4824393536883991,stageb_only_pooled
classification,200,16,bonferroni,exhaustive,0.05,0.2,597,600,3,0.995,0.9854579578604367,0.9989676904830049,stageb_only_pooled
