study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_seeds,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts
single_tree_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,rt,5,249.0,13.2,235.8,0.05301204819277108,440,5,1.8757515030060121,66,5
single_tree_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,cit,5,6.8,5.8,1.0,0.8529411764705882,1,5,0.01020408163265306,"5,5,5,0,0,0,0,5,0,9","5,5,5,0,0,0,0,5,0,5"
single_tree_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,dt,5,249.0,12.4,236.6,0.04979919678714859,436,5,1.9551020408163264,"2,12,4,2,1,8,6,15,2,10","2,5,3,2,1,5,5,5,2,5"
single_tree_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,rt,5,249.0,13.6,235.4,0.05461847389558233,446,5,1.883673469387755,"3,8,9,3,4,5,5,16,1,14","3,5,5,3,4,2,4,5,1,5"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,cit,5,20.6,19.6,1.0,0.9514563106796117,1,5,0.010040160642570281,"47,51","5,5"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,dt,5,249.0,22.2,226.8,0.0891566265060241,441,5,1.821285140562249,"47,64","5,5"
single_tree_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,rt,5,249.0,21.8,227.2,0.08755020080321285,438,5,1.8293172690763053,"65,44","5,5"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,cit,5,12.0,11.4,0.6,0.95,1,3,0.006060606060606061,"20,0,7,10,20","5,0,5,5,5"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,dt,5,249.0,14.2,234.8,0.0570281124497992,436,5,1.8606060606060606,"20,1,11,14,25","5,1,5,5,5"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,rt,5,249.0,13.2,235.8,0.05301204819277108,446,5,1.8828282828282827,"13,1,6,21,25","5,1,4,5,5"
