method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.8343094136833537,0.7848664962526687,0.8801946797009441,"0.834 [0.785, 0.880]",0.8256851371605026,0.7757788196974376,0.8724029221100374,"0.826 [0.776, 0.872]",0.834065170270845,0.7844167047560189,0.8800232387801346,"0.834 [0.784, 0.880]"
cat,0.8559115362899248,0.8079862237358832,0.8989351498496388,"0.856 [0.808, 0.899]",0.8473788255697073,0.8001686755784516,0.8909449171277658,"0.847 [0.800, 0.891]",0.8537764480749914,0.8068411396312257,0.8963864742664924,"0.854 [0.807, 0.896]"
cif,0.8353272394785631,0.7845867759439547,0.8824678077149948,"0.835 [0.785, 0.882]",0.8236714439630488,0.7709499100754368,0.8722051032655128,"0.824 [0.771, 0.872]",0.8309533608927667,0.7793495532746381,0.8789447637576707,"0.831 [0.779, 0.879]"
cit,0.7897216227922705,0.7360933330210131,0.8415742950183772,"0.790 [0.736, 0.842]",0.7696742034692536,0.7135112052111027,0.8266702756326164,"0.770 [0.714, 0.827]",0.7765485794040008,0.7199709192846924,0.8320945337309396,"0.777 [0.720, 0.832]"
cpi,0.71891461272894,0.651770517294698,0.786425692216728,"0.719 [0.652, 0.786]",0.7070492232913113,0.6380404944232899,0.7769494897697171,"0.707 [0.638, 0.777]",0.719180583212116,0.6536363925411727,0.7868959801010095,"0.719 [0.654, 0.787]"
et,0.8450103445531931,0.7969672858473971,0.8896428764615467,"0.845 [0.797, 0.890]",0.8378737798514457,0.7915075582204458,0.8803644333703501,"0.838 [0.792, 0.880]",0.8457015033585441,0.8005601671468023,0.8866555140824078,"0.846 [0.801, 0.887]"
lgbm,0.8598335681902595,0.8112062927008109,0.9042621281178306,"0.860 [0.811, 0.904]",0.8508579286839502,0.8027803635091869,0.8946644625609094,"0.851 [0.803, 0.895]",0.8527996668004725,0.8044325402486875,0.8965964599310674,"0.853 [0.804, 0.897]"
pi,0.7776688823169131,0.7196159398558291,0.8323629343149499,"0.778 [0.720, 0.832]",0.7679680176443799,0.7087004620224634,0.8240263488448977,"0.768 [0.709, 0.824]",0.7763180989584004,0.7176876708315881,0.8308302675682004,"0.776 [0.718, 0.831]"
ptest_mc,0.8054683962401166,0.7514433950136805,0.8591828402425543,"0.805 [0.751, 0.859]",0.7964766065014645,0.7450497998154673,0.8482448747758934,"0.796 [0.745, 0.848]",0.8058816575754336,0.7556754985189343,0.8561358607606292,"0.806 [0.756, 0.856]"
ptest_rdc,0.7951810409574869,0.7408135510421854,0.8476208865254437,"0.795 [0.741, 0.848]",0.7834103330514413,0.7309168098650185,0.8378206507252514,"0.783 [0.731, 0.838]",0.791552793046142,0.739777987925827,0.8442676628439673,"0.792 [0.740, 0.844]"
r_cforest,0.7474855609841731,0.6909659462934112,0.8055833826130147,"0.747 [0.691, 0.806]",0.7386001874012752,0.6823883626667345,0.7951338593147224,"0.739 [0.682, 0.795]",0.7455518222102716,0.6888006099368303,0.8027890052752483,"0.746 [0.689, 0.803]"
r_ctree,0.7374632942084,0.6706637309763456,0.802497050219663,"0.737 [0.671, 0.802]",0.7309563389245686,0.6644383998060786,0.795403196922133,"0.731 [0.664, 0.795]",0.7380027273916308,0.6727112449078126,0.8012684553047055,"0.738 [0.673, 0.801]"
rf,0.8501858108884565,0.8021805943986849,0.8948856862773114,"0.850 [0.802, 0.895]",0.8427492723646186,0.7950287693757462,0.8864250218018845,"0.843 [0.795, 0.886]",0.8504315021654841,0.8033066318371045,0.8927230169350614,"0.850 [0.803, 0.893]"
rfe,0.8429024211119172,0.7937239731442612,0.8875654311644678,"0.843 [0.794, 0.888]",0.830413142597502,0.7805728322871289,0.8754808801934689,"0.830 [0.781, 0.875]",0.8344980615011345,0.7852395024733264,0.8798603902537512,"0.834 [0.785, 0.880]"
xgb,0.8538679500178104,0.806040622358991,0.8983205291855959,"0.854 [0.806, 0.898]",0.8432984928637423,0.7952383984622095,0.8890581529909651,"0.843 [0.795, 0.889]",0.8466455399451347,0.7986859914940573,0.891312958284367,"0.847 [0.799, 0.891]"
