study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,cif_all,5,100,500,537.4,479.0,58.4,0.8913286192780052,39,40,3.2444444444444445,"118,312,111,100,467,411,316,20,475,65","113,287,106,100,427,366,306,20,443,65",100
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,et,5,100,500,7433.2,1416.0,6017.2,0.19049669052359683,90,299,242.87777777777777,"502,877,738,476,965,879,801,486,1002,354","327,437,412,300,440,429,421,311,449,249",100
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,rf,5,100,500,2629.8,600.0,2029.8,0.22815423226100845,90,156,100.87777777777778,"213,376,312,173,444,397,371,160,451,103","178,289,249,149,328,310,294,135,335,95",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,cif,5,100,500,45.0,17.8,27.2,0.39555555555555555,18,20,1.3877551020408163,"0,89","0,89",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,cif_all,5,100,500,100.0,100.0,0.0,1.0,0,0,0.0,"0,500","0,500",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,et,5,100,500,6230.6,479.8,5750.8,0.07700702982056302,98,267,216.03061224489795,"390,2009","258,499",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,rf,5,100,500,2081.2,193.6,1887.6,0.09302325581395349,98,133,85.40816326530613,"144,824","115,465",100
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,cif,5,100,500,87.0,68.8,18.2,0.7908045977011494,15,10,0.9578947368421052,"84,99,111,25,25","84,99,106,25,25",100
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,cif_all,5,100,500,242.2,227.0,15.2,0.9372419488026424,12,14,0.8,"301,309,525,0,0","301,269,500,0,0",100
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,et,5,100,500,6535.0,921.4,5613.6,0.1409946442234124,95,270,221.05263157894737,"909,1013,1644,536,505","428,457,494,316,303",100
