method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
cat,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
cif,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
cit,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
cpi,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
et,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
lgbm,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
pi,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
ptest_mc,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
ptest_rdc,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
r_cforest,0.9785714285714286,,,0.979 [insufficient data],0.9780489177489177,,,0.978 [insufficient data],0.97845,,,0.978 [insufficient data]
r_ctree,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
rf,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
rfe,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
xgb,1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data],1.0,,,1.000 [insufficient data]
