method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.6158810150524088,0.41297013701716034,0.7981958353446256,"0.616 [0.413, 0.798]",1447929.1654540326,1084.8133413374226,4238422.633219411,"1447929.165 [1084.813, 4238422.633]",229.1667656905713,13.743862782533666,603.7798357276804,"229.167 [13.744, 603.780]"
cat,0.487656089974135,0.009676920209367716,0.8164079616987385,"0.488 [0.010, 0.816]",1311747.4563156012,831.8353205219792,3863387.002795035,"1311747.456 [831.835, 3863387.003]",212.33357068575782,12.480759089591855,574.9410434524871,"212.334 [12.481, 574.941]"
cif,0.5271435381502013,0.1782629688467207,0.7832658806966737,"0.527 [0.178, 0.783]",1364751.6208915426,1442.1590005716914,4006349.407386667,"1364751.621 [1442.159, 4006349.407]",220.082718879402,15.870438402049457,581.5699175224814,"220.083 [15.870, 581.570]"
cit,0.4565551521492508,0.03485857661668211,0.7526570142386128,"0.457 [0.035, 0.753]",1248699.008697254,2141.0118362012167,3659768.977939929,"1248699.009 [2141.012, 3659768.978]",220.44626011774017,19.44659061575287,576.7697840435494,"220.446 [19.447, 576.770]"
cpi,0.46625907779699854,0.10531831268061985,0.7503968983076977,"0.466 [0.105, 0.750]",1495997.8122331602,1282.2890721343144,4400198.682391049,"1495997.812 [1282.289, 4400198.682]",236.83793605431325,16.487701945088023,630.0648430480622,"236.838 [16.488, 630.065]"
et,0.642035989558698,0.44793627094265187,0.8153953757366205,"0.642 [0.448, 0.815]",1252934.675293751,1132.2112746692778,3682635.933515405,"1252934.675 [1132.211, 3682635.934]",208.69211899906347,13.396984153493616,560.6564551327765,"208.692 [13.397, 560.656]"
lgbm,0.017814810436460438,-1.1878406275322517,0.787998356757358,"0.018 [-1.188, 0.788]",1596373.4495799588,756.107057916075,4707126.755049969,"1596373.450 [756.107, 4707126.755]",228.69018285973604,12.593234644931291,617.4924060975261,"228.690 [12.593, 617.492]"
pi,0.596080432948077,0.3598828308276479,0.7993611360902452,"0.596 [0.360, 0.799]",1365519.5123793883,910.3967927877103,4018553.4345367365,"1365519.512 [910.397, 4018553.435]",217.33499979925134,13.77236662999524,584.9568278169876,"217.335 [13.772, 584.957]"
ptest_dc,0.49695601152760976,0.0803594638088272,0.7980319862633867,"0.497 [0.080, 0.798]",1335509.2752002112,1342.5936619213028,3916513.1764581357,"1335509.275 [1342.594, 3916513.176]",217.33575175090746,14.23147775912456,577.6506533492633,"217.336 [14.231, 577.651]"
ptest_pc,0.57204794050833,0.3010121462089794,0.7964280453915922,"0.572 [0.301, 0.796]",1331835.2961433432,1341.632722250447,3906388.3327253615,"1331835.296 [1341.633, 3906388.333]",215.87918099063842,13.96582797524861,574.5307491082096,"215.879 [13.966, 574.531]"
ptest_rdc,0.5420233805102626,0.23418882464210913,0.7903964273338747,"0.542 [0.234, 0.790]",1359676.716836088,1379.027283957886,3992767.717605316,"1359676.717 [1379.027, 3992767.718]",217.97680441824411,13.831675991964751,582.2602739095896,"217.977 [13.832, 582.260]"
r_cforest,0.11343453648619362,-0.4691417005485507,0.48910480834247927,"0.113 [-0.469, 0.489]",1597839.4030615615,8325.236980783488,4483083.893471042,"1597839.403 [8325.237, 4483083.893]",295.2815323568904,39.28855285281305,685.8404709710187,"295.282 [39.289, 685.840]"
r_ctree,0.2157442198739548,0.005703651223337668,0.42729306856100974,"0.216 [0.006, 0.427]",1509203.3942536698,9120.703281315511,4116160.228636633,"1509203.394 [9120.703, 4116160.229]",320.3595193384571,36.784188363766056,735.3246132006951,"320.360 [36.784, 735.325]"
rf,0.6248980874307928,0.42150055192697905,0.8065787604436155,"0.625 [0.422, 0.807]",1406384.7787002076,1019.12584556869,4142828.4414274157,"1406384.779 [1019.126, 4142828.441]",217.7974397676399,13.536902632101699,587.4503752480806,"217.797 [13.537, 587.450]"
rfe,0.6290378106189167,0.41788919632413446,0.813702539025057,"0.629 [0.418, 0.814]",1441004.9982967612,676.4616728916064,4223398.430276729,"1441004.998 [676.462, 4223398.430]",227.3627343722683,12.023354003902297,603.4030030450043,"227.363 [12.023, 603.403]"
xgb,0.4435723457540457,0.07510470193963395,0.708291150275786,"0.444 [0.075, 0.708]",1781374.6230575605,2739.4951091206767,5166526.692359264,"1781374.623 [2739.495, 5166526.692]",271.3803228648491,19.483825891775872,703.8668013208567,"271.380 [19.484, 703.867]"
