method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.6983670928646831,0.6267572151996205,0.7680574300943193,"0.698 [0.627, 0.768]",0.6712567696861186,0.5999742866997463,0.7435322907042421,"0.671 [0.600, 0.744]",0.693036100912432,0.6230931772562464,0.7623609977228456,"0.693 [0.623, 0.762]"
cat,0.7797111266094006,0.7294040115831637,0.8292542450462843,"0.780 [0.729, 0.829]",0.7557872771810954,0.7029622021554608,0.8057995751852206,"0.756 [0.703, 0.806]",0.7741002610239069,0.7260039397170676,0.8214960772065623,"0.774 [0.726, 0.821]"
cif,0.7464924399201687,0.6939727621265779,0.8003594306947168,"0.746 [0.694, 0.800]",0.7187765109080562,0.6635710918965451,0.7752897108297769,"0.719 [0.664, 0.775]",0.7417200829389234,0.6888362810932257,0.7961852461977564,"0.742 [0.689, 0.796]"
cit,0.726178420211788,0.6684500753567746,0.7836153635710621,"0.726 [0.668, 0.784]",0.699697023470172,0.6387747439168487,0.7613462322637974,"0.700 [0.639, 0.761]",0.7274033903956609,0.6732042973404069,0.7813149190149359,"0.727 [0.673, 0.781]"
cpi,0.6567988941147249,0.5759192350678363,0.7377226766319549,"0.657 [0.576, 0.738]",0.626980885097196,0.5425840454421239,0.7117914298439307,"0.627 [0.543, 0.712]",0.6570135428431982,0.5764374035971191,0.7371086750638512,"0.657 [0.576, 0.737]"
et,0.7608698116504995,0.7039626240686437,0.8189764890976693,"0.761 [0.704, 0.819]",0.739470848595249,0.6816204583322615,0.7970409984988157,"0.739 [0.682, 0.797]",0.7585858189548367,0.702786404889129,0.8140212096800711,"0.759 [0.703, 0.814]"
lgbm,0.7780890061241326,0.7267831516603406,0.8285260200702169,"0.778 [0.727, 0.829]",0.755466505088669,0.7045683108827064,0.8065239998673731,"0.755 [0.705, 0.807]",0.7733956501243249,0.7230947667803385,0.8215083939473135,"0.773 [0.723, 0.822]"
pi,0.7013003398385417,0.6353327254432896,0.7681484756854703,"0.701 [0.635, 0.768]",0.6772324991741561,0.6072413603502483,0.7475519847900187,"0.677 [0.607, 0.748]",0.7030476118375464,0.6368509072669224,0.7686519584348465,"0.703 [0.637, 0.769]"
ptest_mc,0.7227089378415257,0.6541043416357609,0.7934465430755676,"0.723 [0.654, 0.793]",0.6983508205314106,0.6266575366138895,0.7686431551548726,"0.698 [0.627, 0.769]",0.7209075250691139,0.6523769219490727,0.787225686883553,"0.721 [0.652, 0.787]"
ptest_rdc,0.702861526653216,0.631715888795206,0.7753027629802828,"0.703 [0.632, 0.775]",0.6744159608429312,0.5998067969033545,0.7488778741250609,"0.674 [0.600, 0.749]",0.6972425774143485,0.6254175267396519,0.7683015266767654,"0.697 [0.625, 0.768]"
r_cforest,0.6484350150466276,0.583730388674456,0.7112913721984605,"0.648 [0.584, 0.711]",0.6234931234331064,0.560086980400446,0.6860982489853353,"0.623 [0.560, 0.686]",0.6455771966206071,0.5822967030429939,0.7077590374929738,"0.646 [0.582, 0.708]"
r_ctree,0.6248616647697609,0.5686988760938113,0.6831913672099389,"0.625 [0.569, 0.683]",0.5980909886880774,0.545592635642502,0.6530867720244582,"0.598 [0.546, 0.653]",0.6223643555192309,0.5667707860429826,0.6796422379976933,"0.622 [0.567, 0.680]"
rf,0.7676038434635908,0.7135608505363275,0.8227093706220712,"0.768 [0.714, 0.823]",0.7469962838138581,0.6917700030583637,0.8003011513556664,"0.747 [0.692, 0.800]",0.7653446521691711,0.71271526089181,0.8182372897084836,"0.765 [0.713, 0.818]"
rfe,0.7931154535202942,0.7475998084417523,0.8382271758986122,"0.793 [0.748, 0.838]",0.7666298899638289,0.7198924724403725,0.8122817815378589,"0.767 [0.720, 0.812]",0.7837477710917566,0.7385685514020316,0.8267286295820794,"0.784 [0.739, 0.827]"
xgb,0.754821290689121,0.7035383510341018,0.8083580727813031,"0.755 [0.704, 0.808]",0.7285387933538845,0.6754862603574904,0.7806141796582108,"0.729 [0.675, 0.781]",0.7486109756574907,0.698069402224089,0.7997621525810618,"0.749 [0.698, 0.800]"
