method,r2_mean,r2_ci_lo,r2_ci_hi,r2_formatted,mse_mean,mse_ci_lo,mse_ci_hi,mse_formatted,mae_mean,mae_ci_lo,mae_ci_hi,mae_formatted
boruta,0.19558186910316813,0.0573935730382661,0.3460542289661572,"0.196 [0.057, 0.346]",5499069.434838965,11137.703939807207,15639974.2485875,"5499069.435 [11137.704, 15639974.249]",600.2143213905964,55.309152931281524,1474.7112911760257,"600.214 [55.309, 1474.711]"
cat,0.23433251710645944,0.08847383356605126,0.3860513791905833,"0.234 [0.088, 0.386]",5496738.66770947,11138.729498190865,15636314.804437663,"5496738.668 [11138.729, 15636314.804]",599.6392025597787,55.28669194501615,1473.8925686785722,"599.639 [55.287, 1473.893]"
cif,0.21046838449557564,0.07281979635421584,0.3583119562958736,"0.210 [0.073, 0.358]",5491136.885319006,11141.409174868088,15626713.09007414,"5491136.885 [11141.409, 15626713.090]",598.3557533519862,55.310480233337586,1471.9544953396555,"598.356 [55.310, 1471.954]"
cit,0.17443827377126073,0.03281765847536785,0.32871987122575963,"0.174 [0.033, 0.329]",5493468.74799207,11165.901703499854,15631950.081118023,"5493468.748 [11165.902, 15631950.081]",599.7328465463977,55.39627578959788,1474.1378106889597,"599.733 [55.396, 1474.138]"
cpi,0.1957471920858665,0.0574713489122011,0.34536645133841587,"0.196 [0.057, 0.345]",5506229.821359492,11147.519692718442,15656444.736674733,"5506229.821 [11147.520, 15656444.737]",601.5497783786489,55.48475069300013,1475.9107028911158,"601.550 [55.485, 1475.911]"
et,0.22588351991253278,0.08241807077472961,0.3746499499706151,"0.226 [0.082, 0.375]",5488572.185255696,11137.01234474477,15620952.504862018,"5488572.185 [11137.012, 15620952.505]",597.9658444341735,55.2959575408273,1471.7760272367982,"597.966 [55.296, 1471.776]"
lgbm,0.20454859992432067,0.0662832054548267,0.35344289640913495,"0.205 [0.066, 0.353]",5500166.149425076,11141.070471576419,15642112.25387835,"5500166.149 [11141.070, 15642112.254]",600.429891606742,55.312772297168344,1474.9857039813512,"600.430 [55.313, 1474.986]"
pi,0.20134435285888824,0.06377061156627695,0.349687709166803,"0.201 [0.064, 0.350]",5500460.973873554,11139.094392912744,15645154.208555672,"5500460.974 [11139.094, 15645154.209]",600.2427478884758,55.311705475964594,1474.6631009596451,"600.243 [55.312, 1474.663]"
ptest_dc,0.18458284609077674,0.043418892974776385,0.33568005618608204,"0.185 [0.043, 0.336]",5486139.813386536,11140.684179256688,15618501.922672532,"5486139.813 [11140.684, 15618501.923]",597.5362300101474,55.323237935244926,1470.6567266583988,"597.536 [55.323, 1470.657]"
ptest_pc,0.19194070635318378,0.05314518939603433,0.3429477689462503,"0.192 [0.053, 0.343]",5493350.569523368,11140.285577273524,15634778.636525245,"5493350.570 [11140.286, 15634778.637]",598.556008408006,55.31753333757365,1471.8626688025486,"598.556 [55.318, 1471.863]"
ptest_rdc,0.19019366640903623,0.05120004157190971,0.34024026149615466,"0.190 [0.051, 0.340]",5484828.918725616,11139.38038535269,15615131.437025666,"5484828.919 [11139.380, 15615131.437]",597.3409392744164,55.317714983679224,1470.3013058739164,"597.341 [55.318, 1470.301]"
r_cforest,0.11264467973851072,-0.03273063462855495,0.26839372063943673,"0.113 [-0.033, 0.268]",5498754.9227652075,11324.318768021578,15642497.464108536,"5498754.923 [11324.319, 15642497.464]",600.1687242673254,55.86956666457221,1474.6793318537095,"600.169 [55.870, 1474.679]"
r_ctree,0.10691125260198843,-0.033550838290603575,0.26278757387861396,"0.107 [-0.034, 0.263]",5509108.91739413,11441.80908255958,15663938.183874901,"5509108.917 [11441.809, 15663938.184]",602.3152065238795,56.32486112554481,1477.3035702712032,"602.315 [56.325, 1477.304]"
rf,0.21430130627300817,0.07481018483384014,0.3645907219286203,"0.214 [0.075, 0.365]",5499744.375646575,11138.570408954438,15641379.513987152,"5499744.376 [11138.570, 15641379.514]",600.4074776215334,55.30800214630012,1474.9412513803536,"600.407 [55.308, 1474.941]"
rfe,0.22963151619138195,0.0848973656309347,0.3810741654122195,"0.230 [0.085, 0.381]",5501521.190406013,11139.204406973055,15645058.07331964,"5501521.190 [11139.204, 15645058.073]",600.5934137419591,55.289072433281746,1475.1970805742224,"600.593 [55.289, 1475.197]"
xgb,0.21472156456043953,0.07704163814574043,0.36140649213281906,"0.215 [0.077, 0.361]",5507095.983736099,11144.050577476215,15657753.678648567,"5507095.984 [11144.051, 15657753.679]",601.6667006560473,55.429263151270185,1476.5572281061434,"601.667 [55.429, 1476.557]"
